Wall time,Step,Value
1690332789.2737427,0,0.62890625
1690332906.4587617,8,0.62109375
1690333016.9345858,16,0.625
1690333121.2636297,24,0.609375
1690333310.8162344,32,0.63671875
1690333427.1669967,40,0.6171875
1690333535.4641442,48,0.62890625
1690333644.7041965,56,0.625
1690333834.7241895,64,0.6171875
1690333943.313129,72,0.625
1690334051.0175965,80,0.61328125
1690334157.5558052,88,0.62890625
1690334345.5058684,96,0.62109375
1690334447.7938802,104,0.640625
1690334562.9127555,112,0.62109375
1690334669.7270756,120,0.6328125
1690334860.456539,128,0.625
1690334970.6080818,136,0.62890625
1690335076.5278165,144,0.6328125
1690335186.4210253,152,0.62890625
1690335378.2033687,160,0.625
1690335488.6037347,168,0.63671875
1690335596.0691125,176,0.62109375
1690335707.1984582,184,0.6171875
1690335909.6133504,192,0.6171875
1690336020.5322547,200,0.6171875
1690336132.5358844,208,0.61328125
1690336245.159692,216,0.62890625
1690336447.5906594,224,0.609375
1690336560.6587105,232,0.63671875
1690336672.8189173,240,0.62890625
1690336789.1330419,248,0.640625
1690336988.8106267,256,0.62109375
1690337103.8347025,264,0.62109375
1690337217.3103232,272,0.6328125
1690337330.5617754,280,0.62890625
1690337533.4855506,288,0.62109375
1690337646.2123709,296,0.62890625
1690337760.0168428,304,0.609375
1690337873.816211,312,0.640625
1690338077.594788,320,0.640625
1690338192.1663764,328,0.625
1690338303.9988003,336,0.63671875
1690338416.5472553,344,0.63671875
1690338619.209357,352,0.6328125
1690338729.2495148,360,0.640625
1690338841.5786211,368,0.63671875
1690338954.558298,376,0.63671875
1690339161.3200138,384,0.63671875
1690339277.0901632,392,0.62890625
1690339391.9473548,400,0.625
1690339505.7665017,408,0.64453125
1690339704.1484163,416,0.62890625
1690339812.6987936,424,0.640625
1690339923.9425464,432,0.62890625
1690340037.9698856,440,0.62890625
1690340237.9509504,448,0.6328125
1690340350.0571258,456,0.65234375
1690340468.8940804,464,0.61328125
1690340577.7735834,472,0.640625
1690340778.747285,480,0.64453125
1690340891.5799022,488,0.6328125
1690341001.120657,496,0.64453125
1690341114.7922091,504,0.640625
1690341323.4381206,512,0.640625
1690341433.4480653,520,0.64453125
1690341542.7585485,528,0.63671875
1690341655.8653734,536,0.64453125
1690341855.51495,544,0.640625
1690341968.184834,552,0.6484375
1690342080.3910408,560,0.640625
1690342196.2693875,568,0.640625
1690342395.6134167,576,0.6484375
1690342505.76129,584,0.6640625
1690342622.7070916,592,0.64453125
1690342732.4343626,600,0.62890625
1690342928.732162,608,0.6484375
1690343036.7067256,616,0.671875
1690343154.7636807,624,0.64453125
1690343269.056936,632,0.64453125
1690343465.850724,640,0.63671875
1690343575.1006596,648,0.63671875
1690343687.1312358,656,0.6484375
1690343797.6416867,664,0.64453125
1690343998.2121887,672,0.64453125
1690344110.3697355,680,0.65625
1690344223.3170059,688,0.64453125
1690344331.6503856,696,0.64453125
1690344527.4477596,704,0.65234375
1690344638.430429,712,0.640625
1690344747.5725856,720,0.65234375
1690344853.8566825,728,0.640625
1690345046.669974,736,0.64453125
1690345158.5312586,744,0.64453125
1690345268.247838,752,0.671875
1690345377.3952742,760,0.6484375
1690345572.0402784,768,0.6484375
1690345680.508362,776,0.6484375
1690345791.3840566,784,0.6640625
1690345899.2690947,792,0.65625
1690346095.6984797,800,0.64453125
1690346205.875685,808,0.65625
1690346315.7325745,816,0.66015625
1690346424.2595997,824,0.65625
1690346619.2210343,832,0.640625
1690346724.8156617,840,0.6484375
1690346835.2510338,848,0.65234375
1690346944.2780647,856,0.65234375
1690347140.8995054,864,0.6640625
1690347250.0328276,872,0.65234375
1690347361.439038,880,0.6640625
1690347469.4484084,888,0.6640625
1690347662.9418023,896,0.64453125
1690347771.8490078,904,0.65625
1690347881.0185108,912,0.64453125
1690347992.5667748,920,0.66015625
1690348188.0340557,928,0.65625
1690348299.0803266,936,0.65625
1690348407.3685079,944,0.65234375
1690348514.1411378,952,0.6484375
1690348709.3300219,960,0.65625
1690348817.8489678,968,0.66015625
1690348925.4129393,976,0.6484375
1690349033.5940347,984,0.64453125
1690349227.4380624,992,0.64453125
1690349338.0045521,1000,0.640625
1690349447.3572302,1008,0.6484375
1690349555.228867,1016,0.6484375
1690349745.28453,1024,0.65234375
1690349851.6117604,1032,0.6484375
1690349958.5951939,1040,0.63671875
1690350066.441807,1048,0.6484375
1690350260.1192365,1056,0.66015625
1690350368.3644052,1064,0.6640625
1690350474.485229,1072,0.6484375
1690350581.9387646,1080,0.65234375
1690350772.9156256,1088,0.65625
1690350881.8337116,1096,0.65234375
1690350987.7039473,1104,0.65234375
1690351093.381724,1112,0.640625
1690351283.8817806,1120,0.65625
1690351389.8580084,1128,0.65625
1690351495.7031631,1136,0.6640625
1690351599.9695663,1144,0.6484375
1690351790.912659,1152,0.66015625
1690351894.9276052,1160,0.6328125
1690352000.4700634,1168,0.65625
1690352105.0395904,1176,0.64453125
1690352292.6735575,1184,0.66796875
1690352398.889246,1192,0.6484375
1690352506.2711039,1200,0.6640625
1690352614.6602814,1208,0.640625
1690352808.744542,1216,0.6484375
1690352916.414107,1224,0.65625
1690353020.2911897,1232,0.640625
1690353128.705245,1240,0.65234375
1690353319.845293,1248,0.64453125
1690353427.426603,1256,0.65625
1690353532.6434214,1264,0.66015625
1690353634.4766436,1272,0.65625
1690353822.6403413,1280,0.65625
1690353924.8793676,1288,0.63671875
1690354030.8335097,1296,0.64453125
1690354140.1828694,1304,0.640625
1690354329.5165331,1312,0.6484375
1690354438.5380142,1320,0.65625
1690354546.8330674,1328,0.6640625
1690354656.106115,1336,0.6484375
1690354848.2321303,1344,0.65625
1690354956.5082557,1352,0.64453125
1690355065.7045264,1360,0.640625
1690355175.5198538,1368,0.65625
1690355368.033539,1376,0.65625
1690355475.8834283,1384,0.66015625
1690355585.620935,1392,0.65234375
1690355694.913753,1400,0.64453125
1690355889.0583377,1408,0.66015625
1690355997.7167187,1416,0.65234375
1690356106.6936715,1424,0.6640625
1690356213.6287029,1432,0.66796875
1690356407.1375666,1440,0.66015625
1690356516.1002822,1448,0.66015625
1690356623.5566993,1456,0.6484375
1690356731.7236636,1464,0.640625
1690356925.4805152,1472,0.65625
1690357034.7519696,1480,0.6484375
1690357143.9341815,1488,0.6484375
1690357252.4070854,1496,0.65625
1690357444.168634,1504,0.65234375
1690357550.7805653,1512,0.64453125
1690357657.328387,1520,0.64453125
1690357766.8333862,1528,0.66015625
1690357962.6197639,1536,0.65625
1690358070.4627903,1544,0.65234375
1690358178.7897892,1552,0.65234375
