Wall time,Step,Value
1690359604.2711716,0,0.640625
1690359721.2717416,8,0.64453125
1690359838.1766772,16,0.6484375
1690359952.3463323,24,0.62890625
1690360142.743084,32,0.6328125
1690360250.4945571,40,0.62890625
1690360357.4464605,48,0.6171875
1690360462.268046,56,0.6484375
1690360649.8355644,64,0.625
1690360756.9270973,72,0.62890625
1690360863.4346757,80,0.63671875
1690360968.5311186,88,0.609375
1690361157.6916823,96,0.6328125
1690361262.9921203,104,0.6328125
1690361369.6086497,112,0.62109375
1690361475.8869686,120,0.625
1690361663.3992708,128,0.62890625
1690361770.0325134,136,0.6484375
1690361877.401076,144,0.64453125
1690361984.3869443,152,0.61328125
1690362172.6969275,160,0.61328125
1690362280.0686464,168,0.625
1690362385.7790735,176,0.60546875
1690362491.666453,184,0.62109375
1690362682.969659,192,0.625
1690362789.5949326,200,0.63671875
1690362894.5036411,208,0.62890625
1690363001.1694787,216,0.62109375
1690363186.2205703,224,0.61328125
1690363296.6044493,232,0.58984375
1690363401.4926012,240,0.6015625
1690363508.1679907,248,0.59765625
1690363694.04059,256,0.59765625
1690363802.1189942,264,0.58203125
1690363909.4571261,272,0.60546875
1690364014.7801585,280,0.59375
1690364205.4616864,288,0.59375
1690364312.5641859,296,0.59765625
1690364420.4855137,304,0.609375
1690364527.8711557,312,0.60546875
1690364714.4046545,320,0.6015625
1690364821.7298696,328,0.6015625
1690364927.660565,336,0.59375
1690365032.5688088,344,0.59375
1690365219.4628382,352,0.59765625
1690365326.6353567,360,0.60546875
1690365432.9108784,368,0.6015625
1690365540.3278959,376,0.5859375
1690365727.0590484,384,0.61328125
1690365833.8975525,392,0.59765625
1690365940.1115088,400,0.6171875
1690366047.5861495,408,0.61328125
1690366235.7362447,416,0.61328125
1690366342.2118847,424,0.62109375
1690366448.447303,432,0.61328125
1690366553.9104342,440,0.59375
1690366742.8588886,448,0.609375
1690366850.4462962,456,0.61328125
1690366956.7700145,464,0.60546875
1690367062.8938158,472,0.6015625
1690367250.9647367,480,0.6171875
1690367358.9210298,488,0.5859375
1690367464.3064518,496,0.60546875
1690367571.0929139,504,0.60546875
1690367762.3581295,512,0.6015625
1690367868.8836129,520,0.625
1690367978.3491797,528,0.59765625
1690368085.2055676,536,0.609375
1690368268.790517,544,0.60546875
1690368375.5442672,552,0.61328125
1690368480.7433784,560,0.6171875
1690368587.9528122,568,0.6171875
1690368778.1583264,576,0.61328125
1690368885.2056365,584,0.62890625
1690368993.2023413,592,0.58984375
1690369096.871365,600,0.6015625
1690369289.6318915,608,0.609375
1690369397.1468813,616,0.59375
1690369504.8199182,624,0.6015625
1690369611.0363348,632,0.609375
1690369798.487136,640,0.59765625
1690369906.1562793,648,0.609375
1690370011.6746018,656,0.60546875
1690370119.9074132,664,0.58984375
1690370310.0837905,672,0.6015625
1690370417.610941,680,0.59765625
1690370524.5925753,688,0.58203125
1690370632.0837004,696,0.609375
1690370822.4721584,704,0.6015625
1690370931.6979926,712,0.62890625
1690371037.7956526,720,0.60546875
1690371145.3947384,728,0.59375
1690371333.1283233,736,0.5859375
1690371440.6351528,744,0.6015625
1690371545.991033,752,0.59765625
1690371654.138494,760,0.609375
1690371844.6385896,768,0.61328125
1690371952.3326573,776,0.6015625
1690372060.482876,784,0.6171875
1690372166.3957803,792,0.6015625
1690372353.71486,800,0.60546875
1690372460.2907968,808,0.6171875
1690372567.0811582,816,0.5859375
1690372673.615926,824,0.6171875
1690372863.2277734,832,0.6171875
1690372971.300399,840,0.60546875
1690373078.4497225,848,0.61328125
1690373184.9013383,856,0.609375
1690373374.3714218,864,0.61328125
1690373481.520781,872,0.60546875
1690373587.301842,880,0.59375
1690373695.6158195,888,0.609375
1690373882.5384338,896,0.59375
1690373990.0309794,904,0.59375
1690374097.0341296,912,0.59375
1690374203.7935307,920,0.6015625
1690374391.884779,928,0.59375
1690374499.0687058,936,0.6171875
1690374605.5014267,944,0.60546875
1690374710.8699126,952,0.6171875
1690374902.7069373,960,0.61328125
1690375011.0059557,968,0.6171875
1690375118.3676467,976,0.60546875
1690375223.7191179,984,0.59375
1690375410.5124524,992,0.6171875
1690375516.8512223,1000,0.61328125
1690375624.8724294,1008,0.59375
1690375729.3730102,1016,0.578125
1690375917.9382932,1024,0.59765625
1690376023.7284174,1032,0.61328125
1690376130.3518069,1040,0.6171875
1690376234.7721906,1048,0.6015625
1690376426.8367193,1056,0.59375
1690376534.1311033,1064,0.59375
1690376639.8987145,1072,0.6171875
1690376746.4019735,1080,0.59375
1690376935.7302732,1088,0.609375
1690377042.153637,1096,0.5859375
1690377148.5577471,1104,0.609375
1690377255.642342,1112,0.609375
1690377443.925361,1120,0.59765625
1690377551.1125734,1128,0.6171875
1690377656.9971907,1136,0.609375
1690377761.2893453,1144,0.6015625
1690377950.9703453,1152,0.59375
1690378057.5589821,1160,0.5859375
1690378161.116675,1168,0.58984375
1690378266.2456205,1176,0.59765625
1690378453.3408234,1184,0.59765625
1690378558.8529387,1192,0.59375
1690378666.872706,1200,0.59765625
1690378773.7982998,1208,0.6171875
1690378962.0627217,1216,0.59765625
1690379068.9881368,1224,0.59765625
1690379176.2287433,1232,0.6015625
1690379283.4669857,1240,0.60546875
1690379471.9191,1248,0.60546875
1690379580.0100718,1256,0.6015625
1690379686.8746986,1264,0.60546875
1690379792.4857337,1272,0.59765625
1690379979.2646165,1280,0.6015625
1690380085.181725,1288,0.59765625
1690380192.6692343,1296,0.58984375
1690380299.8005445,1304,0.60546875
1690380488.1585376,1312,0.60546875
1690380596.5915833,1320,0.609375
1690380704.7740948,1328,0.6015625
1690380810.5244925,1336,0.60546875
1690380998.863044,1344,0.58984375
1690381104.8714797,1352,0.6015625
1690381210.7253468,1360,0.59765625
1690381316.8127866,1368,0.59375
1690381503.8844523,1376,0.59375
1690381613.427151,1384,0.61328125
1690381720.5091314,1392,0.59375
1690381826.316036,1400,0.5859375
1690382012.8807502,1408,0.62890625
1690382119.6432533,1416,0.59765625
1690382226.6618416,1424,0.6015625
1690382333.4028304,1432,0.59375
1690382523.352113,1440,0.58984375
1690382630.408493,1448,0.609375
1690382735.4932342,1456,0.58984375
1690382841.215586,1464,0.60546875
1690383029.8622947,1472,0.60546875
1690383138.2618806,1480,0.59765625
1690383245.779306,1488,0.6015625
1690383351.0154765,1496,0.59765625
1690383538.051928,1504,0.59375
1690383644.338613,1512,0.6015625
1690383751.769289,1520,0.59375
1690383859.33565,1528,0.5859375
1690384046.2405708,1536,0.60546875
1690384154.4917097,1544,0.61328125
1690384261.042306,1552,0.60546875
1690384365.765775,1560,0.59765625
1690384555.3994935,1568,0.59765625
1690384659.985021,1576,0.58984375
1690384766.9857025,1584,0.59765625
1690384875.83165,1592,0.60546875
1690385063.971537,1600,0.6015625
