Wall time,Step,Value
1690255288.2635627,0,0.625
1690255406.6057498,8,0.62890625
1690255524.9355679,16,0.640625
1690255644.38809,24,0.6171875
1690255843.197643,32,0.625
1690255955.3390512,40,0.625
1690256067.1241891,48,0.609375
1690256183.2784424,56,0.62109375
1690256389.7839353,64,0.6171875
1690256504.2732718,72,0.640625
1690256617.351888,80,0.63671875
1690256727.92866,88,0.6328125
1690256924.7024784,96,0.62109375
1690257037.7445307,104,0.6328125
1690257150.137073,112,0.64453125
1690257269.8408902,120,0.64453125
1690257472.7913089,128,0.625
1690257586.1169584,136,0.63671875
1690257699.5823123,144,0.61328125
1690257813.0434778,152,0.62890625
1690258017.089227,160,0.625
1690258130.9607992,168,0.62890625
1690258244.057496,176,0.63671875
1690258356.0418732,184,0.62890625
1690258562.1054983,192,0.6171875
1690258675.9386222,200,0.64453125
1690258791.3363876,208,0.62109375
1690258906.2371366,216,0.625
1690259107.7730603,224,0.62890625
1690259221.4238663,232,0.625
1690259334.5322952,240,0.61328125
1690259446.7927449,248,0.6171875
1690259649.217952,256,0.625
1690259759.2144914,264,0.625
1690259871.657484,272,0.640625
1690259980.8955488,280,0.6328125
1690260177.939178,288,0.61328125
1690260292.8366935,296,0.62109375
1690260404.8097441,304,0.64453125
1690260519.4006329,312,0.625
1690260720.5531313,320,0.640625
1690260834.1776175,328,0.6171875
1690260945.4627926,336,0.6171875
1690261059.562003,344,0.62890625
1690261263.2739568,352,0.6171875
1690261376.758645,360,0.640625
1690261489.2147644,368,0.63671875
1690261601.9947047,376,0.62109375
1690261799.827451,384,0.62109375
1690261910.1764114,392,0.625
1690262022.418867,400,0.6171875
1690262132.9421597,408,0.625
1690262331.9827187,416,0.62109375
1690262443.2745714,424,0.61328125
1690262554.6504307,432,0.62890625
1690262666.307837,440,0.6328125
1690262862.4311652,448,0.640625
1690262971.935725,456,0.6328125
1690263081.6567044,464,0.62109375
1690263192.747618,472,0.62890625
1690263394.9525023,480,0.609375
1690263508.8062854,488,0.640625
1690263621.5208676,496,0.62890625
1690263732.834681,504,0.61328125
1690263930.093636,512,0.62890625
1690264041.557714,520,0.64453125
1690264151.948169,528,0.625
1690264262.8399158,536,0.640625
1690264459.1163638,544,0.62890625
1690264568.3092692,552,0.6171875
1690264678.3606663,560,0.625
1690264789.6669407,568,0.62890625
1690264989.217816,576,0.62890625
1690265099.6308854,584,0.61328125
1690265210.7778764,592,0.6171875
1690265321.059232,600,0.62890625
1690265519.782945,608,0.62890625
1690265633.299389,616,0.6171875
1690265746.2056408,624,0.62890625
1690265857.889912,632,0.63671875
1690266059.6821086,640,0.625
1690266171.1898012,648,0.625
1690266281.875802,656,0.59765625
1690266393.3797252,664,0.62109375
1690266591.7560816,672,0.62890625
1690266705.279559,680,0.61328125
1690266816.9230762,688,0.625
1690266926.733677,696,0.62890625
1690267122.1785626,704,0.62890625
1690267234.0390615,712,0.6171875
1690267345.3922281,720,0.625
1690267454.582349,728,0.625
1690267654.7781978,736,0.63671875
1690267766.476628,744,0.63671875
1690267879.2319536,752,0.6171875
1690267991.8537982,760,0.63671875
1690268195.0815225,768,0.63671875
1690268306.6925592,776,0.6171875
1690268418.5619256,784,0.625
1690268532.2983906,792,0.6484375
1690268740.109165,800,0.65234375
1690268860.578903,808,0.62890625
1690268973.605915,816,0.62109375
1690269085.205109,824,0.62109375
1690269287.7463744,832,0.63671875
1690269397.2608428,840,0.62890625
1690269508.0690565,848,0.640625
1690269618.1099606,856,0.6328125
1690269819.0454416,864,0.6328125
1690269928.8663113,872,0.63671875
1690270039.2295055,880,0.61328125
1690270151.1108418,888,0.640625
1690270349.6978235,896,0.640625
1690270461.9504297,904,0.62890625
1690270577.2123866,912,0.6171875
1690270691.6927507,920,0.625
1690270891.7686675,928,0.640625
1690271002.8805108,936,0.6328125
1690271113.4570453,944,0.62109375
1690271224.4538088,952,0.63671875
1690271423.0747402,960,0.640625
1690271536.675111,968,0.62109375
1690271646.974764,976,0.62109375
1690271756.5725634,984,0.625
1690271957.2316399,992,0.62109375
1690272070.96164,1000,0.62890625
1690272181.1033356,1008,0.6171875
1690272294.1963415,1016,0.62109375
1690272494.2547796,1024,0.6328125
1690272604.579985,1032,0.6171875
1690272714.0690596,1040,0.6171875
1690272824.0957973,1048,0.64453125
1690273025.7997038,1056,0.625
1690273139.1669586,1064,0.625
1690273254.4941766,1072,0.6328125
1690273367.4514415,1080,0.62890625
1690273564.1114388,1088,0.625
1690273673.5737693,1096,0.6171875
1690273785.0751295,1104,0.63671875
1690273896.2394576,1112,0.62890625
1690274093.0589423,1120,0.62890625
1690274204.8397627,1128,0.61328125
1690274316.252073,1136,0.63671875
1690274427.5355394,1144,0.63671875
1690274626.3742201,1152,0.61328125
1690274739.082228,1160,0.6328125
1690274850.8106427,1168,0.6328125
1690274960.2966676,1176,0.63671875
1690275162.6469061,1184,0.62890625
1690275274.9671595,1192,0.62109375
1690275387.6145613,1200,0.62109375
1690275499.7533429,1208,0.609375
1690275698.1528816,1216,0.625
1690275811.7464933,1224,0.6484375
1690275921.4023588,1232,0.62890625
1690276034.2840903,1240,0.640625
1690276233.0817897,1248,0.6328125
1690276345.0082526,1256,0.625
1690276454.8029525,1264,0.640625
1690276567.3809102,1272,0.62109375
1690276767.1513476,1280,0.640625
1690276876.2357898,1288,0.62109375
1690276988.8289375,1296,0.62890625
1690277099.5888355,1304,0.6171875
1690277298.6860645,1312,0.6328125
1690277410.1202438,1320,0.6328125
1690277519.6167827,1328,0.62109375
1690277630.0916858,1336,0.62109375
1690277831.7976296,1344,0.62109375
1690277945.6197965,1352,0.62109375
1690278059.7784972,1360,0.609375
1690278169.7329252,1368,0.62890625
1690278371.963243,1376,0.61328125
1690278482.1527812,1384,0.62890625
1690278593.1312795,1392,0.62890625
1690278705.4479442,1400,0.62890625
1690278901.616758,1408,0.64453125
1690279012.7272737,1416,0.59765625
1690279122.2831147,1424,0.6171875
1690279231.3395233,1432,0.62890625
1690279428.7066522,1440,0.6171875
1690279539.6075873,1448,0.625
1690279649.2293987,1456,0.625
1690279760.7405498,1464,0.63671875
1690279961.544816,1472,0.6171875
1690280075.7243505,1480,0.625
1690280187.2682607,1488,0.62109375
1690280299.9480624,1496,0.6328125
1690280504.1961322,1504,0.62890625
1690280613.7574167,1512,0.625
1690280726.8918664,1520,0.625
1690280836.3673887,1528,0.61328125
1690281034.817003,1536,0.625
1690281145.3001978,1544,0.6171875
1690281257.3435574,1552,0.625
1690281367.1332853,1560,0.61328125
1690281565.5312462,1568,0.6484375
1690281676.732682,1576,0.63671875
1690281786.544924,1584,0.640625
1690281899.9112477,1592,0.64453125
1690282097.660648,1600,0.64453125
