Wall time,Step,Value
1690969365.3959641,0,0.62890625
1690969478.3648453,8,0.62109375
1690969586.129647,16,0.62890625
1690969690.5142312,24,0.61328125
1690969878.106923,32,0.63671875
1690969990.8855138,40,0.62890625
1690970097.8353052,48,0.6171875
1690970202.856064,56,0.61328125
1690970389.8344603,64,0.609375
1690970493.6323078,72,0.61328125
1690970599.7934768,80,0.62890625
1690970707.8764293,88,0.62890625
1690970893.6414814,96,0.61328125
1690970996.1578422,104,0.62890625
1690971103.1055138,112,0.62890625
1690971208.0123875,120,0.6171875
1690971392.5222328,128,0.625
1690971498.7701027,136,0.62109375
1690971603.7755675,144,0.62109375
1690971709.1538627,152,0.640625
1690971903.400363,160,0.6328125
1690972009.1161594,168,0.63671875
1690972115.1180487,176,0.625
1690972220.943501,184,0.62890625
1690972405.7672956,192,0.6171875
1690972511.7877483,200,0.62109375
1690972618.1482475,208,0.6328125
1690972722.7378948,216,0.640625
1690972910.0026972,224,0.62109375
1690973014.148357,232,0.62109375
1690973120.7467752,240,0.62109375
1690973226.7361944,248,0.625
1690973415.4317422,256,0.6328125
1690973522.6514072,264,0.61328125
1690973627.0015168,272,0.625
1690973731.5332546,280,0.6171875
1690973914.097159,288,0.6171875
1690974020.5492723,296,0.640625
1690974123.9953818,304,0.63671875
1690974227.3726685,312,0.625
1690974414.2567112,320,0.6328125
1690974520.7310762,328,0.625
1690974624.9054244,336,0.625
1690974730.5132408,344,0.62109375
1690974918.430108,352,0.625
1690975021.1461847,360,0.6328125
1690975124.477168,368,0.640625
1690975230.6532826,376,0.62109375
1690975417.341983,384,0.62109375
1690975524.394276,392,0.63671875
1690975630.5571122,400,0.62109375
1690975736.141244,408,0.62109375
1690975920.102991,416,0.625
1690976023.1359954,424,0.61328125
1690976130.863282,432,0.62890625
1690976238.269853,440,0.62109375
1690976425.1083572,448,0.62890625
1690976532.0393393,456,0.62890625
1690976635.756888,464,0.62109375
1690976739.6488075,472,0.625
1690976927.4964166,480,0.64453125
1690977040.3391843,488,0.625
1690977143.329654,496,0.62890625
1690977250.195481,504,0.63671875
1690977436.2700596,512,0.61328125
1690977540.500772,520,0.6328125
1690977645.8892856,528,0.6171875
1690977751.8768857,536,0.625
1690977935.9355662,544,0.6328125
1690978040.7393315,552,0.62890625
1690978145.6672466,560,0.6171875
1690978253.0754063,568,0.62890625
1690978436.1209228,576,0.6328125
1690978540.5806665,584,0.6171875
1690978646.7674112,592,0.625
1690978751.3962958,600,0.62109375
1690978936.8449924,608,0.61328125
1690979039.7700863,616,0.62890625
1690979145.2463262,624,0.6328125
1690979251.7719061,632,0.64453125
1690979435.0129728,640,0.6328125
1690979538.6363053,648,0.625
1690979642.3687086,656,0.6171875
1690979748.0355856,664,0.60546875
1690979934.5144238,672,0.625
1690980039.273854,680,0.6328125
1690980144.9024708,688,0.6328125
1690980249.1557171,696,0.6171875
1690980435.628969,704,0.625
1690980542.0386336,712,0.6328125
1690980650.0094032,720,0.609375
1690980754.8158257,728,0.6328125
1690980941.0068645,736,0.62890625
1690981047.7118368,744,0.62109375
1690981152.0360413,752,0.62890625
1690981258.1344137,760,0.62109375
1690981444.7530596,768,0.625
1690981549.9595668,776,0.6171875
1690981656.5944679,784,0.62109375
1690981760.1848893,792,0.625
1690981947.053605,800,0.62890625
