Wall time,Step,Value
1689188773.2675178,0,0.640625
1689188890.00713,8,0.6328125
1689188997.4042056,16,0.66015625
1689189109.6293323,24,0.6484375
1689189298.7951148,32,0.640625
1689189404.9325407,40,0.65234375
1689189511.650356,48,0.63671875
1689189616.4692545,56,0.6328125
1689189810.5296423,64,0.64453125
1689189920.0585966,72,0.66015625
1689190025.4389918,80,0.625
1689190129.635456,88,0.65625
1689190320.6516867,96,0.64453125
1689190425.1921659,104,0.63671875
1689190531.2635443,112,0.6484375
1689190635.7068334,120,0.64453125
1689190828.5619469,128,0.65234375
1689190934.5076997,136,0.65234375
1689191042.6777627,144,0.640625
1689191151.0387526,152,0.64453125
1689191339.3850503,160,0.63671875
1689191447.749605,168,0.64453125
1689191554.3315022,176,0.640625
1689191661.471903,184,0.65625
1689191857.4225347,192,0.62890625
1689191966.5525155,200,0.640625
1689192075.0453877,208,0.6484375
1689192184.1583898,216,0.6328125
1689192377.509303,224,0.6640625
1689192490.2793427,232,0.66015625
1689192600.9295206,240,0.65625
1689192714.9960585,248,0.64453125
1689192919.716339,256,0.62890625
1689193032.8492887,264,0.65234375
1689193145.2815273,272,0.63671875
1689193256.4026446,280,0.63671875
1689193455.0372543,288,0.6328125
1689193567.0139658,296,0.65234375
1689193678.766236,304,0.64453125
1689193789.9740176,312,0.64453125
1689193986.3029652,320,0.67578125
1689194109.4279606,328,0.65625
1689194222.046267,336,0.63671875
1689194332.5651953,344,0.640625
1689194531.6531167,352,0.65234375
1689194643.5453997,360,0.65625
1689194754.4832675,368,0.65625
1689194867.0645103,376,0.66015625
1689195065.4534729,384,0.64453125
1689195177.1996856,392,0.640625
1689195285.9483917,400,0.64453125
1689195396.7416139,408,0.640625
1689195595.315128,416,0.6484375
1689195704.6733758,424,0.64453125
1689195816.095545,432,0.65625
1689195925.8414712,440,0.6484375
1689196120.7587664,448,0.65625
1689196233.304648,456,0.625
1689196343.9912844,464,0.65625
1689196453.2278736,472,0.64453125
1689196651.6680577,480,0.64453125
1689196762.9115539,488,0.63671875
1689196871.1778803,496,0.6484375
1689196982.0150096,504,0.63671875
1689197182.0751073,512,0.65625
1689197292.6753225,520,0.671875
1689197405.049556,528,0.65625
1689197515.0398352,536,0.65625
1689197710.148509,544,0.63671875
1689197820.4522007,552,0.65234375
1689197928.4459612,560,0.66015625
1689198039.3807952,568,0.63671875
1689198235.667657,576,0.65234375
1689198345.1178732,584,0.640625
1689198454.3701494,592,0.640625
1689198560.964134,600,0.6484375
1689198759.3724697,608,0.65625
1689198868.5282168,616,0.65234375
1689198980.773823,624,0.65234375
1689199089.109556,632,0.65234375
1689199283.8361497,640,0.6484375
1689199394.7335618,648,0.65234375
1689199502.9241261,656,0.66015625
1689199613.2679732,664,0.640625
1689199808.469021,672,0.65625
1689199917.436214,680,0.63671875
1689200023.6443527,688,0.640625
1689200131.8957565,696,0.64453125
1689200325.9447927,704,0.66015625
1689200435.8316486,712,0.6484375
1689200542.1289127,720,0.62890625
1689200651.4185615,728,0.64453125
1689200844.5976505,736,0.63671875
1689200952.5261815,744,0.6484375
1689201060.1523814,752,0.65625
1689201170.9627025,760,0.65625
1689201364.486208,768,0.65234375
1689201473.8138447,776,0.64453125
1689201581.0110435,784,0.6328125
1689201687.5725887,792,0.62109375
1689201879.4219544,800,0.640625
1689201984.7855742,808,0.671875
1689202091.5125458,816,0.640625
1689202198.571124,824,0.66015625
1689202388.9083114,832,0.671875
1689202498.482884,840,0.65234375
1689202604.772471,848,0.64453125
1689202711.9369655,856,0.64453125
1689202901.5039027,864,0.640625
1689203006.6938286,872,0.65625
1689203112.1865668,880,0.6484375
1689203218.1445417,888,0.671875
1689203407.441402,896,0.64453125
1689203513.1029272,904,0.63671875
1689203619.32474,912,0.65625
1689203725.3536031,920,0.640625
1689203914.7025988,928,0.6484375
1689204020.8254783,936,0.65234375
1689204125.6932983,944,0.640625
1689204230.0951166,952,0.65234375
1689204419.252758,960,0.66796875
1689204525.9771674,968,0.6484375
1689204631.7608485,976,0.6484375
1689204737.0936117,984,0.64453125
1689204924.6330347,992,0.65234375
1689205030.1288092,1000,0.66015625
1689205136.280174,1008,0.6484375
1689205240.83084,1016,0.640625
1689205429.1297536,1024,0.65234375
1689205534.2842612,1032,0.66015625
1689205638.67748,1040,0.65625
1689205742.005974,1048,0.63671875
1689205930.9818573,1056,0.64453125
1689206036.1523764,1064,0.66015625
1689206140.8454323,1072,0.66015625
1689206246.3026242,1080,0.6328125
1689206433.8359845,1088,0.64453125
1689206538.872072,1096,0.65234375
1689206642.919404,1104,0.6484375
1689206748.4983244,1112,0.65234375
1689206936.1927857,1120,0.65234375
1689207041.3447695,1128,0.640625
1689207145.7482872,1136,0.6484375
1689207248.6482732,1144,0.64453125
1689207438.5389023,1152,0.66015625
1689207544.5683658,1160,0.6328125
1689207647.172137,1168,0.64453125
1689207750.155136,1176,0.640625
1689207934.7401574,1184,0.63671875
1689208037.3800051,1192,0.66015625
1689208142.772937,1200,0.63671875
1689208249.7136462,1208,0.6484375
1689208436.0966713,1216,0.64453125
1689208539.7351947,1224,0.66796875
1689208644.6705637,1232,0.640625
1689208749.9855735,1240,0.64453125
1689208937.3361924,1248,0.64453125
1689209042.3099122,1256,0.63671875
1689209147.7515874,1264,0.66796875
1689209251.2889938,1272,0.65234375
1689209437.4726565,1280,0.65234375
1689209542.3876414,1288,0.65625
1689209645.596164,1296,0.63671875
1689209750.7680519,1304,0.6484375
1689209936.5192735,1312,0.65234375
1689210040.7520773,1320,0.64453125
1689210145.7859693,1328,0.671875
1689210248.613636,1336,0.62890625
1689210436.1165483,1344,0.65234375
1689210539.51496,1352,0.6328125
1689210643.5259826,1360,0.64453125
1689210747.7780728,1368,0.65234375
1689210934.2162898,1376,0.63671875
1689211037.8778114,1384,0.6328125
1689211141.1416442,1392,0.64453125
1689211244.6799455,1400,0.6640625
1689211430.450807,1408,0.6484375
1689211534.9100003,1416,0.6484375
1689211638.1273592,1424,0.65234375
1689211741.8505712,1432,0.62890625
1689211927.0106833,1440,0.6484375
1689212030.5485506,1448,0.63671875
1689212133.3162582,1456,0.6484375
1689212236.3574457,1464,0.64453125
1689212423.1067367,1472,0.65234375
1689212526.1508863,1480,0.63671875
1689212629.7316186,1488,0.66796875
1689212732.817215,1496,0.62890625
1689212918.6275811,1504,0.6640625
1689213022.4542017,1512,0.65234375
1689213126.5405858,1520,0.66015625
1689213230.3893504,1528,0.65234375
1689213415.5359843,1536,0.671875
1689213519.8577166,1544,0.64453125
1689213624.4256687,1552,0.65234375
1689213726.1264615,1560,0.6640625
1689213914.4858494,1568,0.6484375
1689214016.90889,1576,0.640625
1689214118.85392,1584,0.64453125
1689214224.3855796,1592,0.66015625
1689214407.895581,1600,0.640625
1689214511.1632483,1608,0.63671875
1689214614.7506473,1616,0.64453125
1689214717.066155,1624,0.64453125
1689214902.49342,1632,0.65625
1689215008.2716198,1640,0.65234375
1689215110.7038665,1648,0.6640625
1689215211.098819,1656,0.64453125
1689215397.057029,1664,0.6484375
1689215501.835655,1672,0.6640625
1689215605.6542404,1680,0.65234375
