Wall time,Step,Value
1690969366.4634423,0,0.640625
1690969479.821078,8,0.64453125
1690969593.2338636,16,0.6484375
1690969704.17421,24,0.63671875
1690969893.1266174,32,0.65625
1690970006.9153903,40,0.65234375
1690970114.0601957,48,0.65625
1690970219.2392142,56,0.65234375
1690970406.9930625,64,0.65625
1690970513.0086331,72,0.66015625
1690970625.9205694,80,0.6484375
1690970732.7936559,88,0.6484375
1690970923.8396297,96,0.6484375
1690971029.4691808,104,0.64453125
1690971135.1332455,112,0.640625
1690971241.6663535,120,0.6328125
1690971430.6086159,128,0.65625
1690971536.6402597,136,0.65234375
1690971644.6511686,144,0.64453125
1690971752.0401464,152,0.66015625
1690971941.6345832,160,0.65234375
1690972048.4929717,168,0.6328125
1690972153.391869,176,0.66015625
1690972260.4526007,184,0.64453125
1690972450.6912327,192,0.6484375
1690972558.9874387,200,0.64453125
1690972664.712711,208,0.66015625
1690972772.6570225,216,0.6328125
1690972959.3336499,224,0.64453125
1690973067.607472,232,0.640625
1690973172.5441976,240,0.66015625
1690973279.8824446,248,0.66796875
1690973474.3063874,256,0.6484375
1690973581.5893042,264,0.64453125
1690973687.4323454,272,0.625
1690973792.1971345,280,0.65234375
1690973980.8162467,288,0.6640625
1690974086.8464303,296,0.6328125
1690974193.666048,304,0.625
1690974300.018864,312,0.6484375
1690974486.5838077,320,0.640625
1690974594.5895352,328,0.640625
1690974701.2971053,336,0.64453125
1690974806.8404543,344,0.6484375
1690974993.5979843,352,0.6484375
1690975101.1747823,360,0.65625
1690975208.6207998,368,0.65234375
1690975314.1311326,376,0.6328125
1690975501.9347954,384,0.64453125
1690975608.674675,392,0.6328125
1690975713.0349941,400,0.640625
1690975820.6384728,408,0.6640625
1690976008.3105319,416,0.62890625
1690976115.433764,424,0.64453125
1690976221.723589,432,0.6328125
1690976327.2969706,440,0.6484375
1690976515.4853117,448,0.64453125
1690976622.7956405,456,0.65625
1690976729.5041082,464,0.6484375
1690976834.7415423,472,0.65234375
1690977023.168112,480,0.65234375
1690977128.761331,488,0.64453125
1690977233.2504911,496,0.64453125
1690977339.9651005,504,0.66015625
1690977528.8811905,512,0.64453125
1690977634.9409678,520,0.640625
1690977744.0446498,528,0.65234375
1690977850.119607,536,0.640625
1690978037.4744956,544,0.65625
1690978142.1318226,552,0.6328125
1690978247.8730962,560,0.65234375
1690978354.2810493,568,0.62109375
1690978542.7521505,576,0.65234375
1690978648.441694,584,0.6484375
1690978755.6014922,592,0.65234375
1690978859.9369798,600,0.65625
1690979050.6563249,608,0.65234375
1690979158.1534276,616,0.66015625
1690979264.7148368,624,0.63671875
1690979369.7926471,632,0.6484375
1690979557.5498545,640,0.63671875
1690979664.2370677,648,0.640625
1690979769.7547674,656,0.65625
1690979876.3303952,664,0.64453125
1690980065.992868,672,0.64453125
1690980172.6139662,680,0.6484375
1690980278.3870122,688,0.6484375
1690980384.275594,696,0.6484375
1690980572.8119035,704,0.640625
1690980680.7450526,712,0.64453125
1690980785.0589616,720,0.64453125
1690980890.274638,728,0.64453125
1690981077.337137,736,0.640625
1690981182.9551244,744,0.6484375
1690981287.9140234,752,0.64453125
1690981395.5557883,760,0.65625
1690981584.85626,768,0.65625
1690981691.2878273,776,0.65234375
1690981798.2189775,784,0.65625
1690981902.8752904,792,0.63671875
1690982090.6116862,800,0.65234375
