Wall time,Step,Value
1689998492.1557431,0,0.640625
1689998619.3044994,8,0.64453125
1689998745.2555974,16,0.6484375
1689998870.6513166,24,0.64453125
1689999074.7167306,32,0.64453125
1689999192.0470307,40,0.65234375
1689999318.7193372,48,0.6328125
1689999433.9686828,56,0.62890625
1689999635.2932868,64,0.66015625
1689999759.5393043,72,0.6484375
1689999877.4305832,80,0.65625
1689999994.0938475,88,0.6640625
1690000207.5047305,96,0.640625
1690000322.71243,104,0.6328125
1690000439.6091154,112,0.6484375
1690000557.3686488,120,0.66796875
1690000767.4213257,128,0.6484375
1690000883.6603549,136,0.62890625
1690001002.5575297,144,0.6640625
1690001123.9802191,152,0.640625
1690001324.9547918,160,0.66015625
1690001446.8165495,168,0.6484375
1690001562.3349671,176,0.6484375
1690001682.5566158,184,0.65625
1690001890.961864,192,0.65234375
1690002014.8857875,200,0.63671875
1690002135.1155245,208,0.65234375
1690002258.38801,216,0.6328125
1690002461.69038,224,0.64453125
1690002588.8710551,232,0.6484375
1690002709.7980201,240,0.6484375
1690002835.8338945,248,0.62890625
1690003045.2298567,256,0.640625
1690003173.6293197,264,0.65625
1690003298.2318826,272,0.6640625
1690003417.6301665,280,0.64453125
1690003631.246065,288,0.65625
1690003754.2450655,296,0.64453125
1690003881.3337445,304,0.63671875
1690004007.3253667,312,0.640625
1690004216.5915937,320,0.64453125
1690004341.972251,328,0.65234375
1690004464.74333,336,0.6640625
1690004585.6802878,344,0.65234375
1690004791.8290324,352,0.65625
1690004914.016498,360,0.6484375
1690005037.6456468,368,0.64453125
1690005161.8628786,376,0.64453125
1690005370.8561542,384,0.65625
1690005493.723415,392,0.64453125
1690005616.0352051,400,0.640625
1690005739.0479212,408,0.65234375
1690005948.4685733,416,0.63671875
1690006068.6496198,424,0.66796875
1690006192.677514,432,0.66015625
1690006314.3305945,440,0.66015625
1690006525.8919816,448,0.6328125
1690006650.7057447,456,0.640625
1690006774.0898824,464,0.6640625
1690006893.587705,472,0.65625
1690007101.958684,480,0.640625
1690007222.1405113,488,0.64453125
1690007342.12634,496,0.65234375
1690007464.6101918,504,0.64453125
1690007675.9962919,512,0.64453125
1690007798.1276877,520,0.6484375
1690007923.120363,528,0.65625
1690008045.7848096,536,0.625
1690008248.8148425,544,0.65234375
1690008369.8080232,552,0.640625
1690008488.5534117,560,0.64453125
1690008610.8634872,568,0.66796875
1690008818.8113194,576,0.65234375
1690008940.8588135,584,0.66015625
1690009062.7227979,592,0.6484375
1690009178.0685632,600,0.6484375
1690009391.2930977,608,0.640625
1690009515.0828795,616,0.63671875
1690009635.8231175,624,0.6328125
1690009753.8703933,632,0.62890625
1690009960.4560626,640,0.64453125
1690010082.3387806,648,0.6484375
1690010200.3738563,656,0.6484375
1690010324.1987524,664,0.640625
1690010532.5829427,672,0.65625
1690010654.5143352,680,0.671875
1690010779.727853,688,0.640625
1690010899.326795,696,0.6484375
1690011105.4329946,704,0.65625
1690011227.782669,712,0.65625
1690011346.3085172,720,0.6640625
1690011467.1745605,728,0.65625
1690011671.5186694,736,0.65625
1690011791.2924986,744,0.640625
1690011908.9825566,752,0.63671875
1690012032.7049105,760,0.64453125
1690012239.9760604,768,0.6484375
1690012360.5165014,776,0.6484375
1690012479.3092027,784,0.66796875
1690012596.6790233,792,0.64453125
1690012802.971375,800,0.64453125
1690012922.2299006,808,0.65234375
1690013045.7754407,816,0.63671875
1690013169.8662868,824,0.640625
1690013380.2128868,832,0.63671875
1690013508.5281107,840,0.66015625
1690013635.568148,848,0.6484375
1690013760.3743982,856,0.640625
1690013963.4481492,864,0.64453125
1690014082.8438258,872,0.6484375
1690014199.5424817,880,0.63671875
1690014320.3581612,888,0.65625
1690014522.2785714,896,0.65234375
1690014639.0750291,904,0.6484375
1690014757.5120404,912,0.6328125
1690014878.391871,920,0.62890625
1690015079.6147985,928,0.6640625
1690015198.132255,936,0.66015625
1690015314.6100743,944,0.6484375
1690015432.0181284,952,0.64453125
1690015637.1370535,960,0.66796875
1690015757.2313015,968,0.64453125
1690015878.1317916,976,0.64453125
1690015994.9309692,984,0.6640625
1690016194.6813278,992,0.6484375
1690016312.8062353,1000,0.6484375
1690016433.0292206,1008,0.65234375
1690016546.5392346,1016,0.65234375
1690016748.9799514,1024,0.63671875
1690016866.4571874,1032,0.640625
1690016983.9291859,1040,0.65234375
1690017099.4973865,1048,0.64453125
1690017304.2933576,1056,0.6328125
1690017423.314868,1064,0.65625
1690017540.5473566,1072,0.66796875
1690017657.556816,1080,0.65625
1690017860.9224486,1088,0.6484375
1690017979.4229991,1096,0.66015625
1690018096.5671725,1104,0.65234375
1690018214.1541789,1112,0.6640625
1690018415.537959,1120,0.6484375
