Wall time,Step,Value
1689415366.106596,0,0.640625
1689415497.360736,8,0.64453125
1689415626.973882,16,0.625
1689415748.6219773,24,0.6484375
1689415964.7061083,32,0.6328125
1689416086.566377,40,0.6328125
1689416210.7198107,48,0.64453125
1689416330.7491493,56,0.64453125
1689416538.5413408,64,0.62890625
1689416662.3956943,72,0.66015625
1689416791.7510343,80,0.64453125
1689416912.0957623,88,0.65234375
1689417125.4036014,96,0.65625
1689417247.4425254,104,0.6484375
1689417371.3721142,112,0.6484375
1689417495.8561356,120,0.640625
1689417709.7127273,128,0.64453125
1689417833.3264022,136,0.66015625
1689417962.442237,144,0.65625
1689418090.9758058,152,0.6484375
1689418303.9889145,160,0.6328125
1689418431.8094268,168,0.65234375
1689418554.863491,176,0.6484375
1689418680.4205701,184,0.65234375
1689418896.3121371,192,0.64453125
1689419024.0620792,200,0.66015625
1689419147.8063807,208,0.625
1689419274.3494062,216,0.6328125
1689419482.5936322,224,0.63671875
1689419612.6640527,232,0.63671875
1689419734.2130907,240,0.640625
1689419861.466269,248,0.6484375
1689420070.3861408,256,0.6328125
1689420196.6752815,264,0.640625
1689420320.898949,272,0.62890625
1689420441.2429826,280,0.6484375
1689420651.4261498,288,0.65625
1689420776.0291355,296,0.6484375
1689420903.4940095,304,0.6328125
1689421028.0102894,312,0.640625
1689421237.199478,320,0.64453125
1689421365.3102696,328,0.63671875
1689421487.0087612,336,0.64453125
1689421607.6791527,344,0.6484375
1689421811.5780866,352,0.63671875
1689421936.9178212,360,0.63671875
1689422062.0626383,368,0.6484375
1689422188.2565222,376,0.6484375
1689422395.0748074,384,0.64453125
1689422519.8519096,392,0.65625
1689422640.8144395,400,0.6484375
1689422765.8441584,408,0.62890625
1689422974.4849205,416,0.640625
1689423096.7767391,424,0.6328125
1689423222.1889987,432,0.640625
1689423344.44907,440,0.65625
1689423553.2096543,448,0.63671875
1689423678.7899842,456,0.640625
1689423803.3303473,464,0.65234375
1689423922.7444584,472,0.64453125
1689424129.6083388,480,0.65625
1689424252.4528449,488,0.6484375
1689424373.2344794,496,0.65625
1689424497.1667202,504,0.6484375
1689424708.909823,512,0.640625
1689424833.1104193,520,0.63671875
1689424961.6419609,528,0.64453125
1689425084.7517002,536,0.62890625
1689425288.8491817,544,0.64453125
1689425411.6295557,552,0.640625
1689425532.5039935,560,0.640625
1689425655.1752753,568,0.66015625
1689425862.8743055,576,0.625
1689425984.8440166,584,0.640625
1689426111.2935917,592,0.6484375
1689426231.5806165,600,0.6484375
1689426444.5172434,608,0.65625
1689426568.2467704,616,0.65625
1689426693.1129086,624,0.63671875
1689426813.148536,632,0.6328125
1689427018.5113528,640,0.62890625
1689427142.296436,648,0.6484375
1689427262.5675564,656,0.65234375
1689427388.5469124,664,0.64453125
1689427599.237727,672,0.63671875
1689427722.9087126,680,0.64453125
1689427843.5126698,688,0.64453125
1689427966.7338293,696,0.64453125
1689428174.4411547,704,0.66015625
1689428300.3076086,712,0.6484375
1689428421.6510787,720,0.65625
1689428544.6911097,728,0.64453125
1689428752.9577203,736,0.66015625
1689428877.3198025,744,0.6640625
1689429006.0025697,752,0.65625
1689429133.5396469,760,0.6328125
1689429341.5384061,768,0.64453125
1689429465.0945172,776,0.63671875
1689429587.0905814,784,0.6484375
1689429707.486185,792,0.64453125
1689429914.9712179,800,0.6484375
1689430035.7183197,808,0.65625
1689430161.9875712,816,0.63671875
1689430287.3162336,824,0.65234375
1689430539.9535956,832,0.63671875
1689430774.7003057,840,0.60546875
1689431027.0936315,848,0.6171875
1689431283.986031,856,0.60546875
1689431763.8556738,864,0.60546875
1689432022.4829118,872,0.6171875
1689432276.8422065,880,0.5859375
1689432538.5055127,888,0.60546875
1689433017.2133267,896,0.609375
1689433274.3001108,904,0.60546875
1689433532.8528812,912,0.59765625
1689433791.9702318,920,0.6015625
1689434272.0012667,928,0.61328125
1689434530.6368365,936,0.62109375
1689434788.8939693,944,0.58984375
1689435048.040629,952,0.60546875
1689435532.1945772,960,0.6015625
1689435793.7357993,968,0.609375
1689436055.2590744,976,0.59375
1689436311.191381,984,0.6015625
1689436783.7247143,992,0.60546875
1689437038.6111252,1000,0.5859375
1689437294.2348864,1008,0.609375
1689437543.0664513,1016,0.59765625
1689438015.0880249,1024,0.60546875
1689438268.2966156,1032,0.6171875
1689438522.175306,1040,0.60546875
1689438774.5404832,1048,0.6015625
1689439249.161647,1056,0.58203125
1689439505.6295967,1064,0.59765625
1689439761.3922443,1072,0.6171875
1689440013.8011177,1080,0.62109375
1689440488.2537131,1088,0.61328125
1689440743.3623347,1096,0.57421875
1689440996.0184143,1104,0.60546875
1689441250.5754375,1112,0.59765625
1689441720.100622,1120,0.58984375
1689441975.995312,1128,0.60546875
1689442229.0011148,1136,0.59375
1689442479.6970663,1144,0.59375
1689442956.8636842,1152,0.61328125
1689443216.9174938,1160,0.59765625
1689443468.1013825,1168,0.6015625
1689443721.662445,1176,0.61328125
1689444194.4034946,1184,0.59765625
1689444448.2635894,1192,0.61328125
1689444699.6432729,1200,0.6015625
1689444953.9256294,1208,0.609375
1689445425.3614335,1216,0.60546875
1689445680.5551386,1224,0.6015625
1689445939.0223389,1232,0.6171875
