Wall time,Step,Value
1689263518.8819306,0,0.62890625
1689263643.5360594,8,0.6171875
1689263764.0800188,16,0.609375
1689263881.2572389,24,0.63671875
1689264085.675433,32,0.640625
1689264209.7760832,40,0.62890625
1689264324.4052217,48,0.6328125
1689264437.1486523,56,0.63671875
1689264632.7414849,64,0.6328125
1689264739.5806873,72,0.63671875
1689264848.821052,80,0.6328125
1689264962.2515495,88,0.6328125
1689265153.9892151,96,0.63671875
1689265263.9309375,104,0.640625
1689265377.0571723,112,0.64453125
1689265497.770615,120,0.6484375
1689265712.7902653,128,0.63671875
1689265822.2637875,136,0.6484375
1689265929.5890756,144,0.6484375
1689266039.8509161,152,0.65234375
1689266233.5268188,160,0.65234375
1689266343.7509334,168,0.64453125
1689266453.5527391,176,0.65234375
1689266564.2261643,184,0.65234375
1689266752.1688397,192,0.6640625
1689266873.1830232,200,0.6640625
1689266983.5685408,208,0.64453125
1689267092.77108,216,0.65234375
1689267285.6213212,224,0.66015625
1689267394.1678705,232,0.65625
1689267503.3362322,240,0.6484375
1689267615.1789348,248,0.65234375
1689267803.9187143,256,0.6484375
1689267915.1252553,264,0.6328125
1689268022.528754,272,0.640625
1689268132.43589,280,0.65625
1689268321.9899576,288,0.63671875
1689268432.3705873,296,0.6484375
1689268540.1847706,304,0.6484375
1689268648.2246387,312,0.63671875
1689268839.3537676,320,0.640625
1689268948.1777742,328,0.64453125
1689269055.8155627,336,0.64453125
1689269167.1371055,344,0.6640625
1689269355.0724008,352,0.66796875
1689269471.7912412,360,0.65625
1689269575.7120335,368,0.6484375
1689269681.802468,376,0.65625
1689269876.2879283,384,0.65625
1689269987.794375,392,0.66015625
1689270096.4190555,400,0.66015625
1689270204.615557,408,0.65234375
1689270394.277434,416,0.6640625
1689270499.9413476,424,0.65234375
1689270610.0786977,432,0.64453125
1689270722.1600127,440,0.66015625
1689270916.1696136,448,0.6484375
1689271027.3419874,456,0.66015625
1689271133.4622402,464,0.66015625
1689271240.8349319,472,0.64453125
1689271432.2434587,480,0.64453125
1689271542.9273334,488,0.65625
1689271649.2086272,496,0.63671875
1689271757.8454616,504,0.64453125
1689271949.8136482,512,0.65625
1689272058.2648947,520,0.6484375
1689272163.7399423,528,0.65625
1689272271.3872743,536,0.6484375
1689272459.1912231,544,0.65625
1689272570.5340102,552,0.6640625
1689272680.1326406,560,0.65234375
1689272792.2308757,568,0.65625
1689272984.30665,576,0.65234375
1689273094.514693,584,0.64453125
1689273204.2299454,592,0.64453125
1689273311.7187204,600,0.6484375
1689273501.151439,608,0.64453125
1689273607.3835866,616,0.65625
1689273716.4088075,624,0.65234375
1689273828.118218,632,0.6484375
1689274016.7352412,640,0.65234375
1689274125.0575888,648,0.65625
1689274233.2957284,656,0.64453125
1689274342.9977438,664,0.6484375
1689274536.5951424,672,0.65234375
1689274646.006031,680,0.6484375
1689274756.4158673,688,0.65234375
1689274863.2049046,696,0.6484375
1689275053.5017815,704,0.66015625
1689275163.7181404,712,0.65625
1689275274.3089375,720,0.66015625
1689275381.3664207,728,0.66015625
1689275573.7727385,736,0.65234375
1689275684.8603706,744,0.65625
1689275791.6718519,752,0.66015625
1689275897.5097303,760,0.6484375
1689276086.3653345,768,0.65234375
1689276196.6960244,776,0.66015625
1689276305.922234,784,0.65234375
1689276412.9142165,792,0.64453125
1689276608.2015193,800,0.640625
1689276717.5492225,808,0.640625
1689276824.0435205,816,0.66015625
1689276929.6620786,824,0.65234375
1689277115.9756777,832,0.65234375
1689277219.7052763,840,0.66015625
1689277326.5409782,848,0.64453125
