Wall time,Step,Value
1689262214.216313,0,0.62890625
1689262338.5696235,8,0.62109375
1689262449.3736773,16,0.625
1689262563.4310226,24,0.609375
1689262762.5752661,32,0.63671875
1689262884.3121226,40,0.62890625
1689263001.7298443,48,0.62890625
1689263115.7847686,56,0.625
1689263311.879256,64,0.61328125
1689263426.1028073,72,0.62890625
1689263538.9189994,80,0.62109375
1689263650.9789996,88,0.62890625
1689263848.0400376,96,0.62109375
1689263955.2499745,104,0.63671875
1689264065.1168783,112,0.62109375
1689264177.170305,120,0.6328125
1689264367.3647273,128,0.59375
1689264475.7808688,136,0.625
1689264588.1752374,144,0.6328125
1689264696.6969373,152,0.62890625
1689264893.1027505,160,0.6171875
1689265000.3150904,168,0.64453125
1689265113.1198106,176,0.625
1689265226.744286,184,0.61328125
1689265425.3521693,192,0.625
1689265539.7137377,200,0.6328125
1689265658.5366223,208,0.625
1689265777.2705176,216,0.62109375
1689265981.2760935,224,0.625
1689266101.6679718,232,0.625
1689266224.5746639,240,0.625
1689266345.8689463,248,0.625
1689266555.4636438,256,0.63671875
1689266678.2333722,264,0.63671875
1689266789.695283,272,0.625
1689266899.0397143,280,0.640625
1689267107.2502308,288,0.640625
1689267229.6761487,296,0.625
1689267350.2377589,304,0.625
1689267472.4954872,312,0.640625
1689267687.574674,320,0.6328125
1689267803.28693,328,0.64453125
1689267921.1961935,336,0.640625
1689268039.237193,344,0.61328125
1689268244.6073732,352,0.625
1689268359.7282195,360,0.62890625
1689268481.7972972,368,0.65625
1689268607.7305927,376,0.62109375
1689268822.2974658,384,0.6328125
1689268942.5560076,392,0.6328125
1689269062.4114707,400,0.640625
1689269180.1369712,408,0.62890625
1689269382.2109113,416,0.625
1689269496.5879076,424,0.6484375
1689269611.1103094,432,0.640625
1689269734.4473517,440,0.6328125
1689269946.3718853,448,0.6484375
1689270066.8120618,456,0.6484375
1689270183.3532887,464,0.65234375
1689270301.5754225,472,0.640625
1689270510.6461754,480,0.65234375
1689270630.5431392,488,0.62890625
1689270743.9964683,496,0.640625
1689270858.8522282,504,0.640625
1689271060.2907495,512,0.6328125
1689271178.944469,520,0.66015625
1689271305.0399609,528,0.625
1689271419.26857,536,0.65234375
1689271625.643389,544,0.640625
1689271735.2522333,552,0.640625
1689271848.0495312,560,0.63671875
1689271969.550864,568,0.6484375
1689272172.492055,576,0.64453125
1689272285.753497,584,0.6328125
1689272402.676524,592,0.63671875
1689272520.3284817,600,0.64453125
1689272733.8792486,608,0.63671875
1689272851.566381,616,0.6328125
1689272960.1346622,624,0.62109375
1689273079.534768,632,0.6484375
1689273286.06736,640,0.63671875
1689273402.4391298,648,0.6484375
1689273519.9893432,656,0.64453125
1689273629.3332283,664,0.6328125
1689273840.3622062,672,0.65625
1689273959.2686222,680,0.64453125
1689274072.828739,688,0.6640625
1689274197.9851105,696,0.65234375
1689274402.7609353,704,0.6484375
1689274513.320569,712,0.6484375
1689274635.3103166,720,0.65625
1689274744.5554736,728,0.6484375
1689274951.6289067,736,0.65234375
1689275073.3057733,744,0.62109375
1689275185.494827,752,0.66015625
1689275297.794821,760,0.65234375
1689275506.9434748,768,0.640625
1689275623.6829906,776,0.63671875
1689275738.7542193,784,0.6484375
1689275854.9136412,792,0.65234375
1689276063.5613596,800,0.6484375
