Wall time,Step,Value
1689200679.064148,0,0.62890625
1689200795.5118325,8,0.6171875
1689200906.5501895,16,0.60546875
1689201013.9670775,24,0.62109375
1689201200.664063,32,0.59765625
1689201309.8757868,40,0.62109375
1689201417.5025628,48,0.61328125
1689201524.4303257,56,0.62109375
1689201712.4305394,64,0.62109375
1689201819.0061393,72,0.61328125
1689201923.0726078,80,0.62109375
1689202028.4303644,88,0.62109375
1689202211.4973567,96,0.6171875
1689202314.1666214,104,0.6015625
1689202419.7657475,112,0.60546875
1689202524.2113273,120,0.5859375
1689202707.2639847,128,0.59375
1689202812.9422717,136,0.58984375
1689202916.6832502,144,0.60546875
1689203025.2971294,152,0.62109375
1689203224.3089921,160,0.6328125
1689203343.6690705,168,0.609375
1689203456.5891376,176,0.62890625
1689203569.761936,184,0.62109375
1689203772.655507,192,0.63671875
1689203894.9836617,200,0.609375
1689204012.0171154,208,0.62890625
1689204128.5797744,216,0.625
1689204332.6242108,224,0.6328125
1689204449.3905056,232,0.6328125
1689204582.0957901,240,0.62109375
1689204820.7402165,248,0.68359375
1689205293.885977,256,0.69140625
1689205551.5249467,264,0.66015625
1689205807.2137854,272,0.59765625
1689206061.1655111,280,0.5
1689206544.126646,288,0.50390625
1689206801.8661354,296,0.5
1689207058.3572266,304,0.5
1689207315.0232904,312,0.49609375
1689207809.236973,320,0.5
1689208066.5352867,328,0.5
1689208320.8308473,336,0.5
1689208575.5510612,344,0.5
1689209064.8164773,352,0.5
1689209319.9241633,360,0.5
1689209577.885763,368,0.5
1689209837.1554618,376,0.5
1689210324.001618,384,0.5
1689210579.6885726,392,0.5
1689210833.960527,400,0.5
1689211090.3192668,408,0.49609375
1689211573.4868312,416,0.5078125
1689211826.1108346,424,0.5
1689212083.546708,432,0.5
1689212341.884435,440,0.49609375
1689212829.3821173,448,0.49609375
1689213086.8209703,456,0.49609375
1689213340.6158497,464,0.5
1689213592.9476042,472,0.5
1689214082.2799642,480,0.53125
1689214337.2237027,488,0.58984375
1689214564.821753,496,0.6171875
1689214681.0633137,504,0.55859375
1689214816.897544,512,0.5078125
1689214892.5308542,520,0.5
1689214965.6838942,528,0.5
1689215040.3705013,536,0.5
1689215162.165308,544,0.50390625
1689215235.3029938,552,0.50390625
1689215307.5403397,560,0.5
1689215382.76993,568,0.5
1689215500.7314513,576,0.5
1689215573.4873502,584,0.5
1689215647.5325081,592,0.5
1689215720.8372495,600,0.5
1689215842.5272386,608,0.5
1689215913.8252294,616,0.5
1689215987.450358,624,0.5
1689216063.283405,632,0.5
1689216184.0609567,640,0.5
1689216256.5271065,648,0.5
1689216329.1374757,656,0.5
1689216400.609527,664,0.5
1689216524.3958063,672,0.5
1689216598.4414132,680,0.5
1689216671.6252565,688,0.5
1689216743.623597,696,0.5
1689216865.1840882,704,0.5
1689216938.9762323,712,0.5
1689217013.2402494,720,0.5
1689217085.2038655,728,0.5
1689217205.7112577,736,0.5
1689217282.2627625,744,0.5
1689217357.3134553,752,0.50390625
1689217432.8063908,760,0.5
1689217553.2998524,768,0.5
1689217626.8695028,776,0.5
1689217701.3110373,784,0.5
1689217773.561086,792,0.5
1689217896.5935752,800,0.5
1689217969.779465,808,0.5
1689218045.9005575,816,0.5
1689218118.4220603,824,0.5
1689218241.3537095,832,0.5
1689218312.8455088,840,0.5
1689218387.0634577,848,0.50390625
1689218458.6843343,856,0.5
1689218579.9348207,864,0.5
1689218652.4214866,872,0.5
1689218728.0443022,880,0.50390625
1689218799.4121912,888,0.5
1689218919.404837,896,0.5
1689218992.0380452,904,0.5
1689219064.101408,912,0.5
1689219138.7139816,920,0.5
1689219259.7800913,928,0.5
1689219335.6012838,936,0.5
1689219408.9335618,944,0.5
1689219479.7424765,952,0.5
1689219602.0366185,960,0.5
1689219674.8583808,968,0.5
1689219749.0132258,976,0.5
1689219819.3514256,984,0.50390625
1689219940.5993242,992,0.5
1689220015.4402773,1000,0.5
1689220088.1669002,1008,0.5
1689220160.6947196,1016,0.5
1689220281.160074,1024,0.5
1689220353.6252418,1032,0.5
1689220425.9509332,1040,0.5
1689220498.6039836,1048,0.50390625
1689220623.1726055,1056,0.5
1689220696.6481485,1064,0.5
1689220768.8867228,1072,0.50390625
1689220842.6105785,1080,0.5
1689220964.5501122,1088,0.5
1689221039.6272163,1096,0.5
1689221113.987316,1104,0.5
1689221186.3469813,1112,0.5
1689221308.4980266,1120,0.5
1689221380.8589382,1128,0.5
1689221452.77764,1136,0.5
1689221525.5173159,1144,0.5
1689221648.1514187,1152,0.5
1689221719.2573557,1160,0.5
1689221793.3509443,1168,0.5
1689221865.950092,1176,0.50390625
1689221989.1912546,1184,0.5
1689222062.5351326,1192,0.5
1689222135.583341,1200,0.5
1689222208.1487577,1208,0.5
1689222329.9246874,1216,0.5
1689222404.4094334,1224,0.5
1689222476.5127943,1232,0.5
1689222550.7256403,1240,0.5
1689222671.887439,1248,0.5
1689222745.4579186,1256,0.5
1689222818.6836565,1264,0.5
1689222890.6853092,1272,0.5
1689223013.572643,1280,0.5
1689223086.7238517,1288,0.5
1689223159.5113707,1296,0.5
1689223235.1716895,1304,0.50390625
1689223356.9335818,1312,0.5
1689223512.506942,1320,0.5
1689223585.5697443,1328,0.5
1689223658.6212232,1336,0.5
1689223779.5073621,1344,0.5
1689223852.6225867,1352,0.5
1689223925.4458206,1360,0.5
1689223997.8262846,1368,0.5
1689224119.9124959,1376,0.5
1689224192.3996208,1384,0.5
1689224266.297507,1392,0.50390625
1689224338.7085607,1400,0.5
1689224459.5943816,1408,0.5
1689224532.125606,1416,0.5
1689224604.5248494,1424,0.5
1689224676.4146216,1432,0.5
1689224799.2618248,1440,0.5
1689224870.7743812,1448,0.5
1689224943.9922724,1456,0.5
1689225017.6281176,1464,0.5
1689225139.3431892,1472,0.5
1689225212.6454146,1480,0.50390625
1689225286.7990534,1488,0.50390625
1689225360.164595,1496,0.5
1689225481.350687,1504,0.5
1689225552.921325,1512,0.5
1689225624.1423805,1520,0.5
1689225697.9010944,1528,0.5
1689225821.153038,1536,0.5
1689225894.4790325,1544,0.5
1689225967.4557645,1552,0.5
1689226040.822163,1560,0.5
1689226163.004124,1568,0.5
1689226237.7637322,1576,0.5
1689226312.705401,1584,0.5
1689226384.6567733,1592,0.5
1689226505.4918742,1600,0.5
1689226579.3710637,1608,0.5
