Wall time,Step,Value
1689740569.02067,0,0.62890625
1689740689.2115529,8,0.61328125
1689740804.5046937,16,0.625
1689740918.9653287,24,0.625
1689741115.77446,32,0.625
1689741228.3119595,40,0.625
1689741337.368632,48,0.6328125
1689741451.155446,56,0.62109375
1689741649.128351,64,0.62109375
1689741761.1949718,72,0.62109375
1689741867.60348,80,0.625
1689741984.490583,88,0.6171875
1689742171.7500572,96,0.640625
1689742283.2453275,104,0.6171875
1689742400.9494262,112,0.6328125
1689742517.9948149,120,0.61328125
1689742724.2521346,128,0.61328125
1689742845.3786278,136,0.6171875
1689742956.1857555,144,0.62109375
1689743077.4323153,152,0.625
1689743286.9534967,160,0.62890625
1689743401.5264702,168,0.62109375
1689743517.8172827,176,0.6328125
1689743628.0243616,184,0.609375
1689743836.1811025,192,0.6328125
1689743953.9947586,200,0.62109375
1689744071.6535091,208,0.625
1689744188.8946486,216,0.61328125
1689744380.5482593,224,0.625
1689744488.5272775,232,0.61328125
1689744606.7890975,240,0.62109375
1689744727.4449663,248,0.609375
1689744937.813964,256,0.62109375
1689745046.3625057,264,0.6171875
1689745159.1479676,272,0.609375
1689745274.2550917,280,0.62109375
1689745462.4556298,288,0.62890625
1689745577.4902887,296,0.61328125
1689745690.546606,304,0.62109375
1689745807.8039463,312,0.6328125
1689746003.4714253,320,0.61328125
1689746117.6276085,328,0.6328125
1689746223.8400187,336,0.6171875
1689746341.035066,344,0.6171875
1689746539.3854172,352,0.62109375
1689746650.2731514,360,0.640625
1689746758.08347,368,0.6171875
1689746871.8743494,376,0.6328125
1689747076.2531617,384,0.63671875
1689747194.4857419,392,0.63671875
1689747309.957175,400,0.625
1689747425.34458,408,0.625
1689747622.7481189,416,0.62109375
1689747733.9189181,424,0.61328125
1689747852.8703516,432,0.62890625
1689747967.720757,440,0.6328125
1689748165.8404086,448,0.6328125
1689748275.2399943,456,0.65234375
1689748389.0621564,464,0.63671875
1689748497.4490335,472,0.62109375
1689748699.9603794,480,0.62890625
1689748816.7253678,488,0.65625
1689748935.085877,496,0.640625
1689749045.9167507,504,0.6328125
1689749240.3509088,512,0.625
1689749349.7605324,520,0.62890625
1689749465.400199,528,0.63671875
1689749581.1463263,536,0.62890625
1689749770.6062799,544,0.6328125
1689749881.7956955,552,0.62890625
1689749994.7068563,560,0.640625
1689750107.6516626,568,0.625
1689750298.8035634,576,0.62890625
1689750412.555291,584,0.609375
1689750523.7679565,592,0.62890625
1689750629.8030975,600,0.625
1689750830.8024423,608,0.64453125
1689750936.9429467,616,0.625
1689751043.080676,624,0.62890625
1689751153.4275477,632,0.625
1689751350.35024,640,0.609375
1689751458.5555942,648,0.640625
1689751573.2648754,656,0.62890625
1689751683.1255474,664,0.6328125
1689751887.0842662,672,0.62109375
1689752004.1284103,680,0.6328125
1689752115.4173512,688,0.6328125
1689752227.8643234,696,0.6171875
1689752428.6542172,704,0.63671875
1689752537.342473,712,0.64453125
1689752649.0859177,720,0.640625
1689752756.7613847,728,0.625
1689752946.2707298,736,0.62890625
1689753067.1169598,744,0.62890625
1689753184.631839,752,0.63671875
1689753300.0503078,760,0.62890625
1689753491.7773395,768,0.640625
1689753602.756576,776,0.6328125
1689753721.1702018,784,0.640625
1689753828.6870615,792,0.62890625
1689754018.1332827,800,0.6328125
1689754132.9632478,808,0.625
1689754243.9258895,816,0.62890625
1689754355.5604918,824,0.63671875
1689754558.949084,832,0.640625
1689754675.8532557,840,0.640625
1689754783.114655,848,0.61328125
1689754892.4861186,856,0.640625
1689755080.8950343,864,0.6015625
1689755186.4410346,872,0.62890625
1689755305.702387,880,0.62890625
1689755409.7393246,888,0.6328125
1689755607.0229056,896,0.6328125
1689755715.2810855,904,0.63671875
1689755830.4463482,912,0.62890625
1689755943.158943,920,0.640625
1689756142.2960792,928,0.6328125
1689756261.2169123,936,0.62890625
1689756370.0500112,944,0.640625
1689756480.7159755,952,0.63671875
1689756681.9918425,960,0.63671875
1689756789.2576268,968,0.6171875
1689756902.927433,976,0.625
1689757006.5908635,984,0.6328125
1689757198.453864,992,0.6328125
1689757317.8584046,1000,0.625
1689757427.432517,1008,0.625
1689757537.9867768,1016,0.6328125
1689757736.1234457,1024,0.6484375
1689757850.795758,1032,0.625
1689757967.7017424,1040,0.63671875
1689758077.4178681,1048,0.625
1689758273.063613,1056,0.63671875
1689758389.5544407,1064,0.640625
1689758496.0463028,1072,0.62890625
1689758606.0514774,1080,0.6328125
1689758795.6820314,1088,0.62890625
1689758909.7893896,1096,0.63671875
1689759026.539953,1104,0.62109375
1689759131.9293685,1112,0.64453125
1689759331.3918839,1120,0.62890625
1689759440.877728,1128,0.6328125
1689759548.628225,1136,0.625
1689759655.6155326,1144,0.640625
1689759847.9839625,1152,0.6328125
1689759955.2011278,1160,0.625
1689760068.3954234,1168,0.625
1689760176.4492102,1176,0.625
1689760378.6042144,1184,0.62890625
1689760498.0383852,1192,0.6328125
1689760609.7913814,1200,0.6328125
1689760717.9740522,1208,0.62890625
1689760914.9193287,1216,0.640625
1689761027.4868777,1224,0.625
1689761135.1030333,1232,0.62890625
1689761249.1052907,1240,0.6328125
1689761443.5127785,1248,0.6171875
1689761550.8246355,1256,0.62890625
1689761666.669509,1264,0.62890625
1689761777.895723,1272,0.63671875
1689761970.1225903,1280,0.63671875
1689762084.7849472,1288,0.625
1689762196.8698127,1296,0.625
1689762307.4410527,1304,0.63671875
1689762499.352934,1312,0.625
1689762612.2035947,1320,0.6328125
1689762731.5452018,1328,0.6328125
1689762841.034085,1336,0.62109375
1689763035.2302506,1344,0.6328125
1689763152.5962005,1352,0.62890625
1689763271.9737175,1360,0.62890625
1689763387.9307642,1368,0.63671875
1689763593.0233858,1376,0.63671875
1689763709.1620224,1384,0.65234375
1689763826.3298619,1392,0.62109375
1689763945.1691036,1400,0.625
1689764154.7308295,1408,0.625
1689764270.635012,1416,0.62109375
1689764388.4424012,1424,0.63671875
1689764500.2417047,1432,0.63671875
1689764703.0124168,1440,0.63671875
1689764819.729543,1448,0.640625
1689764936.645585,1456,0.6171875
1689765052.0538929,1464,0.62109375
1689765256.8787627,1472,0.62109375
1689765367.951741,1480,0.625
1689765479.5633712,1488,0.625
1689765594.7281332,1496,0.62109375
1689765792.924246,1504,0.63671875
1689765905.708317,1512,0.6328125
1689766018.3832738,1520,0.6171875
1689766136.0491683,1528,0.61328125
1689766338.2038496,1536,0.64453125
1689766456.4315367,1544,0.62109375
1689766570.8481247,1552,0.63671875
1689766684.3058355,1560,0.59765625
1689766886.2505105,1568,0.62890625
1689767003.8645494,1576,0.6328125
1689767121.7961144,1584,0.6484375
1689767236.4723387,1592,0.625
1689767435.0430498,1600,0.61328125
