Wall time,Step,Value
1689174385.74977,0,0.609375
1689174512.8570397,8,0.625
1689174641.6851108,16,0.6171875
1689174758.966437,24,0.61328125
1689174962.7132337,32,0.62109375
1689175080.4824557,40,0.66796875
1689175200.7546566,48,0.65234375
1689175317.1096544,56,0.625
1689175506.048321,64,0.6328125
1689175622.9466455,72,0.62890625
1689175735.6603365,80,0.63671875
1689175849.7496755,88,0.63671875
1689176044.135029,96,0.65625
1689176158.8941898,104,0.62890625
1689176274.4145982,112,0.62890625
1689176391.4290168,120,0.66796875
1689176583.5041852,128,0.64453125
1689176697.2068906,136,0.64453125
1689176814.4927576,144,0.66796875
1689176927.4366097,152,0.6640625
1689177122.524265,160,0.64453125
1689177233.972664,168,0.6640625
1689177347.947677,176,0.6640625
1689177462.2459009,184,0.63671875
1689177657.4114184,192,0.65234375
1689177776.5950997,200,0.65234375
1689177890.5600362,208,0.67578125
1689178012.2710907,216,0.66796875
1689178202.6441267,224,0.6484375
1689178312.1765966,232,0.65625
1689178424.8632147,240,0.640625
1689178537.9162564,248,0.67578125
1689178736.5093098,256,0.6640625
1689178853.5172892,264,0.671875
1689178967.045293,272,0.6875
1689179085.791914,280,0.6640625
1689179276.6440833,288,0.66015625
1689179389.9123447,296,0.66796875
1689179502.5268722,304,0.65234375
1689179615.9257452,312,0.65625
1689179808.4553373,320,0.66015625
1689179920.5702672,328,0.66015625
1689180035.1798575,336,0.6796875
1689180150.1308682,344,0.67578125
1689180342.498073,352,0.6640625
1689180456.1865575,360,0.64453125
1689180570.471347,368,0.66015625
1689180687.2091243,376,0.65234375
1689180877.1772647,384,0.67578125
1689180992.3937922,392,0.671875
1689181106.3150036,400,0.671875
1689181219.8040943,408,0.66015625
1689181414.1833048,416,0.68359375
1689181528.282021,424,0.66015625
1689181640.279319,432,0.67578125
1689181750.4400358,440,0.66796875
1689181943.426372,448,0.67578125
1689182053.469764,456,0.671875
1689182167.0492916,464,0.671875
1689182282.4560683,472,0.67578125
1689182478.5376537,480,0.66796875
1689182593.1760228,488,0.6640625
1689182709.9740672,496,0.671875
1689182822.6204944,504,0.68359375
1689183019.6837583,512,0.6796875
1689183132.5699666,520,0.6640625
1689183246.2762651,528,0.66015625
1689183362.0571759,536,0.66796875
1689183553.100062,544,0.6796875
1689183666.6221688,552,0.65234375
1689183778.9524896,560,0.65234375
1689183893.0525038,568,0.66015625
1689184079.8500621,576,0.6640625
1689184190.1119857,584,0.66015625
1689184303.6668904,592,0.6640625
1689184418.3158095,600,0.67578125
1689184607.3624663,608,0.65234375
1689184721.8783934,616,0.66796875
1689184835.172878,624,0.66796875
1689184946.9007206,632,0.66015625
1689185138.9962888,640,0.6640625
1689185252.3896677,648,0.6640625
1689185364.5655162,656,0.6640625
1689185479.848247,664,0.66796875
1689185668.4527147,672,0.6796875
1689185782.6873841,680,0.671875
1689185896.436042,688,0.65625
1689186007.975528,696,0.65625
1689186193.7302082,704,0.65625
1689186310.4548106,712,0.66015625
1689186421.0926564,720,0.65625
1689186529.9529285,728,0.66015625
1689186722.754043,736,0.6640625
1689186835.287558,744,0.65625
1689186948.5445862,752,0.6484375
1689187063.3013084,760,0.6640625
1689187251.3402324,768,0.66015625
1689187362.8591754,776,0.64453125
1689187472.2928474,784,0.6640625
1689187587.2418857,792,0.67578125
1689187779.8302286,800,0.67578125
