Wall time,Step,Value
1689473999.568258,0,0.609375
1689474109.9826458,8,0.6171875
1689474217.8337126,16,0.63671875
1689474325.9690356,24,0.62890625
1689474509.1789446,32,0.625
1689474614.5723295,40,0.62890625
1689474715.7306616,48,0.62109375
1689474818.195428,56,0.61328125
1689475005.3307993,64,0.6328125
1689475108.2562866,72,0.625
1689475210.131895,80,0.6171875
1689475309.5767882,88,0.640625
1689475490.813406,96,0.6328125
1689475592.8315742,104,0.62890625
1689475694.530449,112,0.62890625
1689475795.424198,120,0.6171875
1689475977.7236967,128,0.63671875
1689476080.1796198,136,0.6171875
1689476182.3503346,144,0.62890625
1689476282.314906,152,0.62109375
1689476465.303496,160,0.640625
1689476566.7797768,168,0.6171875
1689476670.4561825,176,0.6171875
1689476775.8168497,184,0.60546875
1689476965.4922466,192,0.6171875
1689477072.7619522,200,0.6328125
1689477176.786128,208,0.63671875
1689477282.2096772,216,0.62109375
1689477473.9825253,224,0.62890625
1689477578.74896,232,0.62109375
1689477686.0657816,240,0.625
1689477793.8903527,248,0.62890625
1689477992.6435935,256,0.640625
1689478103.2526033,264,0.6171875
1689478211.237694,272,0.6171875
1689478318.7896013,280,0.62109375
1689478514.5979092,288,0.640625
1689478624.1798067,296,0.6171875
1689478733.844381,304,0.62890625
1689478842.7291782,312,0.6015625
1689479038.5082083,320,0.65625
1689479152.8900228,328,0.609375
1689479261.766517,336,0.625
1689479369.77811,344,0.625
1689479562.876833,352,0.61328125
1689479673.3325126,360,0.62890625
1689479782.891979,368,0.62109375
1689479893.5101688,376,0.640625
1689480087.59929,384,0.625
1689480194.8474038,392,0.62109375
1689480302.6083353,400,0.63671875
1689480409.3960495,408,0.61328125
1689480603.8850486,416,0.61328125
1689480716.6303456,424,0.62890625
1689480825.054546,432,0.64453125
1689480930.6390386,440,0.6328125
1689481124.932866,448,0.640625
1689481230.9478106,456,0.64453125
1689481336.1177237,464,0.625
1689481444.8430216,472,0.6328125
1689481640.9987686,480,0.63671875
1689481751.3849354,488,0.6328125
1689481859.2426498,496,0.62890625
1689481963.0615966,504,0.62890625
1689482154.510368,512,0.64453125
1689482259.9113429,520,0.625
1689482365.2920475,528,0.6328125
1689482474.4718044,536,0.61328125
1689482665.1328251,544,0.625
1689482772.4497306,552,0.64453125
1689482877.5370758,560,0.625
1689482985.3681707,568,0.62109375
1689483173.1502585,576,0.60546875
1689483278.1843996,584,0.64453125
1689483385.5952182,592,0.62890625
1689483492.378427,600,0.625
1689483681.7854075,608,0.62890625
1689483789.3483832,616,0.65234375
1689483894.111728,624,0.6015625
1689483999.7923698,632,0.65234375
1689484196.4012928,640,0.62890625
1689484301.8786166,648,0.64453125
1689484406.7666612,656,0.62890625
1689484512.6527326,664,0.6328125
1689484701.142723,672,0.640625
1689484806.846442,680,0.63671875
1689484912.0011332,688,0.64453125
1689485016.426068,696,0.640625
1689485203.2061212,704,0.6484375
1689485309.0745766,712,0.62890625
1689485413.0176067,720,0.62109375
1689485514.2140045,728,0.65625
1689485702.112458,736,0.640625
1689485805.1477387,744,0.6328125
1689485910.041569,752,0.6484375
1689486014.3765514,760,0.640625
1689486199.3804958,768,0.64453125
1689486303.9818583,776,0.62890625
1689486406.9412203,784,0.6328125
1689486513.6544528,792,0.6328125
1689486702.555317,800,0.65625
1689486804.7580657,808,0.63671875
1689486910.1429272,816,0.65625
1689487012.6981199,824,0.62890625
1689487196.945475,832,0.640625
1689487302.1217391,840,0.6328125
