Wall time,Step,Value
1689744012.457053,0,0.609375
1689744126.732676,8,0.62109375
1689744237.2291799,16,0.62890625
1689744346.972829,24,0.61328125
1689744531.6650052,32,0.61328125
1689744635.9595451,40,0.6328125
1689744746.1651323,48,0.6328125
1689744849.9722412,56,0.625
1689745031.0012555,64,0.62890625
1689745135.1476486,72,0.6171875
1689745237.8206863,80,0.625
1689745340.1338477,88,0.63671875
1689745530.9160652,96,0.63671875
1689745637.055291,104,0.640625
1689745749.3837197,112,0.6171875
1689745853.658056,120,0.65234375
1689746043.7846754,128,0.625
1689746147.9459026,136,0.6171875
1689746252.8317318,144,0.625
1689746354.3277748,152,0.625
1689746538.7052832,160,0.6328125
1689746641.157535,168,0.62890625
1689746743.5282557,176,0.63671875
1689746847.2869108,184,0.6171875
1689747030.9150116,192,0.61328125
1689747134.4933288,200,0.59765625
1689747237.2337596,208,0.63671875
1689747340.6470952,216,0.640625
1689747522.8120873,224,0.62109375
1689747625.35332,232,0.62890625
1689747728.0395799,240,0.61328125
1689747829.266347,248,0.64453125
1689748014.9528656,256,0.609375
1689748120.0138454,264,0.61328125
1689748223.5711942,272,0.625
1689748325.097583,280,0.609375
1689748509.7071826,288,0.6171875
1689748612.8856812,296,0.64453125
1689748715.7143936,304,0.625
1689748817.4245648,312,0.625
1689749002.438731,320,0.6328125
1689749104.5441272,328,0.61328125
1689749208.0586693,336,0.62890625
1689749312.1955473,344,0.6171875
1689749495.3958378,352,0.63671875
1689749597.9511268,360,0.63671875
1689749701.067454,368,0.62890625
1689749807.029527,376,0.59765625
1689749989.2995472,384,0.59765625
1689750093.395079,392,0.625
1689750195.4769793,400,0.625
1689750297.6446257,408,0.625
1689750482.017833,416,0.6171875
1689750586.2878041,424,0.62109375
1689750687.9959102,432,0.62109375
1689750789.767579,440,0.62890625
1689750974.6675062,448,0.625
1689751077.986333,456,0.63671875
1689751180.5187554,464,0.6171875
1689751283.5035517,472,0.6171875
1689751468.2025497,480,0.62890625
1689751572.5451386,488,0.6484375
1689751676.3985145,496,0.62109375
1689751778.7066798,504,0.63671875
1689751961.3976164,512,0.62890625
1689752063.552467,520,0.64453125
1689752166.1720307,528,0.62109375
1689752271.192134,536,0.62109375
1689752453.8783956,544,0.62890625
1689752556.6450014,552,0.62109375
1689752659.1046004,560,0.625
1689752763.0340636,568,0.62890625
1689752943.912958,576,0.6328125
1689753047.2887402,584,0.63671875
1689753151.3412592,592,0.640625
1689753254.952504,600,0.62109375
1689753437.4809382,608,0.6171875
1689753541.4049003,616,0.62109375
1689753645.7047555,624,0.625
1689753748.0636585,632,0.640625
1689753932.10414,640,0.6015625
1689754035.569721,648,0.61328125
1689754137.5998707,656,0.6171875
1689754242.4219239,664,0.640625
1689754423.6588566,672,0.6328125
1689754526.6559453,680,0.609375
1689754630.0537472,688,0.6328125
1689754733.9906337,696,0.62890625
1689754915.0179682,704,0.62890625
1689755019.8493366,712,0.6328125
1689755120.787579,720,0.62109375
1689755222.2737112,728,0.6171875
1689755406.4336364,736,0.63671875
1689755509.1357892,744,0.62890625
1689755611.7313735,752,0.62109375
1689755715.0738485,760,0.625
1689755897.3251014,768,0.6171875
1689755999.203929,776,0.625
1689756100.8195806,784,0.62890625
1689756204.8551219,792,0.61328125
1689756388.9100502,800,0.625
1689756493.4185028,808,0.62890625
1689756596.9768305,816,0.62890625
1689756699.061517,824,0.64453125
1689756882.3140633,832,0.63671875
1689756986.220534,840,0.62890625
1689757089.2940838,848,0.6328125
1689757191.626712,856,0.63671875
1689757373.1468194,864,0.63671875
1689757475.8795285,872,0.640625
1689757580.5594501,880,0.625
1689757682.5035248,888,0.625
1689757865.4884431,896,0.62890625
1689757968.1343095,904,0.62890625
1689758072.1337097,912,0.6328125
1689758176.069693,920,0.625
1689758363.1858034,928,0.62890625
1689758466.490047,936,0.6171875
1689758569.362074,944,0.62890625
1689758671.7466886,952,0.61328125
1689758853.5049777,960,0.63671875
1689758956.3254006,968,0.60546875
1689759061.7572978,976,0.625
1689759161.742966,984,0.6328125
1689759343.7159736,992,0.62109375
1689759446.0215323,1000,0.625
1689759548.539516,1008,0.62109375
1689759650.9259963,1016,0.61328125
1689759833.8443267,1024,0.609375
1689759938.692273,1032,0.625
1689760042.2708304,1040,0.625
1689760145.7698483,1048,0.65234375
1689760327.28998,1056,0.6484375
1689760430.729988,1064,0.62890625
1689760535.5258863,1072,0.6171875
1689760637.4630218,1080,0.62890625
1689760821.0512855,1088,0.609375
1689760924.2751095,1096,0.61328125
1689761026.4382784,1104,0.625
1689761129.2282696,1112,0.63671875
1689761311.8542933,1120,0.609375
1689761415.536568,1128,0.6328125
1689761518.3151245,1136,0.61328125
1689761622.471305,1144,0.62109375
1689761804.639547,1152,0.62109375
1689761907.502395,1160,0.62890625
1689762011.4777355,1168,0.60546875
1689762113.7466676,1176,0.625
1689762297.0288997,1184,0.6484375
1689762403.631414,1192,0.63671875
1689762510.179744,1200,0.62109375
1689762614.1540668,1208,0.6171875
1689762798.699446,1216,0.62890625
1689762903.813316,1224,0.640625
1689763008.2652376,1232,0.65234375
1689763114.3714802,1240,0.62890625
1689763299.1530492,1248,0.62890625
1689763402.1525629,1256,0.6328125
1689763507.1862192,1264,0.61328125
1689763613.0119407,1272,0.62109375
1689763798.1960285,1280,0.62890625
1689763903.627785,1288,0.609375
1689764006.2752085,1296,0.6640625
1689764119.1908717,1304,0.640625
1689764303.1369922,1312,0.61328125
1689764406.339985,1320,0.63671875
1689764512.7288356,1328,0.625
1689764617.9461179,1336,0.63671875
1689764801.1416123,1344,0.62109375
1689764906.0062792,1352,0.62890625
1689765012.3186805,1360,0.62890625
1689765114.9567435,1368,0.640625
1689765300.8769815,1376,0.6171875
1689765404.139875,1384,0.59375
1689765508.471476,1392,0.6328125
1689765611.4518888,1400,0.640625
1689765798.1547508,1408,0.64453125
1689765904.55672,1416,0.625
1689766007.354653,1424,0.62109375
1689766110.9436595,1432,0.609375
1689766295.5471551,1440,0.62890625
1689766402.190877,1448,0.61328125
1689766506.9772577,1456,0.625
1689766609.393701,1464,0.625
1689766794.292493,1472,0.6171875
1689766897.41334,1480,0.6015625
1689767001.994395,1488,0.62109375
1689767108.5056086,1496,0.64453125
1689767295.689675,1504,0.6015625
1689767401.9346879,1512,0.625
1689767505.479493,1520,0.62890625
1689767609.1875434,1528,0.59765625
1689767796.6126435,1536,0.625
1689767903.4245214,1544,0.609375
1689768005.0591257,1552,0.63671875
1689768109.178106,1560,0.60546875
1689768295.8152163,1568,0.62109375
1689768400.3707082,1576,0.6328125
1689768503.2653327,1584,0.60546875
1689768607.824946,1592,0.625
1689768794.8337905,1600,0.6328125
1689768899.5871496,1608,0.6171875
1689769003.5852163,1616,0.62109375
1689769108.7960067,1624,0.6171875
1689769294.4960175,1632,0.625
1689769400.158659,1640,0.6328125
1689769503.3917766,1648,0.62890625
1689769608.1913261,1656,0.6171875
1689769793.3408241,1664,0.6171875
1689769899.6815937,1672,0.61328125
1689770004.2966604,1680,0.62109375
1689770108.8853977,1688,0.63671875
1689770295.0113983,1696,0.64453125
1689770399.9953833,1704,0.6171875
1689770504.1359975,1712,0.62109375
1689770609.563817,1720,0.6328125
1689770793.009475,1728,0.62109375
1689770898.0671713,1736,0.61328125
1689771002.7397509,1744,0.640625
1689771108.047198,1752,0.640625
1689771292.787074,1760,0.6328125
1689771397.6843379,1768,0.62109375
1689771503.651314,1776,0.62890625
1689771607.3247702,1784,0.62109375
1689771791.8776946,1792,0.62890625
1689771897.4678903,1800,0.6171875
1689772002.539055,1808,0.6328125
1689772105.8171093,1816,0.62109375
1689772291.042398,1824,0.62109375
1689772398.385228,1832,0.62109375
1689772504.6893694,1840,0.63671875
1689772608.3316138,1848,0.6328125
1689772795.9936657,1856,0.62890625
1689772902.8845534,1864,0.64453125
1689773007.763422,1872,0.60546875
1689773112.9079692,1880,0.6015625
1689773297.9274745,1888,0.6328125
1689773401.9334707,1896,0.61328125
1689773507.3640742,1904,0.6171875
1689773612.264886,1912,0.6171875
1689773797.6808996,1920,0.62109375
1689773904.0818791,1928,0.62890625
1689774007.572225,1936,0.62890625
1689774115.5445607,1944,0.61328125
1689774300.5842175,1952,0.61328125
1689774407.68382,1960,0.6171875
1689774514.116533,1968,0.6328125
1689774618.5865407,1976,0.63671875
1689774806.4355464,1984,0.62890625
1689774912.6717083,1992,0.62109375
1689775019.0370696,2000,0.62109375
1689775123.2340436,2008,0.625
1689775309.4455748,2016,0.62890625
1689775415.162504,2024,0.62109375
1689775522.4778464,2032,0.61328125
1689775627.8357701,2040,0.625
1689775815.8837438,2048,0.625
1689775919.2286286,2056,0.62109375
1689776022.5579877,2064,0.625
1689776128.5068636,2072,0.62890625
1689776316.0985348,2080,0.625
1689776422.55946,2088,0.61328125
1689776528.8733487,2096,0.6328125
1689776634.417956,2104,0.6171875
1689776820.5916784,2112,0.61328125
1689776927.4867132,2120,0.625
1689777033.5462654,2128,0.6484375
1689777138.6206386,2136,0.625
1689777323.5055323,2144,0.6171875
1689777427.95251,2152,0.6328125
1689777533.2187526,2160,0.640625
1689777635.796294,2168,0.6328125
1689777824.2526574,2176,0.62109375
1689777931.593874,2184,0.62109375
1689778036.2875304,2192,0.63671875
1689778142.3187313,2200,0.6328125
1689778327.2345254,2208,0.63671875
1689778432.3334193,2216,0.62890625
1689778538.6254318,2224,0.625
1689778643.4894295,2232,0.625
1689778828.0509086,2240,0.640625
1689778931.9443176,2248,0.62890625
1689779037.5270247,2256,0.61328125
1689779140.491748,2264,0.6328125
1689779327.8379152,2272,0.62890625
1689779432.5463781,2280,0.640625
1689779538.4302988,2288,0.625
1689779642.7040315,2296,0.63671875
1689779829.9619532,2304,0.62109375
1689779935.4003425,2312,0.62890625
1689780043.211915,2320,0.609375
1689780147.724733,2328,0.6171875
1689780332.5877619,2336,0.6328125
1689780439.7230341,2344,0.6015625
1689780543.0009844,2352,0.62109375
1689780649.7729614,2360,0.62890625
1689780839.2518327,2368,0.6328125
1689780943.4955297,2376,0.63671875
1689781050.083418,2384,0.62109375
1689781153.79534,2392,0.625
1689781342.0784636,2400,0.59765625
1689781446.8808908,2408,0.62890625
1689781548.5283997,2416,0.62109375
1689781652.6508155,2424,0.61328125
1689781836.5527894,2432,0.62890625
1689781941.228489,2440,0.65625
1689782044.3906786,2448,0.609375
1689782146.7293026,2456,0.62890625
1689782329.808465,2464,0.64453125
1689782431.4691195,2472,0.6328125
1689782534.8454993,2480,0.6328125
1689782639.799715,2488,0.64453125
1689782823.430032,2496,0.6171875
1689782927.5682862,2504,0.62109375
1689783030.601874,2512,0.6328125
1689783135.0794876,2520,0.640625
1689783321.4330118,2528,0.625
1689783427.4067829,2536,0.6015625
1689783531.0598843,2544,0.625
1689783636.3973105,2552,0.62109375
1689783819.226063,2560,0.62109375
1689783923.4088688,2568,0.625
1689784026.7254584,2576,0.6171875
1689784131.85319,2584,0.6328125
1689784313.1767786,2592,0.63671875
1689784417.86294,2600,0.62890625
1689784523.2900934,2608,0.63671875
1689784625.909362,2616,0.6171875
1689784810.6261837,2624,0.62890625
1689784914.0767834,2632,0.61328125
1689785015.0071099,2640,0.62890625
1689785119.3690596,2648,0.63671875
1689785303.3435428,2656,0.625
1689785407.4545457,2664,0.61328125
1689785510.9356506,2672,0.62109375
1689785616.6575124,2680,0.61328125
1689785799.2433367,2688,0.6015625
1689785904.9750612,2696,0.62890625
1689786008.9063938,2704,0.65234375
1689786111.8302765,2712,0.62109375
1689786298.23651,2720,0.6328125
1689786402.947055,2728,0.62109375
1689786506.826181,2736,0.609375
1689786609.3765402,2744,0.6328125
1689786795.3320167,2752,0.6328125
1689786897.6253402,2760,0.62890625
1689787001.9173427,2768,0.6015625
1689787105.1294544,2776,0.6015625
1689787289.6484585,2784,0.6171875
1689787393.2498262,2792,0.61328125
1689787495.657866,2800,0.625
1689787599.481424,2808,0.62109375
1689787781.9310312,2816,0.625
1689787885.9177806,2824,0.6015625
1689787987.6049378,2832,0.62890625
1689788092.598053,2840,0.640625
1689788276.4646692,2848,0.61328125
1689788380.595172,2856,0.6171875
1689788485.789343,2864,0.62890625
1689788589.890319,2872,0.6328125
1689788773.6290572,2880,0.64453125
1689788879.2868097,2888,0.625
1689788982.2736337,2896,0.6328125
1689789085.0307279,2904,0.6171875
1689789267.3361135,2912,0.6171875
1689789371.6390986,2920,0.62890625
1689789475.9940646,2928,0.61328125
1689789579.5222185,2936,0.62890625
1689789759.9019167,2944,0.62890625
1689789863.2029858,2952,0.625
1689789964.5585124,2960,0.6171875
1689790068.105355,2968,0.625
1689790248.5200834,2976,0.61328125
1689790352.5513492,2984,0.63671875
1689790455.6341102,2992,0.63671875
1689790557.9549434,3000,0.625
1689790741.7509785,3008,0.6171875
1689790846.445024,3016,0.64453125
1689790949.5039847,3024,0.640625
1689791053.1763399,3032,0.6171875
1689791235.613796,3040,0.62109375
1689791339.198418,3048,0.625
1689791442.740265,3056,0.640625
1689791544.723857,3064,0.60546875
1689791728.4629586,3072,0.62890625
1689791833.1010237,3080,0.62890625
1689791936.867063,3088,0.62109375
1689792039.94744,3096,0.62109375
1689792222.030941,3104,0.625
1689792324.8861003,3112,0.62109375
1689792428.5038111,3120,0.63671875
1689792532.733305,3128,0.625
1689792714.8348546,3136,0.625
1689792818.683142,3144,0.64453125
1689792921.1920621,3152,0.62890625
1689793023.0861065,3160,0.6328125
1689793205.940324,3168,0.6484375
1689793310.3918445,3176,0.6328125
1689793413.1237228,3184,0.62109375
1689793513.8102243,3192,0.609375
1689793695.3873928,3200,0.6171875
