Wall time,Step,Value
1689486094.7407913,0,0.609375
1689486223.2826867,8,0.625
1689486346.1850665,16,0.6328125
1689486466.2691362,24,0.625
1689486661.641166,32,0.62890625
1689486775.831986,40,0.62109375
1689486888.8755727,48,0.625
1689487008.430666,56,0.6171875
1689487213.131213,64,0.63671875
1689487330.9493961,72,0.64453125
1689487445.366637,80,0.63671875
1689487557.8690913,88,0.6484375
1689487758.5774076,96,0.625
1689487875.3982763,104,0.61328125
1689487992.8776999,112,0.62109375
1689488112.3095574,120,0.609375
1689488309.3390524,128,0.640625
1689488423.8827944,136,0.61328125
1689488543.6073806,144,0.625
1689488658.8433592,152,0.6171875
1689488856.5276656,160,0.6484375
1689488970.9739156,168,0.61328125
1689489086.4852982,176,0.625
1689489204.1537344,184,0.6328125
1689489403.3429372,192,0.609375
1689489522.2197735,200,0.6328125
1689489638.4307606,208,0.6484375
1689489756.0954795,216,0.6171875
1689489953.2110856,224,0.61328125
1689490066.4518516,232,0.609375
1689490182.3268378,240,0.65234375
1689490302.9996214,248,0.625
1689490506.9006014,256,0.625
1689490624.1005747,264,0.625
1689490738.87622,272,0.640625
1689490851.976716,280,0.63671875
1689491045.665837,288,0.6328125
1689491162.0506382,296,0.63671875
1689491277.3757591,304,0.62890625
1689491393.4053593,312,0.64453125
1689491593.047563,320,0.640625
1689491709.0374541,328,0.62109375
1689491823.116562,336,0.6484375
1689491939.9871945,344,0.64453125
1689492132.7880487,352,0.62109375
1689492248.5282805,360,0.64453125
1689492364.856205,368,0.61328125
1689492484.0654974,376,0.62109375
1689492675.2065864,384,0.62890625
1689492790.39677,392,0.62109375
1689492902.8587685,400,0.625
1689493016.782096,408,0.6328125
1689493210.1725569,416,0.6328125
1689493326.0307102,424,0.63671875
1689493439.5637562,432,0.640625
1689493553.3856087,440,0.625
1689493749.46178,448,0.62890625
1689493862.128425,456,0.6484375
1689493975.07738,464,0.63671875
1689494092.215243,472,0.625
1689494286.845022,480,0.6328125
1689494399.1195946,488,0.64453125
1689494515.5229373,496,0.62109375
1689494627.5669253,504,0.61328125
1689494822.3393533,512,0.625
1689494934.782048,520,0.62890625
1689495049.0074651,528,0.625
1689495166.1779106,536,0.62890625
1689495359.5011692,544,0.6328125
1689495474.2940605,552,0.61328125
1689495587.0770903,560,0.63671875
1689495703.4196126,568,0.640625
1689495893.9826767,576,0.62109375
1689496006.4024434,584,0.609375
1689496121.4612882,592,0.6328125
1689496235.7410696,600,0.62109375
1689496428.386163,608,0.625
1689496544.1364546,616,0.62890625
1689496656.8108697,624,0.63671875
1689496769.488443,632,0.62890625
1689496962.1193914,640,0.61328125
1689497074.7574627,648,0.6484375
1689497187.6260211,656,0.62890625
1689497302.9285862,664,0.62109375
1689497496.5522735,672,0.6328125
1689497612.2339203,680,0.6484375
1689497727.715028,688,0.6328125
1689497841.5166464,696,0.625
1689498033.7970283,704,0.640625
1689498151.0895634,712,0.63671875
1689498262.5072796,720,0.62890625
1689498372.2275777,728,0.62890625
1689498564.9306793,736,0.6328125
1689498681.5436506,744,0.640625
1689498797.7767954,752,0.640625
1689498914.189547,760,0.62890625
1689499105.7934458,768,0.62109375
1689499218.6326013,776,0.609375
1689499330.3669035,784,0.65234375
1689499447.000763,792,0.6328125
1689499642.1854956,800,0.6328125
1689499754.712361,808,0.625
1689499873.7203987,816,0.63671875
1689499987.3875074,824,0.62109375
1689500180.929024,832,0.625
1689500296.4840024,840,0.6328125
1689500410.89323,848,0.63671875
1689500522.915679,856,0.640625
1689500714.0263429,864,0.6328125
1689500825.7470617,872,0.6171875
1689500941.8311925,880,0.6171875
1689501052.9392226,888,0.62890625
1689501249.464257,896,0.62109375
1689501362.455602,904,0.625
1689501475.509167,912,0.60546875
1689501589.8936574,920,0.6328125
1689501786.3364048,928,0.61328125
1689501899.3430786,936,0.6328125
1689502013.3912249,944,0.640625
1689502128.306368,952,0.62890625
1689502323.1039011,960,0.625
1689502437.6143625,968,0.62890625
1689502553.8680267,976,0.640625
1689502664.386161,984,0.62890625
1689502856.1098676,992,0.62109375
1689502969.1685147,1000,0.62109375
1689503083.3190966,1008,0.6328125
1689503199.9633195,1016,0.6328125
1689503393.4763596,1024,0.61328125
1689503512.7626793,1032,0.62890625
1689503629.387785,1040,0.6328125
1689503743.7050185,1048,0.6484375
1689503935.8300688,1056,0.62890625
1689504051.1638138,1064,0.6328125
1689504169.8084722,1072,0.63671875
1689504282.3440664,1080,0.609375
1689504477.1745062,1088,0.6171875
1689504593.5069232,1096,0.6328125
1689504708.430006,1104,0.61328125
1689504822.35373,1112,0.62890625
1689505020.0603163,1120,0.65625
1689505140.7569425,1128,0.63671875
1689505257.5936685,1136,0.63671875
1689505376.2779214,1144,0.640625
1689505568.7666378,1152,0.625
1689505684.2867126,1160,0.64453125
1689505800.375409,1168,0.6328125
1689505915.1654212,1176,0.63671875
1689506107.375072,1184,0.63671875
1689506222.8797307,1192,0.6328125
1689506343.6917706,1200,0.65234375
1689506459.7942934,1208,0.60546875
1689506654.881882,1216,0.62890625
1689506771.6848834,1224,0.625
1689506885.9199574,1232,0.62109375
1689507004.0689824,1240,0.62109375
1689507199.6781156,1248,0.65234375
1689507314.3524508,1256,0.625
1689507430.2348416,1264,0.62890625
1689507544.753259,1272,0.62890625
1689507738.2600982,1280,0.6328125
1689507855.0963583,1288,0.6328125
1689507966.4556713,1296,0.61328125
1689508084.41917,1304,0.6171875
1689508280.5119936,1312,0.640625
1689508394.2961798,1320,0.62109375
1689508511.7549217,1328,0.62109375
1689508629.8942986,1336,0.63671875
1689508823.567011,1344,0.62109375
1689508940.5910091,1352,0.62890625
1689509058.3188071,1360,0.64453125
1689509173.7140822,1368,0.62890625
1689509370.492082,1376,0.62890625
1689509486.5109215,1384,0.6328125
1689509604.953092,1392,0.625
1689509720.8671544,1400,0.62890625
1689509920.264582,1408,0.640625
1689510039.3804324,1416,0.62890625
1689510151.47177,1424,0.63671875
1689510264.6545777,1432,0.625
1689510462.2700887,1440,0.625
1689510581.828441,1448,0.625
1689510699.707304,1456,0.6328125
1689510812.0104167,1464,0.62109375
1689511007.492869,1472,0.6484375
1689511121.0525067,1480,0.640625
1689511237.6515808,1488,0.6328125
1689511357.1101995,1496,0.62109375
1689511554.8606353,1504,0.62109375
1689511670.8806832,1512,0.640625
1689511786.3127553,1520,0.62890625
1689511899.9024286,1528,0.62890625
1689512098.667277,1536,0.62109375
1689512219.5834942,1544,0.65625
1689512332.720496,1552,0.62109375
1689512447.7447011,1560,0.62890625
1689512643.8210864,1568,0.63671875
1689512758.4430006,1576,0.65625
1689512868.5091856,1584,0.625
1689512986.654836,1592,0.64453125
1689513186.9549456,1600,0.64453125
1689513304.1548018,1608,0.609375
1689513419.047675,1616,0.63671875
1689513533.4114408,1624,0.6328125
1689513728.3927634,1632,0.625
1689513844.6675227,1640,0.63671875
1689513956.5576258,1648,0.6171875
1689514071.4745333,1656,0.625
1689514268.1452138,1664,0.62890625
1689514383.5896394,1672,0.640625
1689514502.6637003,1680,0.640625
1689514617.931279,1688,0.6171875
1689514812.4111621,1696,0.6328125
1689514929.7287204,1704,0.640625
1689515040.892687,1712,0.625
1689515158.2360353,1720,0.625
1689515351.9940648,1728,0.6484375
1689515469.0058205,1736,0.609375
1689515582.3467307,1744,0.63671875
1689515698.467415,1752,0.62890625
1689515893.8929803,1760,0.6171875
1689516012.466909,1768,0.640625
1689516131.5855567,1776,0.6328125
1689516244.8713312,1784,0.6484375
1689516439.7266047,1792,0.6484375
1689516557.8897681,1800,0.6328125
1689516673.5338192,1808,0.6328125
1689516785.7062407,1816,0.66015625
1689516988.6156003,1824,0.640625
1689517110.376603,1832,0.6484375
1689517226.1387277,1840,0.6171875
1689517338.3693047,1848,0.6484375
1689517532.9661248,1856,0.640625
1689517651.929849,1864,0.640625
1689517768.1382382,1872,0.6171875
1689517885.5663486,1880,0.640625
1689518080.0174391,1888,0.62109375
1689518195.9074547,1896,0.625
1689518313.716918,1904,0.6328125
1689518428.6201549,1912,0.63671875
1689518620.863864,1920,0.63671875
1689518736.6868846,1928,0.609375
1689518849.9713824,1936,0.6328125
1689518968.5374305,1944,0.63671875
1689519163.270499,1952,0.63671875
1689519280.5695312,1960,0.62109375
1689519396.3287108,1968,0.63671875
1689519508.6851106,1976,0.63671875
1689519706.9373252,1984,0.62109375
1689519822.4054046,1992,0.6328125
1689519940.2269554,2000,0.6171875
1689520054.5947058,2008,0.63671875
1689520248.4452136,2016,0.609375
1689520363.1861494,2024,0.625
1689520480.556499,2032,0.63671875
1689520596.5198264,2040,0.625
1689520792.4704716,2048,0.6328125
1689520907.348621,2056,0.625
1689521019.9567573,2064,0.62109375
1689521135.4646873,2072,0.63671875
1689521329.9158945,2080,0.63671875
1689521445.5718496,2088,0.64453125
1689521564.2129793,2096,0.625
1689521679.7913032,2104,0.625
1689521874.6702595,2112,0.62890625
1689521992.919444,2120,0.640625
1689522110.6598992,2128,0.65234375
1689522225.7809894,2136,0.61328125
1689522419.2166033,2144,0.6171875
1689522533.663702,2152,0.63671875
1689522649.8348913,2160,0.63671875
1689522760.3162303,2168,0.625
1689522956.848112,2176,0.640625
1689523075.0220022,2184,0.625
1689523185.6691985,2192,0.609375
1689523300.0331516,2200,0.625
1689523490.4031444,2208,0.61328125
1689523602.6988919,2216,0.6328125
1689523720.215185,2224,0.64453125
1689523835.8778179,2232,0.640625
1689524026.2218626,2240,0.65234375
1689524140.6601326,2248,0.65625
1689524253.1228232,2256,0.62890625
1689524365.6431766,2264,0.6328125
1689524562.5424848,2272,0.63671875
1689524676.5528178,2280,0.63671875
1689524794.1227708,2288,0.61328125
1689524906.5690317,2296,0.62890625
1689525098.7893672,2304,0.63671875
1689525213.5763986,2312,0.6328125
1689525330.533291,2320,0.63671875
1689525443.230466,2328,0.61328125
1689525637.1857057,2336,0.64453125
1689525751.161172,2344,0.625
1689525861.1444893,2352,0.6328125
1689525977.1408114,2360,0.62890625
1689526173.752721,2368,0.609375
1689526285.7685153,2376,0.63671875
1689526402.8918772,2384,0.64453125
1689526515.8751287,2392,0.62890625
1689526710.8991916,2400,0.6328125
1689526824.5694015,2408,0.625
1689526934.9667518,2416,0.62109375
1689527051.143865,2424,0.640625
1689527246.7680006,2432,0.64453125
1689527362.8320572,2440,0.59765625
1689527477.6254635,2448,0.63671875
1689527591.1338756,2456,0.62890625
1689527783.404932,2464,0.62109375
1689527894.39752,2472,0.64453125
1689528007.3466737,2480,0.609375
1689528124.2043607,2488,0.66015625
1689528318.9905589,2496,0.62890625
1689528433.030845,2504,0.61328125
1689528543.302683,2512,0.625
1689528657.8134198,2520,0.66015625
1689528852.6562529,2528,0.63671875
1689528968.8135033,2536,0.6171875
1689529083.407367,2544,0.62109375
1689529197.8308954,2552,0.62890625
1689529391.478556,2560,0.62890625
1689529506.0332253,2568,0.625
1689529619.1320653,2576,0.625
1689529738.0170512,2584,0.609375
1689529927.5539453,2592,0.625
1689530043.3232899,2600,0.6171875
1689530160.1311238,2608,0.6328125
1689530272.824982,2616,0.63671875
1689530469.659477,2624,0.62890625
1689530586.0327892,2632,0.6328125
1689530693.3915815,2640,0.64453125
1689530809.3506675,2648,0.6328125
1689531004.014587,2656,0.6328125
1689531118.1742232,2664,0.62109375
1689531232.628363,2672,0.62890625
1689531350.0629053,2680,0.6171875
1689531541.3441098,2688,0.63671875
1689531654.1813507,2696,0.609375
1689531772.3316379,2704,0.625
1689531883.8256383,2712,0.65234375
1689532081.6205997,2720,0.62890625
1689532194.3713777,2728,0.625
1689532310.0305543,2736,0.64453125
1689532423.9182794,2744,0.63671875
1689532620.1478076,2752,0.625
1689532731.621619,2760,0.640625
1689532846.0322297,2768,0.6171875
1689532961.7053099,2776,0.640625
1689533157.0940008,2784,0.6171875
1689533271.9607825,2792,0.625
1689533386.064702,2800,0.625
1689533503.3707182,2808,0.6328125
1689533694.4885852,2816,0.65234375
1689533809.8176665,2824,0.625
1689533920.9591153,2832,0.625
1689534035.69483,2840,0.6328125
1689534233.1371922,2848,0.64453125
1689534347.3899229,2856,0.6171875
1689534462.499453,2864,0.6328125
1689534577.9389396,2872,0.640625
1689534770.4503987,2880,0.62890625
1689534887.2926118,2888,0.62109375
1689534999.7964246,2896,0.609375
1689535113.5548368,2904,0.625
1689535304.5378673,2912,0.625
1689535421.3197467,2920,0.640625
1689535539.9513714,2928,0.6328125
1689535653.7265756,2936,0.6328125
1689535843.8148885,2944,0.62890625
1689535959.5194046,2952,0.65625
1689536073.3369544,2960,0.625
1689536192.4218354,2968,0.609375
1689536382.8816147,2976,0.62109375
1689536496.8912938,2984,0.625
1689536609.0768905,2992,0.6328125
1689536721.3464503,3000,0.640625
1689536914.4381871,3008,0.6328125
1689537028.1485093,3016,0.640625
1689537138.147479,3024,0.640625
1689537252.1022787,3032,0.62890625
1689537446.2116945,3040,0.62109375
1689537560.0798423,3048,0.625
1689537678.1411705,3056,0.63671875
1689537792.1955006,3064,0.63671875
1689537987.581765,3072,0.625
1689538102.8627362,3080,0.62890625
1689538219.268884,3088,0.60546875
1689538331.9678328,3096,0.640625
1689538524.0475647,3104,0.6328125
1689538640.1543968,3112,0.63671875
1689538753.4924557,3120,0.6328125
1689538870.5606244,3128,0.64453125
1689539061.0711648,3136,0.6171875
1689539174.6380405,3144,0.61328125
1689539288.0911021,3152,0.625
1689539400.4056537,3160,0.6484375
1689539591.4743702,3168,0.62109375
1689539708.1160016,3176,0.6171875
1689539824.172528,3184,0.65625
1689539933.6190941,3192,0.64453125
1689540123.651229,3200,0.625
