Wall time,Step,Value
1689257833.868355,0,0.609375
1689257950.9997787,8,0.625
1689258065.6902816,16,0.609375
1689258171.048086,24,0.625
1689258361.066638,32,0.6328125
1689258478.1857371,40,0.62109375
1689258582.9752378,48,0.61328125
1689258690.0077546,56,0.63671875
1689258883.5666902,64,0.6328125
1689258990.6919677,72,0.62890625
1689259095.7946017,80,0.609375
1689259202.1361659,88,0.60546875
1689259389.343786,96,0.63671875
1689259496.7649727,104,0.625
1689259603.4140937,112,0.62109375
1689259709.4116006,120,0.61328125
1689259898.7449234,128,0.59375
1689260004.436292,136,0.6328125
1689260112.5685935,144,0.6015625
1689260217.5669763,152,0.62890625
1689260404.8015664,160,0.61328125
1689260509.7285447,168,0.6328125
1689260614.6922417,176,0.62890625
1689260720.9339323,184,0.625
1689260910.8291628,192,0.62109375
1689261018.2808967,200,0.6171875
1689261126.087086,208,0.6171875
1689261230.593863,216,0.62890625
1689261415.834878,224,0.63671875
1689261520.0040143,232,0.625
1689261624.4249809,240,0.63671875
1689261727.6336262,248,0.6328125
1689261917.0182507,256,0.6015625
1689262025.3063197,264,0.6328125
1689262131.0746374,272,0.625
1689262233.7971914,280,0.640625
1689262428.0039535,288,0.62109375
1689262534.563135,296,0.609375
1689262639.5851405,304,0.60546875
1689262746.0750732,312,0.61328125
1689262933.837228,320,0.63671875
1689263039.6916873,328,0.625
1689263147.1966007,336,0.58984375
1689263254.274792,344,0.61328125
1689263439.479895,352,0.609375
1689263545.6471977,360,0.609375
1689263650.0595326,368,0.609375
1689263758.5932705,376,0.625
1689263945.2666059,384,0.62109375
1689264053.4600747,392,0.6171875
1689264159.2649248,400,0.6171875
1689264264.5089395,408,0.62109375
1689264450.9364684,416,0.61328125
1689264554.8581629,424,0.62109375
1689264658.7730768,432,0.609375
1689264763.474664,440,0.61328125
1689264949.6850371,448,0.6015625
1689265054.0615246,456,0.6171875
1689265157.3486776,464,0.62890625
1689265263.3013678,472,0.6015625
1689265447.4910283,480,0.609375
1689265553.2196407,488,0.625
1689265659.5166543,496,0.625
1689265763.5282612,504,0.625
1689265947.9239695,512,0.63671875
1689266051.2296805,520,0.625
1689266154.7874022,528,0.61328125
1689266259.8153253,536,0.61328125
1689266445.275705,544,0.6171875
1689266549.1775548,552,0.625
1689266654.8696618,560,0.61328125
1689266761.3392594,568,0.62890625
1689266945.3015718,576,0.64453125
1689267057.4480038,584,0.62109375
1689267164.826084,592,0.61328125
1689267270.315882,600,0.609375
1689267458.2875302,608,0.63671875
1689267566.573749,616,0.62109375
1689267671.3800595,624,0.640625
1689267776.3192537,632,0.609375
1689267963.3416052,640,0.6171875
1689268069.6553254,648,0.625
1689268175.8672392,656,0.62890625
1689268283.0724733,664,0.62109375
1689268468.1366148,672,0.6328125
1689268574.6985426,680,0.6171875
