Wall time,Step,Value
1690362813.4273782,0,0.609375
1690362927.4448993,8,0.640625
1690363040.7288618,16,0.6328125
1690363146.0074377,24,0.62109375
1690363339.0345068,32,0.63671875
1690363443.8736928,40,0.62890625
1690363547.3134909,48,0.61328125
1690363652.577247,56,0.62109375
1690363839.0344274,64,0.64453125
1690363943.4822552,72,0.61328125
1690364049.2380748,80,0.6328125
1690364152.6709921,88,0.62890625
1690364340.4985356,96,0.60546875
1690364446.67506,104,0.62890625
1690364550.8029184,112,0.62109375
1690364655.2140403,120,0.63671875
1690364842.0726302,128,0.6484375
1690364947.9276998,136,0.625
1690365054.5473087,144,0.62890625
1690365156.8795044,152,0.62890625
1690365343.5946085,160,0.6171875
1690365446.9675553,168,0.625
1690365552.0953817,176,0.6328125
1690365658.784606,184,0.63671875
1690365852.2308867,192,0.63671875
1690365961.298898,200,0.63671875
1690366069.2237902,208,0.62890625
1690366179.038217,216,0.6328125
1690366375.2585208,224,0.62890625
1690366484.5771346,232,0.6328125
1690366590.8857977,240,0.6171875
1690366707.0100615,248,0.625
1690366919.3302567,256,0.62109375
1690367045.0163293,264,0.6171875
1690367166.8345597,272,0.6171875
1690367295.9077091,280,0.6171875
1690367547.456802,288,0.640625
1690367700.1470249,296,0.6328125
1690367854.3936787,304,0.61328125
1690368021.298205,312,0.609375
1690368358.4173446,320,0.61328125
1690368552.3978271,328,0.625
1690368758.94541,336,0.62109375
1690368978.5410328,344,0.625
1690369384.8384826,352,0.625
1690369624.6797347,360,0.62890625
1690369871.9523268,368,0.61328125
1690370125.6554964,376,0.62109375
1690370593.6904147,384,0.625
1690370860.2532318,392,0.62890625
1690371133.0642822,400,0.63671875
1690371403.9072592,408,0.6328125
1690371911.4687524,416,0.62109375
1690372196.9203887,424,0.60546875
1690372482.4086487,432,0.59375
1690372762.5575166,440,0.609375
1690373278.4558253,448,0.6015625
1690373567.9197786,456,0.59765625
1690373856.3537023,464,0.59375
1690374144.5600092,472,0.59375
1690374665.421092,480,0.58984375
1690374960.971159,488,0.58203125
1690375250.4709532,496,0.546875
1690375544.212157,504,0.57421875
1690376069.0856888,512,0.60546875
1690376364.767917,520,0.57421875
1690376660.987454,528,0.58203125
1690376955.5622897,536,0.59375
1690377479.7733867,544,0.58984375
1690377777.2424583,552,0.58203125
1690378074.969884,560,0.578125
1690378373.5615973,568,0.6015625
1690378906.9059806,576,0.59375
1690379204.7924895,584,0.61328125
1690379503.8689275,592,0.61328125
1690379801.0011883,600,0.62109375
1690380326.2419682,608,0.625
1690380616.2832947,616,0.62109375
1690380906.8478703,624,0.62890625
1690381197.2636414,632,0.6171875
1690381719.6260254,640,0.625
1690382011.4984374,648,0.62109375
1690382302.7481833,656,0.62109375
1690382595.3683393,664,0.61328125
1690383119.9432924,672,0.6171875
1690383413.258946,680,0.60546875
1690383706.182385,688,0.60546875
1690383999.6419747,696,0.59375
1690384525.9000506,704,0.59765625
1690384820.9489286,712,0.60546875
1690385114.780753,720,0.59765625
1690385407.4122455,728,0.609375
1690385934.8820207,736,0.60546875
1690386229.836527,744,0.59375
1690386526.0394099,752,0.59765625
