Wall time,Step,Value
1689482184.2842536,0,0.609375
1689482294.5181613,8,0.62890625
1689482403.239947,16,0.63671875
1689482513.0595753,24,0.640625
1689482704.1547914,32,0.62109375
1689482806.4994216,40,0.625
1689482908.0895712,48,0.62890625
1689483012.8391066,56,0.6171875
1689483194.4050336,64,0.640625
1689483298.595988,72,0.625
1689483402.077989,80,0.62890625
1689483503.2354732,88,0.6484375
1689483694.4670846,96,0.625
1689483798.6959612,104,0.6484375
1689483904.2687914,112,0.6328125
1689484006.0440443,120,0.62109375
1689484188.0109582,128,0.62109375
1689484292.307911,136,0.625
1689484394.947414,144,0.61328125
1689484496.9932644,152,0.62109375
1689484683.4767163,160,0.64453125
1689484789.2582846,168,0.62109375
1689484892.8689635,176,0.609375
1689485000.933493,184,0.6328125
1689485195.0378137,192,0.6484375
1689485303.1144261,200,0.6328125
1689485412.3999054,208,0.6328125
1689485524.588826,216,0.6328125
1689485732.059405,224,0.62890625
1689485850.612556,232,0.6171875
1689485973.4765563,240,0.6328125
1689486103.157391,248,0.640625
1689486354.8743188,256,0.625
1689486500.476612,264,0.640625
1689486652.3276546,272,0.62109375
1689486816.8586252,280,0.625
1689487156.4345212,288,0.63671875
1689487357.338116,296,0.625
1689487571.4764996,304,0.64453125
1689487788.5669496,312,0.62109375
1689488222.69669,320,0.63671875
1689488466.783211,328,0.640625
1689488720.2152505,336,0.609375
1689488975.5769193,344,0.6328125
1689489464.0032032,352,0.63671875
1689489726.7416537,360,0.62109375
1689489998.7676299,368,0.6328125
1689490277.0523443,376,0.6171875
1689490776.9743416,384,0.6171875
1689491057.924893,392,0.62109375
1689491338.2455175,400,0.6015625
1689491621.0147908,408,0.6015625
1689492133.6713054,416,0.62890625
1689492417.388019,424,0.6015625
1689492700.9113252,432,0.60546875
1689492983.9835713,440,0.58984375
1689493499.5854256,448,0.56640625
1689493784.90124,456,0.58203125
1689494070.6969519,464,0.59765625
1689494357.1573706,472,0.58984375
1689494878.9336972,480,0.59375
1689495166.6023753,488,0.58984375
1689495451.8942397,496,0.578125
1689495738.0673385,504,0.578125
1689496258.715413,512,0.609375
1689496546.5352683,520,0.58984375
1689496834.673892,528,0.59375
1689497121.5840771,536,0.609375
1689497644.3868818,544,0.578125
1689497932.2193906,552,0.60546875
1689498220.105481,560,0.61328125
1689498508.7446318,568,0.59765625
1689499031.0811725,576,0.59375
1689499319.7588012,584,0.60546875
1689499609.3687973,592,0.61328125
1689499898.7126164,600,0.61328125
1689500423.1266425,608,0.6015625
1689500712.544506,616,0.60546875
1689501002.1505206,624,0.61328125
1689501291.2091408,632,0.59765625
1689501817.0470402,640,0.62109375
1689502107.4125197,648,0.609375
1689502397.9624372,656,0.62109375
1689502688.6376472,664,0.58984375
1689503216.1186938,672,0.609375
1689503511.1061547,680,0.6171875
1689503804.706481,688,0.61328125
1689504100.4868379,696,0.62109375
1689504635.8136816,704,0.625
1689504932.5439467,712,0.59375
1689505227.9229834,720,0.59375
1689505523.3571556,728,0.609375
1689506059.6011128,736,0.609375
1689506356.7780683,744,0.609375
1689506653.681341,752,0.59765625
1689506950.212887,760,0.61328125
1689507486.1120548,768,0.59765625
1689507780.3933132,776,0.6171875
1689508076.945852,784,0.59765625
1689508373.4423409,792,0.6015625
1689508912.3118207,800,0.578125
1689509209.7498531,808,0.58203125
1689509504.626018,816,0.578125
1689509801.729483,824,0.578125
1689510337.380242,832,0.57421875
1689510634.4440722,840,0.57421875
1689510931.838519,848,0.5546875
1689511229.4647,856,0.5703125
1689511769.1490843,864,0.55078125
1689512066.1840484,872,0.5546875
1689512363.1863277,880,0.55859375
1689512661.1826944,888,0.546875
1689513201.3202496,896,0.54296875
1689513499.375371,904,0.55859375
1689513796.6778321,912,0.55078125
1689514094.4756792,920,0.53515625
1689514635.005119,928,0.54296875
1689514933.988253,936,0.546875
1689515232.6822858,944,0.54296875
1689515530.2918286,952,0.5390625
1689516072.319589,960,0.54296875
1689516371.614581,968,0.53515625
1689516668.9213057,976,0.53515625
1689516967.1551907,984,0.55078125
1689517508.325471,992,0.53125
1689517807.4741278,1000,0.5234375
1689518106.6442394,1008,0.5546875
1689518404.8208654,1016,0.5390625
1689518942.702313,1024,0.5234375
1689519241.0728607,1032,0.53515625
1689519539.3790054,1040,0.52734375
1689519838.2595358,1048,0.5234375
1689520379.596482,1056,0.51171875
1689520679.3990557,1064,0.5234375
1689520978.3130364,1072,0.51171875
1689521275.2090309,1080,0.515625
1689521815.698587,1088,0.515625
1689522115.5105596,1096,0.5078125
1689522413.678249,1104,0.51171875
1689522711.3610702,1112,0.51171875
1689523241.808282,1120,0.5
1689523532.9130328,1128,0.50390625
1689523827.5175865,1136,0.515625
1689524121.966099,1144,0.515625
1689524651.2048447,1152,0.515625
1689524944.9405215,1160,0.51953125
1689525237.1069663,1168,0.51171875
1689525528.923845,1176,0.5078125
1689526060.8776517,1184,0.5078125
1689526353.5952353,1192,0.5078125
1689526645.7206392,1200,0.515625
1689526937.6767526,1208,0.51171875
1689527467.6145816,1216,0.51171875
1689527761.1396694,1224,0.5078125
1689528052.9439847,1232,0.5078125
1689528345.1572511,1240,0.5
1689528874.1951027,1248,0.49609375
1689529166.922275,1256,0.50390625
1689529458.9879599,1264,0.5078125
1689529750.7297254,1272,0.5078125
1689530280.6877291,1280,0.5078125
1689530572.3128548,1288,0.49609375
1689530863.9588854,1296,0.50390625
1689531155.3908708,1304,0.5
1689531685.7493052,1312,0.50390625
1689531977.5403183,1320,0.5078125
1689532268.897964,1328,0.5
1689532560.253995,1336,0.49609375
1689533089.5702045,1344,0.5
1689533381.9365492,1352,0.5078125
1689533673.627929,1360,0.49609375
1689533965.3324268,1368,0.5
1689534495.1678598,1376,0.50390625
1689534786.992801,1384,0.5
1689535078.6637058,1392,0.50390625
1689535370.29851,1400,0.5
1689535899.3749926,1408,0.50390625
1689536191.3278205,1416,0.49609375
1689536483.110977,1424,0.5
1689536774.4604216,1432,0.5
1689537303.9382899,1440,0.5
1689537595.296713,1448,0.5
1689537887.6360662,1456,0.50390625
1689538179.015875,1464,0.5
1689538709.8858185,1472,0.50390625
1689539001.6120121,1480,0.4921875
1689539292.8668182,1488,0.5
1689539584.408417,1496,0.5
1689540112.929205,1504,0.5
1689540404.5020068,1512,0.49609375
1689540696.1821241,1520,0.49609375
1689540987.511111,1528,0.49609375
1689541516.1216009,1536,0.50390625
1689541808.0575738,1544,0.49609375
1689542099.5401075,1552,0.49609375
1689542391.8265457,1560,0.49609375
1689542921.7576134,1568,0.5
1689543215.1313536,1576,0.49609375
1689543508.512437,1584,0.5
1689543801.1630712,1592,0.5
1689544334.457579,1600,0.49609375
1689544627.7131386,1608,0.5
1689544920.3961525,1616,0.50390625
1689545213.171198,1624,0.5
1689545745.2508256,1632,0.5
1689546038.8268204,1640,0.49609375
1689546332.363603,1648,0.49609375
1689546626.3498409,1656,0.4921875
1689547157.6012926,1664,0.5
1689547450.9631898,1672,0.49609375
1689547745.1969872,1680,0.49609375
1689548038.479835,1688,0.50390625
1689548571.518469,1696,0.5
1689548864.6057265,1704,0.50390625
1689549157.425338,1712,0.5
1689549451.401347,1720,0.49609375
1689549983.5086539,1728,0.49609375
1689550277.1433733,1736,0.50390625
1689550570.4566011,1744,0.49609375
1689550864.0144362,1752,0.49609375
1689551396.033212,1760,0.5
1689551689.7649484,1768,0.49609375
1689551984.0358584,1776,0.5
1689552277.7736738,1784,0.5
1689552811.0417986,1792,0.5
1689553104.5566492,1800,0.49609375
1689553398.404518,1808,0.5
1689553692.0075254,1816,0.5
1689554225.059686,1824,0.49609375
1689554519.3774064,1832,0.49609375
1689554812.9244237,1840,0.49609375
1689555105.2572005,1848,0.50390625
1689555638.4205203,1856,0.49609375
1689555930.8950965,1864,0.49609375
1689556223.52311,1872,0.5
1689556516.7481666,1880,0.5
1689557049.1788568,1888,0.5
1689557342.4430509,1896,0.50390625
1689557636.2438023,1904,0.5
1689557930.484152,1912,0.5
1689558463.069908,1920,0.5
1689558756.7221067,1928,0.5
1689559049.701588,1936,0.5
1689559343.3442783,1944,0.49609375
1689559875.9949315,1952,0.5
1689560170.4974732,1960,0.5
1689560463.6125546,1968,0.49609375
1689560757.7501967,1976,0.5
1689561289.646572,1984,0.49609375
1689561582.5302145,1992,0.49609375
1689561875.3804677,2000,0.5
1689562167.6366887,2008,0.49609375
1689562698.956046,2016,0.50390625
1689562991.7026448,2024,0.5
1689563284.5939498,2032,0.5
1689563576.9783516,2040,0.5
1689564108.6750298,2048,0.49609375
1689564402.7746015,2056,0.50390625
1689564696.1408877,2064,0.5
1689564988.8691921,2072,0.49609375
1689565520.8223999,2080,0.49609375
1689565813.417997,2088,0.5
1689566105.5751762,2096,0.5
1689566398.5065687,2104,0.49609375
1689566930.6504037,2112,0.49609375
1689567222.7403295,2120,0.5
1689567515.2665687,2128,0.5
1689567807.9364688,2136,0.50390625
1689568338.0174813,2144,0.49609375
1689568629.976204,2152,0.4921875
1689568922.3387284,2160,0.50390625
1689569214.7092156,2168,0.49609375
1689569746.4517667,2176,0.5
1689570039.9688084,2184,0.49609375
1689570333.0279744,2192,0.49609375
1689570625.4358275,2200,0.5
1689571156.417263,2208,0.5
1689571449.6407065,2216,0.5
1689571742.063846,2224,0.5
1689572034.8998237,2232,0.5
1689572566.7598875,2240,0.50390625
1689572859.828114,2248,0.5
1689573151.7218676,2256,0.5
1689573444.6993544,2264,0.49609375
1689573976.4880846,2272,0.5
1689574270.6663067,2280,0.49609375
1689574563.8401172,2288,0.50390625
1689574857.0708413,2296,0.4921875
1689575386.3335721,2304,0.5
1689575679.7304251,2312,0.49609375
1689575971.817258,2320,0.49609375
1689576264.401001,2328,0.5
1689576795.307507,2336,0.5
1689577088.1417706,2344,0.5
1689577380.5625162,2352,0.5
1689577673.0369444,2360,0.5
1689578203.0148013,2368,0.49609375
1689578497.461212,2376,0.49609375
1689578792.3648634,2384,0.5
1689579086.3354747,2392,0.49609375
1689579618.79197,2400,0.5
1689579912.6109626,2408,0.49609375
1689580205.7714477,2416,0.5
1689580500.4626336,2424,0.5
1689581034.6134737,2432,0.49609375
1689581329.6812532,2440,0.49609375
1689581624.0789242,2448,0.49609375
1689581918.2904804,2456,0.5
1689582452.1509125,2464,0.49609375
1689582747.0426059,2472,0.5
1689583043.7547958,2480,0.5
1689583337.7143526,2488,0.5
1689583872.260069,2496,0.50390625
1689584165.7895138,2504,0.5
1689584458.9124682,2512,0.49609375
1689584752.5431883,2520,0.49609375
1689585283.437905,2528,0.5
1689585576.4890022,2536,0.5
1689585869.3131175,2544,0.5
1689586162.3700957,2552,0.5
1689586693.414179,2560,0.5
1689586986.4869184,2568,0.5
1689587279.8016462,2576,0.49609375
1689587572.9034076,2584,0.5
1689588105.5608296,2592,0.49609375
1689588399.155511,2600,0.49609375
1689588692.3554163,2608,0.49609375
