Wall time,Step,Value
1690866930.487204,0,0.609375
1690867042.296848,8,0.625
1690867151.3671346,16,0.6328125
1690867259.7402065,24,0.640625
1690867444.7706828,32,0.625
1690867544.7805905,40,0.61328125
1690867642.9937248,48,0.62109375
1690867743.0784774,56,0.63671875
1690867917.4904811,64,0.62890625
1690868018.0256002,72,0.60546875
1690868117.2822616,80,0.61328125
1690868216.6446936,88,0.6015625
1690868392.81396,96,0.6328125
1690868491.5449479,104,0.61328125
1690868591.6578858,112,0.64453125
1690868701.0385125,120,0.62109375
1690868876.445418,128,0.625
1690868974.0788846,136,0.6328125
1690869074.8648303,144,0.625
1690869173.261033,152,0.625
1690869349.5192347,160,0.63671875
1690869447.6605833,168,0.62109375
1690869545.2210572,176,0.6484375
1690869655.5003393,184,0.63671875
1690869832.1784976,192,0.625
1690869933.780001,200,0.62109375
1690870032.9881723,208,0.62890625
1690870131.7541218,216,0.62890625
1690870306.8780408,224,0.6171875
1690870404.5163074,232,0.61328125
1690870501.9126382,240,0.6484375
1690870599.6572356,248,0.62890625
1690870777.776593,256,0.61328125
1690870877.794652,264,0.62109375
1690870976.1940718,272,0.62890625
1690871074.0219312,280,0.625
1690871247.7980947,288,0.62109375
1690871345.6326313,296,0.62890625
1690871443.9726887,304,0.61328125
1690871541.8899038,312,0.62109375
1690871718.6015003,320,0.6328125
1690871817.4099462,328,0.64453125
1690871916.2073,336,0.61328125
1690872016.275051,344,0.625
1690872191.4484687,352,0.62890625
1690872291.0711715,360,0.62890625
1690872390.4847891,368,0.609375
1690872492.1439006,376,0.640625
1690872666.948285,384,0.63671875
1690872767.6149304,392,0.6171875
1690872867.7181633,400,0.62109375
1690872967.3962862,408,0.62890625
1690873142.1756916,416,0.62890625
1690873242.8564837,424,0.625
1690873341.096551,432,0.609375
1690873439.15061,440,0.61328125
1690873618.100527,448,0.6171875
1690873717.4202657,456,0.640625
1690873815.2239368,464,0.6328125
1690873915.2227457,472,0.62890625
1690874091.6942463,480,0.6171875
1690874191.049788,488,0.62890625
1690874292.296395,496,0.61328125
1690874389.504889,504,0.62890625
1690874565.4445128,512,0.6171875
1690874663.9657369,520,0.6171875
1690874762.4170024,528,0.6171875
1690874863.0597708,536,0.61328125
1690875038.4620197,544,0.62890625
1690875137.958155,552,0.62109375
1690875237.761628,560,0.640625
1690875339.0752597,568,0.62109375
1690875514.3542156,576,0.6171875
1690875612.1581876,584,0.625
1690875713.368758,592,0.6015625
1690875812.1086693,600,0.625
1690875988.3694217,608,0.6171875
1690876088.9563315,616,0.6328125
1690876187.8789353,624,0.6015625
1690876285.3240042,632,0.625
1690876460.885748,640,0.62109375
1690876559.5796323,648,0.62109375
1690876657.1454828,656,0.625
1690876756.3422549,664,0.625
1690876931.395608,672,0.6328125
1690877031.1067362,680,0.61328125
1690877129.8046782,688,0.640625
1690877230.177364,696,0.64453125
1690877403.4231246,704,0.6171875
1690877503.14028,712,0.6328125
1690877601.053133,720,0.62109375
1690877697.420512,728,0.6328125
1690877873.1524546,736,0.62890625
1690877971.7474875,744,0.6328125
1690878070.102696,752,0.63671875
1690878168.7012432,760,0.625
1690878342.6986327,768,0.6328125
1690878441.1515968,776,0.6484375
1690878538.8265958,784,0.625
1690878638.9973376,792,0.625
1690878813.3452575,800,0.63671875
