Wall time,Step,Value
1689424044.4907568,0,0.609375
1689424154.1912622,8,0.62109375
1689424262.4382184,16,0.6328125
1689424369.2304373,24,0.62890625
1689424552.9815645,32,0.625
1689424656.2026713,40,0.62109375
1689424757.671686,48,0.62109375
1689424859.7024992,56,0.625
1689425046.7427883,64,0.625
1689425149.3692474,72,0.62890625
1689425250.6123643,80,0.62109375
1689425351.7976344,88,0.63671875
1689425533.8787124,96,0.62109375
1689425636.378185,104,0.60546875
1689425739.7024202,112,0.61328125
1689425841.1503386,120,0.625
1689426029.2994633,128,0.6328125
1689426130.4039073,136,0.62109375
1689426233.3769596,144,0.625
1689426335.909462,152,0.6328125
1689426517.7129347,160,0.609375
1689426619.379332,168,0.640625
1689426722.3934426,176,0.6171875
1689426826.7452323,184,0.62890625
1689427012.2821357,192,0.625
1689427116.0189292,200,0.62890625
1689427218.9333906,208,0.61328125
1689427323.2780373,216,0.62109375
1689427504.8744292,224,0.60546875
1689427603.6646848,232,0.6015625
1689427705.763834,240,0.625
1689427805.544065,248,0.63671875
1689427989.0320108,256,0.609375
1689428093.649158,264,0.62109375
1689428196.5559986,272,0.6171875
1689428297.0199552,280,0.62109375
1689428480.0907197,288,0.63671875
1689428581.836404,296,0.625
1689428683.199037,304,0.625
1689428785.3754606,312,0.62890625
1689428968.88634,320,0.6328125
1689429070.4672627,328,0.62109375
1689429173.249163,336,0.6171875
1689429275.298658,344,0.6171875
1689429456.3646202,352,0.60546875
1689429557.4949903,360,0.609375
1689429659.969764,368,0.6171875
1689429763.809123,376,0.609375
1689429944.6612425,384,0.62890625
1689430044.5205836,392,0.609375
1689430145.577296,400,0.62890625
1689430247.7814457,408,0.62890625
1689430431.0056126,416,0.6328125
1689430534.0217855,424,0.6328125
1689430635.4629927,432,0.61328125
1689430737.780294,440,0.60546875
1689430921.4322093,448,0.6171875
1689431023.6260366,456,0.62890625
1689431125.5185213,464,0.62890625
1689431228.5339694,472,0.62890625
1689431414.6329823,480,0.62109375
1689431517.4097471,488,0.6328125
1689431620.5299191,496,0.609375
1689431721.209431,504,0.62109375
1689431903.5757089,512,0.625
1689432004.194777,520,0.63671875
1689432105.110772,528,0.6328125
1689432208.341661,536,0.625
1689432391.265996,544,0.6171875
1689432493.7235389,552,0.62109375
1689432594.2794566,560,0.6171875
1689432701.440238,568,0.6171875
1689432884.6442792,576,0.60546875
1689432985.3622253,584,0.6015625
1689433087.0666392,592,0.62109375
1689433188.876377,600,0.61328125
1689433372.6087627,608,0.6171875
1689433475.064309,616,0.6171875
1689433576.2340462,624,0.62109375
1689433677.3265626,632,0.62109375
1689433860.005019,640,0.6171875
1689433961.9313664,648,0.62109375
1689434063.5031967,656,0.62109375
1689434166.9302387,664,0.62109375
1689434348.987332,672,0.59765625
1689434452.0023575,680,0.61328125
1689434553.3129816,688,0.62890625
1689434652.9103975,696,0.6015625
1689434835.6485083,704,0.6171875
1689434940.614804,712,0.6171875
1689435042.4564216,720,0.60546875
1689435142.7971556,728,0.61328125
1689435334.7886016,736,0.59765625
1689435435.757073,744,0.6171875
1689435536.0293775,752,0.60546875
1689435639.6558402,760,0.625
1689435821.2132635,768,0.58984375
1689435923.5384657,776,0.6328125
1689436024.9929461,784,0.61328125
1689436128.8875577,792,0.6015625
1689436312.0449007,800,0.60546875
1689436412.9960275,808,0.60546875
1689436514.6540434,816,0.6171875
1689436614.9191306,824,0.6171875
1689436795.0199673,832,0.59765625
1689436897.3322203,840,0.60546875
1689436996.845727,848,0.609375
1689437099.0996525,856,0.625
1689437280.5746899,864,0.6171875
1689437379.4498818,872,0.6015625
1689437481.477127,880,0.58984375
1689437581.0774863,888,0.609375
1689437762.5023866,896,0.59765625
1689437860.6833196,904,0.60546875
1689437959.745586,912,0.6171875
1689438061.2844453,920,0.61328125
1689438244.63047,928,0.61328125
1689438343.9602625,936,0.62890625
