Wall time,Step,Value
1689435043.4651144,0,0.609375
1689435157.278841,8,0.62109375
1689435267.6183474,16,0.609375
1689435370.2244034,24,0.61328125
1689435563.0316346,32,0.62890625
1689435676.2174547,40,0.625
1689435779.5878577,48,0.6328125
1689435891.1928873,56,0.60546875
1689436074.2648616,64,0.62109375
1689436180.4162526,72,0.63671875
1689436290.745183,80,0.6328125
1689436391.152208,88,0.62109375
1689436573.9617507,96,0.62890625
1689436677.4345653,104,0.59765625
1689436779.9635913,112,0.609375
1689436882.9737616,120,0.64453125
1689437070.740868,128,0.62890625
1689437172.330418,136,0.60546875
1689437275.4223654,144,0.6328125
1689437376.7365515,152,0.625
1689437558.4175544,160,0.6171875
1689437659.7605624,168,0.6015625
1689437761.2339346,176,0.625
1689437862.8135324,184,0.63671875
1689438047.5857222,192,0.61328125
1689438151.4773514,200,0.6171875
1689438253.4721398,208,0.59375
1689438354.1594136,216,0.625
1689438534.7459142,224,0.62109375
1689438635.5904665,232,0.6015625
1689438736.6508844,240,0.6328125
1689438837.6813118,248,0.6171875
1689439022.3874624,256,0.6328125
1689439126.171694,264,0.625
1689439228.9039505,272,0.6328125
1689439329.9160492,280,0.61328125
1689439511.7660244,288,0.609375
1689439614.0125597,296,0.6171875
1689439715.7503924,304,0.59765625
1689439818.3874097,312,0.62109375
1689440001.604174,320,0.625
1689440104.2355874,328,0.61328125
1689440207.1442046,336,0.61328125
1689440309.4484437,344,0.61328125
1689440489.3923051,352,0.609375
1689440591.7051125,360,0.6171875
1689440695.081449,368,0.61328125
1689440798.9610603,376,0.6171875
1689440980.0524776,384,0.61328125
1689441082.9328485,392,0.62890625
1689441184.7539396,400,0.63671875
1689441285.7520874,408,0.61328125
1689441469.356435,416,0.61328125
1689441573.4467294,424,0.6015625
1689441674.378664,432,0.6171875
1689441775.1593852,440,0.609375
1689441958.8289044,448,0.6171875
1689442060.410408,456,0.60546875
1689442160.927861,464,0.62109375
1689442264.4392593,472,0.62109375
1689442448.3066273,480,0.6328125
1689442551.697318,488,0.62109375
1689442653.8561635,496,0.6015625
1689442754.0915103,504,0.60546875
1689442937.8630397,512,0.625
1689443040.4543624,520,0.6328125
1689443141.4294164,528,0.61328125
1689443245.7202947,536,0.62890625
1689443428.1762936,544,0.61328125
1689443530.6691697,552,0.61328125
1689443633.5998683,560,0.6171875
1689443736.5168488,568,0.6015625
1689443917.7729409,576,0.60546875
1689444018.779188,584,0.60546875
1689444121.667728,592,0.609375
1689444223.8996902,600,0.60546875
1689444402.6497314,608,0.59375
1689444505.534189,616,0.6328125
1689444607.7370343,624,0.609375
1689444708.4513316,632,0.60546875
1689444890.5872633,640,0.60546875
1689444994.3354256,648,0.61328125
1689445094.6317093,656,0.6328125
1689445197.8866115,664,0.61328125
1689445380.5722363,672,0.609375
1689445482.1684523,680,0.609375
1689445584.520143,688,0.625
1689445685.8396297,696,0.59375
1689445866.6675453,704,0.609375
1689445971.216656,712,0.63671875
1689446072.2185056,720,0.62109375
1689446172.4151227,728,0.6171875
1689446353.0048602,736,0.60546875
1689446454.533882,744,0.62109375
1689446556.2793164,752,0.61328125
1689446658.7236524,760,0.59765625
1689446839.2107193,768,0.609375
