Wall time,Step,Value
1689253182.6181574,0,0.6484375
1689253314.067212,8,0.6640625
1689253449.178096,16,0.67578125
1689253578.835303,24,0.66015625
1689253774.6155016,32,0.66015625
1689253895.4612641,40,0.6640625
1689254012.5850134,48,0.66796875
1689254133.900086,56,0.66015625
1689254333.9507723,64,0.6796875
1689254462.9486425,72,0.671875
1689254581.5894296,80,0.66796875
1689254699.8856463,88,0.67578125
1689254904.2923915,96,0.66796875
1689255025.0702028,104,0.6640625
1689255143.46659,112,0.66015625
1689255257.4663837,120,0.65625
1689255454.2015095,128,0.67578125
1689255570.422925,136,0.6796875
1689255684.0049546,144,0.66796875
1689255799.2360885,152,0.66796875
1689255994.0789113,160,0.671875
1689256110.6685948,168,0.65625
1689256223.7578247,176,0.66015625
1689256336.924876,184,0.6796875
1689256535.3069804,192,0.671875
1689256653.997743,200,0.6640625
1689256767.4078615,208,0.67578125
1689256883.2978547,216,0.671875
1689257077.0466158,224,0.67578125
1689257192.6568298,232,0.67578125
1689257310.7384794,240,0.6640625
1689257425.930584,248,0.68359375
1689257625.6116755,256,0.671875
1689257742.104822,264,0.6796875
1689257855.3160455,272,0.6640625
1689257972.172907,280,0.66796875
1689258163.3761873,288,0.65625
1689258280.8410256,296,0.67578125
1689258398.008137,304,0.68359375
1689258514.037712,312,0.66015625
1689258711.6904013,320,0.6640625
1689258827.045805,328,0.65234375
1689258945.0903275,336,0.66796875
1689259063.761041,344,0.671875
1689259259.7916338,352,0.6796875
1689259382.0626256,360,0.66796875
1689259496.3281195,368,0.6640625
1689259613.4209406,376,0.66015625
1689259813.1343355,384,0.66796875
1689259933.4272087,392,0.65625
1689260048.8065088,400,0.6640625
1689260166.057493,408,0.65625
1689260363.9193525,416,0.6953125
1689260491.2953434,424,0.66796875
1689260607.284024,432,0.67578125
1689260723.2603061,440,0.67578125
1689260919.822066,448,0.671875
1689261038.0367985,456,0.67578125
1689261156.3337471,464,0.66796875
1689261274.432284,472,0.66796875
1689261473.9225485,480,0.671875
1689261586.6832182,488,0.66796875
1689261701.11629,496,0.6796875
1689261818.3055997,504,0.6796875
1689262011.683344,512,0.671875
1689262123.5717564,520,0.66796875
1689262237.8109467,528,0.671875
1689262356.0649738,536,0.671875
1689262550.9263446,544,0.66796875
1689262663.459748,552,0.6796875
1689262776.3201914,560,0.6640625
1689262890.8407445,568,0.6640625
1689263088.7661068,576,0.671875
1689263200.848243,584,0.66015625
1689263316.9001796,592,0.671875
1689263430.0775936,600,0.68359375
1689263621.8335392,608,0.6796875
1689263734.6412446,616,0.66015625
1689263849.1275952,624,0.6640625
1689263965.0057557,632,0.67578125
1689264158.587385,640,0.6640625
1689264272.9984696,648,0.6640625
1689264386.8788698,656,0.66796875
1689264502.089056,664,0.671875
1689264695.6439214,672,0.6796875
1689264806.2796156,680,0.671875
1689264921.723492,688,0.6796875
1689265034.4317956,696,0.66796875
1689265230.0065827,704,0.68359375
1689265345.6330245,712,0.68359375
1689265458.4283438,720,0.68359375
1689265571.2541025,728,0.68359375
1689265765.2364702,736,0.6953125
1689265878.1446943,744,0.6640625
1689265993.770627,752,0.6796875
1689266106.3643699,760,0.67578125
1689266300.1890478,768,0.6796875
1689266413.24647,776,0.65625
1689266529.5194297,784,0.671875
1689266642.992053,792,0.6640625
1689266837.4473982,800,0.6796875
1689266949.316806,808,0.67578125
1689267066.138425,816,0.67578125
1689267180.3455946,824,0.671875
1689267376.2398133,832,0.68359375
1689267489.9253097,840,0.67578125
1689267607.7930212,848,0.6796875
1689267727.1847358,856,0.68359375
1689267920.2296898,864,0.6796875
1689268034.2621648,872,0.671875
1689268145.6710584,880,0.66796875
1689268260.0461695,888,0.6796875
1689268454.979165,896,0.6796875
1689268570.5732462,904,0.6875
1689268687.084362,912,0.6640625
1689268803.950568,920,0.671875
1689268994.8129907,928,0.67578125
1689269110.4163258,936,0.66796875
1689269227.7657702,944,0.67578125
1689269342.3983724,952,0.66796875
1689269536.6555917,960,0.671875
1689269652.8748949,968,0.6640625
1689269770.706271,976,0.66796875
1689269884.4086819,984,0.67578125
1689270081.6878765,992,0.67578125
1689270198.5106933,1000,0.67578125
1689270312.1788702,1008,0.6796875
1689270428.4566123,1016,0.6796875
