Wall time,Step,Value
1689253179.925289,0,0.6484375
1689253292.2696836,8,0.65625
1689253405.5559576,16,0.6640625
1689253516.6344147,24,0.6484375
1689253704.0484903,32,0.6640625
1689253808.9961007,40,0.671875
1689253918.9969962,48,0.671875
1689254025.441951,56,0.6640625
1689254213.961354,64,0.65234375
1689254319.621163,72,0.65234375
1689254424.1297684,80,0.6640625
1689254530.5795376,88,0.6328125
1689254723.928748,96,0.66796875
1689254830.1826255,104,0.66015625
1689254936.33433,112,0.6640625
1689255041.1312404,120,0.671875
1689255230.7411993,128,0.65625
1689255337.3654647,136,0.65625
1689255442.2517257,144,0.6640625
1689255548.645366,152,0.6484375
1689255739.0957575,160,0.66015625
1689255845.8073237,168,0.6484375
1689255951.303231,176,0.65625
1689256057.9532688,184,0.6640625
1689256253.3941016,192,0.66015625
1689256362.2925131,200,0.66015625
1689256470.8618093,208,0.65625
1689256580.263727,216,0.66015625
1689256776.2825596,224,0.6640625
1689256886.3157232,232,0.64453125
1689256998.3319178,240,0.65234375
1689257110.6261885,248,0.6640625
1689257308.2807648,256,0.66015625
1689257419.768226,264,0.65234375
1689257527.19889,272,0.65625
1689257638.846181,280,0.65625
1689257834.9545255,288,0.65625
1689257945.7766535,296,0.66796875
1689258056.3781714,304,0.65625
1689258167.2812612,312,0.671875
1689258371.4701102,320,0.66015625
1689258479.440856,328,0.671875
1689258589.7359588,336,0.64453125
1689258699.3148441,344,0.65234375
1689258896.9229214,352,0.65234375
1689259006.1452906,360,0.65234375
1689259113.2911615,368,0.6640625
1689259223.7813644,376,0.66015625
1689259421.280709,384,0.67578125
1689259533.1199734,392,0.671875
1689259641.2983997,400,0.6640625
1689259749.3174968,408,0.65625
1689259943.385783,416,0.65625
1689260053.139948,424,0.6484375
1689260161.8580525,432,0.64453125
1689260270.696595,440,0.640625
1689260467.410537,448,0.65625
1689260576.250437,456,0.66796875
1689260686.702792,464,0.6484375
1689260793.7400587,472,0.66015625
