Wall time,Step,Value
1689414923.7348335,0,0.6484375
1689415045.614823,8,0.6640625
1689415168.0330212,16,0.6484375
1689415283.2078464,24,0.64453125
1689415476.3632667,32,0.65625
1689415588.8849049,40,0.66015625
1689415703.5986292,48,0.6484375
1689415818.5542858,56,0.6484375
1689416016.328494,64,0.66015625
1689416132.8276255,72,0.66796875
1689416252.706163,80,0.6484375
1689416366.2192044,88,0.6484375
1689416569.883265,96,0.6640625
1689416686.393134,104,0.66796875
1689416805.6445374,112,0.66796875
1689416921.4108007,120,0.65234375
1689417122.6382809,128,0.65234375
1689417240.9979136,136,0.66796875
1689417355.6374598,144,0.6484375
1689417475.3573291,152,0.6484375
1689417678.0537534,160,0.65234375
1689417797.6935277,168,0.64453125
1689417916.431404,176,0.65625
1689418036.9047573,184,0.63671875
1689418253.0675015,192,0.671875
1689418384.6568089,200,0.65234375
1689418507.2854946,208,0.671875
1689418634.712679,216,0.6484375
1689418862.916635,224,0.671875
1689419001.702541,232,0.640625
1689419146.3058183,240,0.65625
1689419294.423671,248,0.6640625
1689419570.401561,256,0.6484375
1689419743.0943186,264,0.65625
1689419918.7838252,272,0.64453125
1689420105.4653687,280,0.64453125
1689420450.5600367,288,0.63671875
1689420667.5222027,296,0.65625
1689420887.818908,304,0.640625
1689421123.0622675,312,0.65234375
1689421553.7630904,320,0.65625
1689421809.7419925,328,0.66796875
1689422079.576682,336,0.64453125
1689422368.3098786,344,0.6484375
1689422882.021626,352,0.66015625
1689423189.3505669,360,0.65625
1689423489.486762,368,0.65234375
1689423794.9188848,376,0.65625
1689424342.2477057,384,0.66796875
1689424668.2501988,392,0.66015625
1689424997.0030646,400,0.65234375
1689425329.0964115,408,0.6484375
1689425888.880273,416,0.65234375
1689426227.0657773,424,0.66015625
1689426556.7612898,432,0.65234375
1689426890.7367969,440,0.63671875
1689427468.1774902,448,0.64453125
1689427806.323438,456,0.65234375
1689428143.077003,464,0.65625
1689428479.991146,472,0.62109375
1689429051.150376,480,0.609375
1689429389.6653743,488,0.6328125
1689429727.516428,496,0.64453125
1689430067.8829973,504,0.61328125
1689430640.7533162,512,0.640625
1689430981.4762416,520,0.60546875
1689431322.0068908,528,0.609375
1689431663.1904407,536,0.62890625
1689432238.9308655,544,0.62109375
1689432579.4304752,552,0.61328125
1689432920.9859815,560,0.61328125
1689433263.4417422,568,0.62109375
1689433841.069193,576,0.609375
1689434182.433394,584,0.62109375
1689434524.5658808,592,0.6171875
1689434865.857885,600,0.59765625
1689435445.5810053,608,0.6015625
1689435787.450138,616,0.60546875
1689436128.3442144,624,0.60546875
1689436466.3460252,632,0.62109375
1689437040.4380808,640,0.59375
1689437381.0011363,648,0.609375
1689437723.1186528,656,0.60546875
1689438062.5858266,664,0.60546875
1689438640.6216578,672,0.6015625
1689438981.7982411,680,0.6015625
1689439322.6766217,688,0.60546875
1689439664.492784,696,0.60546875
1689440245.1026795,704,0.61328125
1689440586.4626806,712,0.59765625
1689440928.416994,720,0.6015625
1689441271.0484343,728,0.59375
1689441853.0506337,736,0.59765625
1689442196.8385525,744,0.58203125
1689442541.1652572,752,0.59375
1689442884.21167,760,0.58984375
1689443466.8494682,768,0.55859375
1689443811.4744534,776,0.55078125
1689444155.714633,784,0.55078125
1689444501.1483934,792,0.53515625
1689445085.8357487,800,0.53515625
1689445431.591367,808,0.53125
1689445777.3455274,816,0.52734375
1689446123.3034053,824,0.5234375
1689446709.4137125,832,0.53125
1689447051.5686412,840,0.53515625
1689447394.124037,848,0.52734375
1689447735.6822155,856,0.51953125
1689448315.4567826,864,0.5234375
1689448658.2040555,872,0.515625
1689448999.966443,880,0.50390625
1689449340.2235782,888,0.51953125
1689449916.3607414,896,0.5078125
1689450255.5920453,904,0.52734375
1689450594.8489845,912,0.5
1689450934.9991007,920,0.5078125
1689451509.877292,928,0.51171875
1689451850.286592,936,0.52734375
1689452190.1647255,944,0.5078125
1689452529.5192533,952,0.5
1689453104.9844675,960,0.5078125
