Wall time,Step,Value
1688730097.8340101,0,0.6875
1688730265.6175187,8,0.6875
1688730426.7174153,16,0.6875
1688730583.4424646,24,0.671875
1688730743.9327166,32,0.6875
1688730909.576882,40,0.65625
1688731075.609441,48,0.671875
1688731233.7350464,56,0.671875
1688731390.896579,64,0.609375
1688731548.6294885,72,0.609375
1688731705.1445568,80,0.640625
1688731864.8718655,88,0.6875
1688732020.494012,96,0.671875
1688732175.1257193,104,0.640625
1688732331.8714743,112,0.65625
1688732481.2184043,120,0.671875
1688732636.5504014,128,0.6875
1688732797.5133226,136,0.671875
1688732957.2790656,144,0.6875
1688733112.640776,152,0.65625
1688733270.7295449,160,0.671875
1688733425.4673803,168,0.625
1688733590.0297961,176,0.640625
1688733746.5575507,184,0.671875
1688733901.68925,192,0.625
1688734051.7258353,200,0.65625
1688734208.1739237,208,0.671875
1688734358.732522,216,0.640625
1688734514.9940236,224,0.609375
1688734668.365387,232,0.65625
1688734827.5159185,240,0.6875
1688734992.9190893,248,0.65625
1688735148.893124,256,0.625
1688735306.330933,264,0.6875
1688735460.1984966,272,0.640625
1688735619.5548081,280,0.6875
1688735781.3024292,288,0.671875
1688735932.7621531,296,0.671875
1688736096.2354605,304,0.640625
1688736258.935112,312,0.640625
1688736522.7476444,320,0.625
1688736683.2097247,328,0.6875
1688736842.0473938,336,0.671875
1688737003.5158753,344,0.640625
1688737157.7985573,352,0.65625
1688737308.8363583,360,0.640625
1688737469.3853667,368,0.640625
1688737629.0340726,376,0.640625
1688737784.881209,384,0.65625
1688737947.3467374,392,0.6875
1688738107.701937,400,0.640625
1688738267.7444644,408,0.65625
1688738428.3532927,416,0.65625
1688738588.7960587,424,0.65625
1688738749.9227133,432,0.671875
1688738908.6052167,440,0.6875
1688739069.7662716,448,0.671875
1688739227.0997233,456,0.671875
1688739383.3825696,464,0.671875
1688739534.9616084,472,0.6875
1688739694.5254893,480,0.65625
1688739855.0605133,488,0.6875
1688740010.653567,496,0.65625
1688740163.8124204,504,0.6875
1688740323.5165708,512,0.671875
1688740480.7751217,520,0.65625
1688740641.5070345,528,0.640625
1688740803.6376443,536,0.671875
1688740964.7597895,544,0.625
1688741133.4952502,552,0.65625
1688741288.9283688,560,0.640625
1688741442.649076,568,0.625
1688741601.1308606,576,0.6875
1688741763.1227908,584,0.671875
1688741926.2999992,592,0.609375
1688742084.0816753,600,0.671875
1688742253.3474753,608,0.6875
1688742418.7190742,616,0.640625
1688742578.6053057,624,0.671875
1688742735.9409597,632,0.671875
1688742899.9370236,640,0.640625
1688743059.8771088,648,0.65625
1688743227.4478645,656,0.671875
1688743383.0766737,664,0.671875
1688743535.8714526,672,0.6875
1688743689.2573535,680,0.65625
1688743839.4317095,688,0.625
1688743996.8157601,696,0.65625
1688744164.194777,704,0.59375
1688744317.940085,712,0.65625
1688744469.6983538,720,0.640625
1688744621.9481804,728,0.6875
1688744779.47743,736,0.65625
1688744936.814339,744,0.703125
1688745081.0066757,752,0.671875
1688745226.4251544,760,0.65625
1688745384.7447562,768,0.65625
1688745546.9991229,776,0.640625
1688745702.0769799,784,0.6875
1688745859.9471128,792,0.625
1688746015.6254773,800,0.65625
