Wall time,Step,Value
1688730085.297184,0,0.6875
1688730171.368313,8,0.6875
1688730260.4671798,16,0.6875
1688730341.213775,24,0.703125
1688730420.7135358,32,0.703125
1688730503.8599534,40,0.671875
1688730588.7449722,48,0.671875
1688730677.1965356,56,0.671875
1688730757.878493,64,0.671875
1688730841.4135592,72,0.703125
1688730924.9696152,80,0.6875
1688731006.870799,88,0.6875
1688731089.0306456,96,0.6875
1688731169.7874806,104,0.6875
1688731250.2981431,112,0.6875
1688731329.7199774,120,0.703125
1688731412.5502903,128,0.6875
1688731495.9051979,136,0.65625
1688731578.3720553,144,0.703125
1688731659.121816,152,0.671875
1688731740.9141219,160,0.6875
1688731824.0953872,168,0.703125
1688731907.0248656,176,0.671875
1688731990.434689,184,0.65625
1688732073.3870447,192,0.640625
1688732158.4987473,200,0.671875
1688732244.1937604,208,0.671875
1688732329.951769,216,0.6875
1688732417.9230866,224,0.6875
1688732504.3008978,232,0.6875
1688732592.2533875,240,0.703125
1688732683.4649127,248,0.671875
1688732771.546657,256,0.703125
1688732859.9747083,264,0.671875
1688732948.8646116,272,0.640625
1688733036.7765071,280,0.671875
1688733126.3113577,288,0.6875
1688733213.4382207,296,0.671875
1688733303.1293762,304,0.6875
1688733392.926171,312,0.671875
1688733483.4466379,320,0.65625
1688733573.3905187,328,0.65625
1688733662.0466971,336,0.6875
1688733752.3941617,344,0.640625
1688733841.8338397,352,0.6875
1688733927.1511514,360,0.65625
1688734014.3416219,368,0.6875
1688734103.49239,376,0.640625
1688734189.7875817,384,0.6875
1688734278.2124522,392,0.6875
1688734364.8921332,400,0.671875
1688734452.723575,408,0.671875
1688734538.7947907,416,0.671875
1688734627.6204705,424,0.671875
1688734714.4620926,432,0.6875
1688734801.1603677,440,0.671875
1688734889.9962592,448,0.671875
1688734976.0254016,456,0.671875
1688735061.8056548,464,0.671875
1688735145.9541087,472,0.671875
1688735231.9944518,480,0.671875
1688735318.7267854,488,0.6875
1688735406.7446742,496,0.640625
1688735490.1889884,504,0.6875
1688735577.2491448,512,0.65625
1688735663.9810479,520,0.65625
1688735749.935008,528,0.703125
1688735835.6122684,536,0.65625
1688735923.2926025,544,0.671875
1688736011.124835,552,0.6875
1688736095.9801428,560,0.703125
1688736180.2766976,568,0.6875
1688736268.2082262,576,0.703125
1688736353.5661788,584,0.671875
1688736523.4568446,592,0.671875
1688736607.3199196,600,0.671875
1688736695.4846392,608,0.65625
1688736782.4782097,616,0.6875
1688736868.3168073,624,0.671875
1688736952.86685,632,0.6875
1688737038.9698315,640,0.671875
1688737123.7958846,648,0.671875
1688737209.8560817,656,0.671875
1688737293.4460127,664,0.6875
1688737379.5598972,672,0.671875
1688737464.6775682,680,0.65625
1688737548.6769378,688,0.6875
1688737632.9222033,696,0.703125
1688737720.3081563,704,0.65625
1688737804.3534894,712,0.6875
1688737888.0039744,720,0.703125
1688737971.555626,728,0.71875
1688738057.6138434,736,0.671875
1688738142.176242,744,0.65625
1688738225.8517296,752,0.65625
1688738307.5605614,760,0.6875
1688738392.3237088,768,0.671875
1688738478.8562112,776,0.671875
1688738563.258576,784,0.65625
1688738646.0973942,792,0.6875
1688738728.7316344,800,0.671875
