Wall time,Step,Value
1688700864.620102,0,0.625
1688700973.1534188,8,0.609375
1688701068.9803877,16,0.546875
1688701164.994003,24,0.546875
1688701258.840854,32,0.578125
1688701360.8860457,40,0.578125
1688701461.231356,48,0.578125
1688701556.0839658,56,0.5625
1688701649.5788398,64,0.59375
1688701740.5857666,72,0.59375
1688701841.2842197,80,0.578125
1688701942.5790904,88,0.5625
1688702042.8270047,96,0.59375
1688702139.849314,104,0.5625
1688702235.6263676,112,0.625
1688702332.6908426,120,0.578125
1688702431.134222,128,0.59375
1688702530.412038,136,0.59375
1688702629.4976735,144,0.625
1688702725.3750708,152,0.59375
1688702823.337323,160,0.5625
1688702914.8473854,168,0.578125
1688703011.3514094,176,0.59375
1688703102.356749,184,0.546875
1688703197.6143508,192,0.5625
1688703294.9666975,200,0.59375
1688703388.5574906,208,0.609375
1688703481.7362165,216,0.59375
1688703574.6628933,224,0.609375
1688703671.1142807,232,0.578125
1688703764.8774505,240,0.609375
1688703860.1462142,248,0.609375
1688703955.794236,256,0.578125
1688704053.890805,264,0.59375
1688704149.450593,272,0.5625
1688704246.8818707,280,0.609375
1688704346.2582614,288,0.578125
1688704441.9626665,296,0.5625
1688704540.3068361,304,0.59375
1688704635.7483408,312,0.578125
1688704731.8643212,320,0.578125
1688704825.6951299,328,0.59375
1688704925.5750368,336,0.59375
1688705027.3574574,344,0.578125
1688705125.8796928,352,0.578125
1688705226.1544523,360,0.578125
1688705320.3170593,368,0.625
1688705413.6705952,376,0.578125
1688705512.5565236,384,0.546875
1688705610.687217,392,0.578125
1688705705.1619558,400,0.5625
1688705803.815034,408,0.5625
1688705895.4699664,416,0.546875
1688705995.0904207,424,0.546875
1688706092.8421192,432,0.546875
1688706191.0854309,440,0.5625
1688706288.8556263,448,0.59375
1688706383.3440962,456,0.578125
1688706481.0980015,464,0.546875
1688706582.21717,472,0.578125
1688706672.3712878,480,0.578125
1688706770.4562678,488,0.5625
1688706867.4859288,496,0.578125
1688706961.5189123,504,0.5625
1688707059.1142597,512,0.578125
1688707155.7516062,520,0.546875
1688707253.5754628,528,0.546875
1688707347.6345506,536,0.546875
1688707444.0654817,544,0.609375
1688707540.419232,552,0.546875
1688707639.878723,560,0.578125
1688707735.9220195,568,0.578125
1688707832.1017456,576,0.5625
1688707928.4590125,584,0.546875
1688708023.1790254,592,0.59375
1688708119.9014292,600,0.59375
1688708216.8806899,608,0.59375
1688708316.3540716,616,0.5625
1688708412.4709632,624,0.578125
1688708506.4394689,632,0.578125
1688708601.327742,640,0.5625
1688708697.3590395,648,0.59375
1688708792.3517714,656,0.5625
1688708892.0815854,664,0.59375
1688708984.9223053,672,0.5625
1688709084.3823385,680,0.59375
1688709180.051711,688,0.5625
1688709278.7972946,696,0.578125
1688709377.7397015,704,0.578125
1688709476.2693434,712,0.5625
1688709575.1969464,720,0.5625
1688709671.890309,728,0.546875
1688709770.1012545,736,0.59375
1688709864.9663315,744,0.578125
1688709966.805433,752,0.5625
1688710063.3851278,760,0.546875
1688710155.4910889,768,0.5625
1688710250.7413347,776,0.53125
1688710346.312315,784,0.5625
1688710442.0948007,792,0.5625
1688710535.7348137,800,0.578125
