Wall time,Step,Value
1688761377.6371896,0,0.625
1688761585.7190607,8,0.609375
1688761769.9517941,16,0.59375
1688761957.8993902,24,0.578125
1688762144.57923,32,0.5625
1688762344.3251579,40,0.578125
1688762548.153467,48,0.5625
1688762739.2247632,56,0.5625
1688762917.2879734,64,0.609375
1688763090.5772357,72,0.59375
1688763297.1512702,80,0.59375
1688763496.6821382,88,0.5625
1688763696.922748,96,0.578125
1688763886.3285525,104,0.578125
1688764069.7321465,112,0.578125
1688764259.6726365,120,0.59375
1688764458.5955203,128,0.59375
1688764655.2437887,136,0.578125
1688764853.285448,144,0.59375
1688765050.2519011,152,0.59375
1688765233.6506388,160,0.609375
1688765416.78263,168,0.578125
1688765610.1713572,176,0.609375
1688765785.0268617,184,0.625
1688765975.8066382,192,0.59375
1688766171.2341638,200,0.609375
1688766360.9713593,208,0.59375
1688766551.9269156,216,0.578125
1688766737.051143,224,0.578125
1688766930.622189,232,0.59375
1688767122.5188715,240,0.59375
1688767313.2736063,248,0.578125
1688767507.9120314,256,0.578125
1688767710.1135771,264,0.578125
1688767905.8456256,272,0.59375
1688768112.7624674,280,0.59375
1688768319.7576346,288,0.578125
1688768509.2926147,296,0.578125
1688768710.8603895,304,0.59375
1688768900.5014977,312,0.578125
1688769094.5359175,320,0.625
1688769289.2466471,328,0.59375
1688769498.7148535,336,0.59375
1688769706.6082757,344,0.609375
1688769910.685419,352,0.578125
1688770103.0035968,360,0.609375
1688770289.8219786,368,0.609375
1688770484.1134002,376,0.578125
1688770690.6763508,384,0.59375
1688770889.029466,392,0.578125
1688771078.2508836,400,0.609375
1688771275.8816373,408,0.5625
1688771453.1405804,416,0.609375
1688771660.783495,424,0.59375
1688771855.7855148,432,0.578125
1688772050.096767,440,0.5625
1688772241.8283923,448,0.578125
1688772432.7544532,456,0.59375
1688772630.240912,464,0.609375
1688772833.6424162,472,0.59375
1688773014.7322886,480,0.609375
1688773218.5068717,488,0.578125
1688773415.4850347,496,0.609375
1688773603.9865346,504,0.59375
1688773799.5992248,512,0.609375
1688773994.7136858,520,0.578125
1688774183.5426142,528,0.5625
1688774371.6304717,536,0.578125
1688774562.3563964,544,0.59375
1688774755.732281,552,0.59375
1688774954.6812685,560,0.625
1688775146.2800953,568,0.5625
1688775336.7778213,576,0.59375
1688775527.026951,584,0.609375
1688775709.7210152,592,0.59375
1688775900.960675,600,0.5625
1688776091.5002909,608,0.59375
1688776287.1538434,616,0.59375
1688776477.122904,624,0.59375
1688776661.4344747,632,0.59375
1688776844.772641,640,0.609375
1688777032.3337798,648,0.640625
1688777228.7772968,656,0.59375
1688777430.64639,664,0.609375
1688777608.58327,672,0.5625
1688777805.3864179,680,0.59375
1688777998.4849708,688,0.609375
1688778192.7391877,696,0.609375
1688778385.812413,704,0.5625
1688778577.5959194,712,0.5625
1688778767.225745,720,0.625
1688778956.9861765,728,0.625
1688779154.2084472,736,0.5625
1688779340.4737978,744,0.578125
1688779541.8149548,752,0.625
1688779728.6744125,760,0.59375
1688779905.5162082,768,0.59375
1688780088.835132,776,0.578125
1688780274.8577983,784,0.546875
1688780462.033762,792,0.578125
1688780641.2792199,800,0.609375
