Wall time,Step,Value
1688632128.592799,0,0.625
1688632232.7025142,8,0.609375
1688632326.6193557,16,0.59375
1688632424.519356,24,0.59375
1688632518.961486,32,0.5625
1688632617.0214229,40,0.59375
1688632716.7469318,48,0.59375
1688632811.9985182,56,0.59375
1688632903.0075345,64,0.578125
1688632991.5450199,72,0.59375
1688633091.8821712,80,0.5625
1688633187.652637,88,0.59375
1688633284.1162457,96,0.609375
1688633377.8179092,104,0.59375
1688633470.760717,112,0.578125
1688633565.815055,120,0.59375
1688633663.9693284,128,0.578125
1688633767.8163874,136,0.5625
1688633865.7155023,144,0.578125
1688633962.0845327,152,0.578125
1688634054.5734513,160,0.578125
1688634148.7914627,168,0.609375
1688634246.699021,176,0.59375
1688634338.5651937,184,0.609375
1688634435.6466417,192,0.59375
1688634539.084569,200,0.609375
1688634635.613335,208,0.578125
1688634733.369598,216,0.578125
1688634831.218136,224,0.59375
1688634930.8935342,232,0.5625
1688635027.788081,240,0.578125
1688635128.621468,248,0.59375
1688635227.4985027,256,0.578125
1688635334.2035916,264,0.609375
1688635434.9375086,272,0.578125
1688635539.5191238,280,0.59375
1688635646.2922888,288,0.578125
1688635750.473206,296,0.59375
1688635851.3078873,304,0.578125
1688635950.3467646,312,0.609375
1688636052.6975493,320,0.609375
1688636152.5680711,328,0.59375
1688636258.6749837,336,0.5625
1688636365.7119942,344,0.59375
1688636471.3403075,352,0.609375
1688636569.5416534,360,0.609375
1688636669.106089,368,0.609375
1688636767.9432647,376,0.59375
1688636871.069745,384,0.609375
1688636972.480038,392,0.609375
1688637072.815549,400,0.578125
1688637177.5371342,408,0.578125
1688637273.4738219,416,0.578125
1688637378.9637306,424,0.578125
1688637479.5114439,432,0.609375
1688637581.4734657,440,0.578125
1688637682.504365,448,0.609375
1688637779.688823,456,0.59375
1688637881.9559608,464,0.640625
1688637985.7396371,472,0.609375
1688638080.9717653,480,0.546875
1688638184.2069445,488,0.59375
1688638285.971592,496,0.546875
1688638381.7517667,504,0.609375
1688638483.5395,512,0.578125
1688638582.0414133,520,0.578125
1688638678.9564364,528,0.578125
1688638775.2240732,536,0.609375
1688638876.1500316,544,0.59375
1688638977.0527952,552,0.578125
1688639078.4057448,560,0.59375
1688639177.756543,568,0.59375
1688639275.5517886,576,0.59375
1688639377.2041044,584,0.5625
1688639473.0670743,592,0.578125
1688639573.1438658,600,0.578125
1688639673.2220545,608,0.59375
1688639775.4175696,616,0.578125
1688639874.276321,624,0.625
1688639970.6196015,632,0.578125
1688640067.5827582,640,0.59375
1688640165.9964402,648,0.59375
1688640264.8511832,656,0.59375
1688640366.6579187,664,0.5625
1688640463.313674,672,0.640625
1688640565.2513146,680,0.578125
1688640663.2015336,688,0.5625
1688640763.2229722,696,0.59375
1688640864.0177119,704,0.578125
1688640964.0450997,712,0.609375
1688641063.2817278,720,0.578125
1688641160.6208968,728,0.59375
1688641261.7323081,736,0.578125
1688641358.6249352,744,0.546875
1688641462.7665923,752,0.578125
1688641559.8061862,760,0.578125
1688641656.1013105,768,0.625
1688641753.027387,776,0.5625
1688641854.5614185,784,0.5625
1688641952.3152852,792,0.59375
1688642047.005056,800,0.609375
