Wall time,Step,Value
1688725588.6076624,0,0.625
1688725782.07734,8,0.5625
1688725953.7152932,16,0.578125
1688726130.6039455,24,0.5625
1688726309.7804904,32,0.625
1688726503.356802,40,0.59375
1688726697.1464527,48,0.5625
1688726877.1673288,56,0.609375
1688727046.9980538,64,0.59375
1688727209.8923225,72,0.59375
1688727396.2062109,80,0.609375
1688727580.94895,88,0.578125
1688727765.3634148,96,0.59375
1688727939.2199035,104,0.578125
1688728112.2862554,112,0.609375
1688728287.6400037,120,0.578125
1688728472.028732,128,0.59375
1688728651.9166381,136,0.59375
1688728828.988151,144,0.59375
1688729006.923774,152,0.578125
1688729177.6565135,160,0.609375
1688729344.9576597,168,0.59375
1688729519.7329187,176,0.546875
1688729685.873757,184,0.609375
1688729860.534579,192,0.5625
1688730047.258711,200,0.578125
1688730216.8523242,208,0.59375
1688730390.137729,216,0.609375
1688730559.973425,224,0.609375
1688730732.1488013,232,0.5625
1688730901.9565666,240,0.578125
1688731078.1578627,248,0.59375
1688731251.5027466,256,0.578125
1688731431.2468157,264,0.59375
1688731600.6822755,272,0.640625
1688731776.9058795,280,0.578125
1688731946.2015564,288,0.59375
1688732108.0391574,296,0.59375
1688732273.9364276,304,0.609375
1688732434.881359,312,0.59375
1688732598.9971926,320,0.609375
1688732762.8775096,328,0.578125
1688732939.2616487,336,0.578125
1688733108.866286,344,0.609375
1688733283.566365,352,0.578125
1688733450.192678,360,0.578125
1688733611.9579391,368,0.546875
1688733772.481269,376,0.59375
1688733941.3733456,384,0.59375
1688734099.133035,392,0.59375
1688734249.5070102,400,0.609375
1688734409.8048153,408,0.5625
1688734565.8010623,416,0.59375
1688734736.9155612,424,0.609375
1688734897.4244566,432,0.59375
1688735059.4832222,440,0.578125
1688735221.5059338,448,0.578125
1688735383.0783908,456,0.609375
1688735549.7150047,464,0.578125
1688735719.4412687,472,0.578125
1688735867.7405386,480,0.609375
1688736037.402799,488,0.5625
1688736202.8329964,496,0.578125
1688736361.188257,504,0.578125
1688736526.2382638,512,0.59375
1688736683.6419356,520,0.609375
1688736845.2530334,528,0.578125
1688737003.0466897,536,0.59375
1688737156.2469165,544,0.59375
1688737311.713443,552,0.59375
1688737472.356714,560,0.609375
1688737620.7401242,568,0.59375
1688737774.4430165,576,0.578125
1688737934.8507564,584,0.578125
1688738077.5807452,592,0.59375
1688738235.7657912,600,0.59375
1688738386.9032757,608,0.578125
1688738550.9658163,616,0.578125
1688738701.5331132,624,0.578125
1688738853.8941503,632,0.609375
1688739008.760146,640,0.609375
1688739161.157321,648,0.578125
1688739310.3929183,656,0.578125
1688739466.6847336,664,0.59375
1688739607.3276553,672,0.609375
1688739766.352524,680,0.578125
1688739920.978715,688,0.59375
1688740071.3431225,696,0.5625
1688740226.6992326,704,0.609375
1688740371.677976,712,0.578125
1688740518.117256,720,0.625
1688740659.7669404,728,0.59375
1688740807.7759566,736,0.59375
1688740946.1574323,744,0.5625
1688741089.7419958,752,0.578125
1688741218.336452,760,0.609375
1688741346.8736947,768,0.546875
1688741476.9958348,776,0.578125
1688741606.9923983,784,0.5625
1688741726.5475802,792,0.578125
1688741845.4737697,800,0.578125
