Wall time,Step,Value
1688601302.3335443,0,0.703125
1688601449.6512825,8,0.6875
1688601570.0177867,16,0.671875
1688601707.9526775,24,0.6875
1688601855.020151,32,0.6875
1688602000.4509177,40,0.65625
1688602137.9366663,48,0.671875
1688602274.5911336,56,0.65625
1688602408.1588488,64,0.65625
1688602542.5223184,72,0.671875
1688602682.8567812,80,0.6875
1688602811.78182,88,0.625
1688602945.958294,96,0.65625
1688603081.5446017,104,0.671875
1688603217.1867497,112,0.625
1688603347.393093,120,0.625
1688603480.4623559,128,0.6875
1688603608.7471836,136,0.65625
1688603742.6513896,144,0.640625
1688603880.3562794,152,0.65625
1688604014.252402,160,0.640625
1688604143.7447345,168,0.6875
1688604282.5814679,176,0.65625
1688604415.1161442,184,0.65625
1688604553.7192135,192,0.625
1688604702.0654957,200,0.65625
1688604826.9568691,208,0.65625
1688604973.321228,216,0.640625
1688605114.2866821,224,0.65625
1688605246.3009195,232,0.640625
1688605380.942672,240,0.65625
1688605523.9065013,248,0.65625
1688605680.994814,256,0.6875
1688605827.6120396,264,0.625
1688605971.0835276,272,0.625
1688606102.0797756,280,0.65625
1688606240.821226,288,0.609375
1688606373.2405832,296,0.65625
1688606496.4170864,304,0.65625
1688606632.0865061,312,0.671875
1688606763.4964457,320,0.65625
1688606898.6581976,328,0.6875
1688607041.9081461,336,0.65625
1688607185.4883692,344,0.671875
1688607320.181772,352,0.625
1688607452.1048331,360,0.640625
1688607594.4192767,368,0.6875
1688607727.2926326,376,0.6875
1688607858.2522776,384,0.640625
1688608005.2769034,392,0.65625
1688608135.3410213,400,0.65625
1688608273.7618985,408,0.640625
1688608402.0873954,416,0.625
1688608541.0380418,424,0.65625
1688608668.4915745,432,0.640625
1688608812.3692336,440,0.640625
1688608961.776254,448,0.640625
1688609091.6681094,456,0.65625
1688609217.7820833,464,0.578125
1688609348.1985033,472,0.625
1688609494.4312804,480,0.671875
1688609650.4533658,488,0.65625
1688609795.399065,496,0.6875
1688609939.3921163,504,0.65625
1688610072.2688901,512,0.6875
1688610198.1589005,520,0.65625
1688610342.90624,528,0.65625
1688610485.5362313,536,0.65625
1688610611.341186,544,0.65625
1688610733.7998314,552,0.671875
1688610868.2187393,560,0.65625
1688610989.3649065,568,0.65625
1688611126.838584,576,0.671875
1688611253.6823678,584,0.59375
1688611382.3594713,592,0.671875
1688611521.53569,600,0.625
1688611650.214568,608,0.640625
1688611791.4586072,616,0.6875
1688611928.5759208,624,0.640625
1688612064.4401753,632,0.640625
1688612199.730574,640,0.671875
1688612343.8565845,648,0.65625
1688612469.558913,656,0.640625
1688612599.4222262,664,0.625
1688612735.8205802,672,0.578125
1688612877.0361047,680,0.625
1688613014.0922372,688,0.671875
1688613151.5253115,696,0.65625
1688613288.2587478,704,0.65625
1688613427.8511953,712,0.65625
1688613564.9808025,720,0.671875
1688613700.6779563,728,0.625
1688613840.0307472,736,0.640625
1688613976.9545972,744,0.6875
1688614118.2177434,752,0.640625
1688614258.03644,760,0.625
1688614397.5601547,768,0.625
1688614542.397944,776,0.640625
1688614678.3462157,784,0.65625
1688614814.3157938,792,0.625
1688614954.9385717,800,0.65625
