Wall time,Step,Value
1688601293.0404863,0,0.703125
1688601429.0719028,8,0.6875
1688601548.0793345,16,0.671875
1688601671.2402976,24,0.703125
1688601801.522999,32,0.671875
1688601925.949224,40,0.703125
1688602062.1933212,48,0.71875
1688602184.517283,56,0.6875
1688602312.183843,64,0.671875
1688602438.453197,72,0.703125
1688602566.7457476,80,0.6875
1688602692.4580817,88,0.6875
1688602818.340967,96,0.6875
1688602943.0274336,104,0.671875
1688603071.0794673,112,0.71875
1688603195.407242,120,0.703125
1688603320.8877401,128,0.703125
1688603446.2351608,136,0.6875
1688603570.958526,144,0.6875
1688603700.3379989,152,0.71875
1688603821.7132554,160,0.703125
1688603950.6870475,168,0.71875
1688604080.4005144,176,0.6875
1688604210.3729172,184,0.71875
1688604335.0351608,192,0.703125
1688604471.625582,200,0.71875
1688604594.5855114,208,0.671875
1688604717.6785662,216,0.671875
1688604843.7960875,224,0.6875
1688604971.1744153,232,0.6875
1688605094.7938733,240,0.71875
1688605222.9721107,248,0.703125
1688605352.4118738,256,0.671875
1688605478.331268,264,0.6875
1688605604.391783,272,0.703125
1688605727.3971725,280,0.71875
1688605854.2200937,288,0.65625
1688605980.644876,296,0.703125
1688606099.294265,304,0.6875
1688606227.3409777,312,0.703125
1688606348.5017502,320,0.6875
1688606469.9459357,328,0.671875
1688606591.0741813,336,0.6875
1688606714.8007207,344,0.671875
1688606839.2308478,352,0.6875
1688606955.8914163,360,0.703125
1688607076.054893,368,0.6875
1688607198.313633,376,0.703125
1688607320.95959,384,0.703125
1688607442.1728022,392,0.71875
1688607568.0699441,400,0.703125
1688607685.8618212,408,0.703125
1688607813.5658972,416,0.6875
1688607934.8948169,424,0.671875
1688608058.043396,432,0.6875
1688608180.3758008,440,0.671875
1688608307.1321952,448,0.671875
1688608422.773077,456,0.6875
1688608536.6757147,464,0.6875
1688608658.815334,472,0.65625
1688608778.219955,480,0.671875
1688608900.494678,488,0.703125
1688609025.2634025,496,0.671875
1688609152.3037138,504,0.71875
1688609275.688065,512,0.71875
1688609399.3031738,520,0.6875
1688609521.2807655,528,0.671875
1688609645.1950917,536,0.671875
1688609762.6740773,544,0.640625
1688609876.4059434,552,0.6875
1688609998.8757477,560,0.6875
1688610111.6746926,568,0.6875
1688610228.7526464,576,0.6875
1688610344.86182,584,0.65625
1688610457.4716096,592,0.71875
1688610573.7461913,600,0.703125
1688610687.0252235,608,0.65625
1688610805.5298615,616,0.6875
1688610920.4732726,624,0.671875
1688611035.743417,632,0.734375
1688611162.0685852,640,0.6875
1688611280.3843064,648,0.6875
1688611390.0228662,656,0.671875
1688611498.4166293,664,0.65625
1688611613.3825142,672,0.671875
1688611726.6433358,680,0.671875
1688611842.091655,688,0.671875
1688611957.0341394,696,0.6875
1688612069.2423542,704,0.6875
1688612179.9403806,712,0.65625
1688612287.237941,720,0.671875
1688612401.6584182,728,0.6875
1688612511.4148376,736,0.6875
1688612619.2259738,744,0.6875
1688612729.0510652,752,0.671875
1688612834.6428974,760,0.703125
1688612939.4057148,768,0.6875
1688613043.636728,776,0.6875
1688613142.5137134,784,0.671875
1688613241.5412536,792,0.6875
1688613340.7581584,800,0.6875
