Wall time,Step,Value
1688718762.9560177,0,0.625
1688718900.5560148,8,0.640625
1688719031.522326,16,0.625
1688719157.4764948,24,0.578125
1688719284.18522,32,0.609375
1688719415.8198478,40,0.578125
1688719542.154342,48,0.578125
1688719674.9128761,56,0.59375
1688719803.547121,64,0.625
1688719928.835328,72,0.59375
1688720057.4055185,80,0.5625
1688720184.7361424,88,0.59375
1688720311.55652,96,0.625
1688720441.6076376,104,0.59375
1688720563.9718754,112,0.578125
1688720693.4190142,120,0.59375
1688720821.9130337,128,0.59375
1688720945.878782,136,0.578125
1688721074.068472,144,0.609375
1688721197.7853038,152,0.59375
1688721326.6670094,160,0.5625
1688721448.3421955,168,0.578125
1688721572.1783664,176,0.5625
1688721697.866144,184,0.546875
1688721830.2042215,192,0.53125
1688721958.941994,200,0.59375
1688722084.028815,208,0.546875
1688722206.12453,216,0.5625
1688722331.9570956,224,0.546875
1688722461.4178183,232,0.609375
1688722584.8237932,240,0.546875
1688722709.7477593,248,0.546875
1688722840.98141,256,0.59375
1688722969.7045288,264,0.53125
1688723097.7352273,272,0.5625
1688723229.2514043,280,0.578125
1688723354.15628,288,0.609375
1688723478.5806284,296,0.578125
1688723603.3398614,304,0.609375
1688723730.3363485,312,0.546875
1688723851.8358319,320,0.5625
1688723981.2926774,328,0.53125
1688724110.4254415,336,0.5625
1688724238.330996,344,0.5625
1688724362.1390915,352,0.609375
1688724484.6681983,360,0.5625
1688724614.3250954,368,0.546875
1688724740.241129,376,0.5625
1688724870.7777112,384,0.625
1688724992.1262445,392,0.625
1688725117.5846062,400,0.5625
1688725245.1482058,408,0.578125
1688725373.1159825,416,0.59375
1688725497.7943556,424,0.5625
1688725622.470473,432,0.546875
1688725755.146234,440,0.578125
1688725883.9857697,448,0.5625
1688726013.3988006,456,0.578125
1688726141.832535,464,0.53125
1688726272.8469176,472,0.59375
1688726405.9380312,480,0.578125
1688726539.28458,488,0.609375
1688726667.0449734,496,0.59375
1688726799.4911616,504,0.59375
1688726934.2992501,512,0.5625
1688727061.9306133,520,0.59375
1688727193.7911685,528,0.578125
1688727325.9060082,536,0.546875
1688727459.9174566,544,0.578125
1688727588.2328756,552,0.609375
1688727721.9329505,560,0.578125
1688727854.3169427,568,0.578125
1688727977.9214253,576,0.5625
1688728112.547679,584,0.578125
1688728242.8720272,592,0.5625
1688728374.4745374,600,0.640625
1688728502.8346686,608,0.640625
1688728633.9877849,616,0.5625
1688728767.1387424,624,0.578125
1688728895.881353,632,0.53125
1688729025.7165442,640,0.609375
1688729151.984754,648,0.578125
1688729282.6314738,656,0.5625
1688729413.4543562,664,0.546875
1688729538.5335386,672,0.546875
1688729664.9959152,680,0.546875
1688729791.4653773,688,0.53125
1688729916.6382473,696,0.59375
1688730043.9458833,704,0.59375
1688730173.8776374,712,0.578125
1688730309.7582073,720,0.546875
1688730437.1384635,728,0.59375
1688730561.8254173,736,0.578125
1688730692.4644651,744,0.625
1688730825.70881,752,0.578125
1688730957.1875825,760,0.5625
1688731084.543489,768,0.609375
1688731215.690864,776,0.546875
1688731340.78788,784,0.625
1688731476.3796592,792,0.578125
1688731610.491286,800,0.53125
