Wall time,Step,Value
1688718764.8595002,0,0.625
1688718932.851292,8,0.609375
1688719085.5590382,16,0.609375
1688719238.4119637,24,0.546875
1688719393.7541604,32,0.609375
1688719552.6046088,40,0.609375
1688719701.2366917,48,0.59375
1688719862.9344044,56,0.609375
1688720019.296782,64,0.59375
1688720171.566249,72,0.609375
1688720328.3104548,80,0.59375
1688720486.9538565,88,0.5625
1688720641.587458,96,0.578125
1688720805.320232,104,0.5625
1688720956.447742,112,0.59375
1688721113.2469761,120,0.609375
1688721272.4873393,128,0.578125
1688721425.8614137,136,0.578125
1688721583.5520425,144,0.625
1688721736.1319973,152,0.59375
1688721894.0264652,160,0.609375
1688722045.8151124,168,0.640625
1688722205.362759,176,0.59375
1688722366.1968691,184,0.59375
1688722530.814881,192,0.578125
1688722689.5767646,200,0.640625
1688722845.85618,208,0.5625
1688722994.1844523,216,0.59375
1688723151.4770956,224,0.609375
1688723311.6254833,232,0.53125
1688723466.4723082,240,0.609375
1688723619.3022604,248,0.609375
1688723778.5548441,256,0.625
1688723935.873483,264,0.59375
1688724092.0704777,272,0.59375
1688724250.7851002,280,0.625
1688724400.356395,288,0.609375
1688724555.894714,296,0.609375
1688724711.4268463,304,0.59375
1688724863.9272358,312,0.5625
1688725010.0422668,320,0.59375
1688725169.8361013,328,0.5625
1688725328.5606828,336,0.5625
1688725484.268346,344,0.609375
1688725639.5829215,352,0.625
1688725791.3944845,360,0.578125
1688725952.220635,368,0.59375
1688726110.3075738,376,0.609375
1688726271.2795727,384,0.546875
1688726421.1132367,392,0.625
1688726578.157835,400,0.578125
1688726739.124365,408,0.578125
1688726902.267699,416,0.609375
1688727059.271848,424,0.609375
1688727211.2239826,432,0.625
1688727372.9134915,440,0.578125
1688727528.0526202,448,0.59375
1688727687.0236375,456,0.625
1688727841.9050245,464,0.5625
1688727997.541928,472,0.578125
1688728157.4445972,480,0.59375
1688728319.7060976,488,0.5625
1688728477.7780693,496,0.578125
1688728638.5521755,504,0.578125
1688728801.6178453,512,0.609375
1688728953.7967248,520,0.609375
1688729115.7736373,528,0.546875
1688729278.1158755,536,0.59375
1688729443.8180616,544,0.609375
1688729597.136636,552,0.5625
1688729761.6018271,560,0.59375
1688729921.1762834,568,0.625
1688730070.7357886,576,0.5625
1688730235.178629,584,0.578125
1688730395.8395722,592,0.546875
1688730556.7478695,600,0.578125
1688730711.0475428,608,0.5625
1688730872.4358919,616,0.578125
1688731034.3023639,624,0.609375
1688731191.075162,632,0.59375
1688731351.7201707,640,0.578125
1688731509.8125389,648,0.578125
1688731666.7138224,656,0.59375
1688731827.9645228,664,0.609375
1688731979.176464,672,0.625
1688732130.5741453,680,0.609375
1688732283.6253126,688,0.625
1688732438.767483,696,0.609375
1688732596.2239065,704,0.625
1688732753.438921,712,0.609375
1688732919.4713273,720,0.578125
1688733073.4012647,728,0.5625
1688733229.1025074,736,0.578125
1688733386.6506608,744,0.609375
1688733548.29399,752,0.578125
1688733705.815027,760,0.59375
1688733862.1714194,768,0.5625
1688734020.56153,776,0.59375
1688734171.802183,784,0.578125
1688734334.8589847,792,0.578125
1688734500.323169,800,0.640625
