Wall time,Step,Value
1688730093.597395,0,0.625
1688730186.6827767,8,0.609375
1688730273.1211333,16,0.609375
1688730358.700157,24,0.578125
1688730442.4667203,32,0.578125
1688730528.8740945,40,0.59375
1688730612.4412513,48,0.59375
1688730701.03181,56,0.609375
1688730785.7268066,64,0.640625
1688730876.6200507,72,0.625
1688730960.045756,80,0.640625
1688731044.1247141,88,0.625
1688731129.4560769,96,0.609375
1688731216.533319,104,0.59375
1688731299.568643,112,0.578125
1688731383.1445756,120,0.609375
1688731469.0639768,128,0.59375
1688731553.4377484,136,0.59375
1688731638.9705303,144,0.59375
1688731721.1038487,152,0.59375
1688731805.631485,160,0.59375
1688731889.1750615,168,0.671875
1688731978.7479415,176,0.625
1688732063.0425568,184,0.609375
1688732151.3444676,192,0.640625
1688732237.297965,200,0.59375
1688732322.3316789,208,0.640625
1688732405.6653192,216,0.59375
1688732491.6398096,224,0.625
1688732577.5201,232,0.59375
1688732663.05724,240,0.609375
1688732748.185009,248,0.59375
1688732835.535525,256,0.625
1688732922.4144955,264,0.578125
1688733009.3137307,272,0.578125
1688733095.4209452,280,0.609375
1688733179.6929162,288,0.609375
1688733266.0279112,296,0.578125
1688733350.911263,304,0.609375
1688733437.3424969,312,0.609375
1688733519.1397994,320,0.609375
1688733606.527223,328,0.625
1688733691.3579898,336,0.640625
1688733776.5955596,344,0.609375
1688733860.3168297,352,0.59375
1688733943.3537588,360,0.578125
1688734032.3242426,368,0.609375
1688734120.0322704,376,0.609375
1688734210.1666327,384,0.59375
1688734295.61368,392,0.609375
1688734380.2723987,400,0.609375
1688734467.0575216,408,0.5625
1688734554.0602121,416,0.625
1688734640.4955406,424,0.609375
1688734723.0026567,432,0.609375
1688734808.5187,440,0.59375
1688734892.802566,448,0.625
1688734977.6251304,456,0.5625
1688735062.9721014,464,0.546875
1688735146.9610875,472,0.59375
1688735233.4934993,480,0.59375
1688735320.353199,488,0.578125
1688735404.8696966,496,0.609375
1688735489.5904408,504,0.609375
1688735575.8031716,512,0.578125
1688735660.7767508,520,0.640625
1688735747.3320565,528,0.609375
1688735834.813351,536,0.609375
1688735921.8520968,544,0.5625
1688736006.2322307,552,0.59375
1688736092.956149,560,0.59375
1688736181.3624146,568,0.609375
1688736266.8911638,576,0.625
1688736401.029157,584,0.59375
1688736563.4552863,592,0.625
1688736652.9983094,600,0.59375
1688736737.8259397,608,0.59375
1688736825.0943859,616,0.640625
1688736913.1981091,624,0.609375
1688736998.7216253,632,0.578125
1688737088.1866393,640,0.625
1688737173.372874,648,0.59375
1688737258.623911,656,0.640625
1688737343.843086,664,0.640625
1688737428.6270576,672,0.59375
1688737513.1600993,680,0.578125
1688737597.7265487,688,0.609375
1688737682.9808831,696,0.609375
1688737769.834332,704,0.671875
1688737854.659854,712,0.5625
1688737942.4568589,720,0.59375
1688738026.402998,728,0.5625
1688738110.1820674,736,0.59375
1688738194.925587,744,0.609375
1688738281.8560367,752,0.625
1688738365.238841,760,0.609375
1688738448.40077,768,0.59375
1688738533.5743418,776,0.59375
1688738615.7773898,784,0.609375
1688738702.5970964,792,0.625
1688738790.4765294,800,0.59375
