Wall time,Step,Value
1688644779.26427,0,0.625
1688644941.7619154,8,0.609375
1688645092.4320414,16,0.640625
1688645250.241438,24,0.609375
1688645408.2425635,32,0.65625
1688645573.3173957,40,0.59375
1688645720.6635976,48,0.609375
1688645880.664679,56,0.625
1688646032.3942528,64,0.6875
1688646189.320507,72,0.640625
1688646340.176281,80,0.609375
1688646492.4041893,88,0.671875
1688646645.4253917,96,0.640625
1688646808.2146335,104,0.609375
1688646955.4154072,112,0.609375
1688647110.295134,120,0.59375
1688647266.1934245,128,0.640625
1688647420.257066,136,0.609375
1688647575.5046887,144,0.625
1688647726.8915503,152,0.671875
1688647885.0562084,160,0.59375
1688648036.142353,168,0.59375
1688648187.418948,176,0.609375
1688648341.624403,184,0.625
1688648502.774527,192,0.609375
1688648663.117651,200,0.640625
1688648818.4001741,208,0.578125
1688648966.8377097,216,0.609375
1688649123.8305027,224,0.578125
1688649284.5945008,232,0.609375
1688649440.462752,240,0.640625
1688649595.899772,248,0.609375
1688649758.2432258,256,0.625
1688649919.3595617,264,0.625
1688650075.2658346,272,0.640625
1688650238.2622137,280,0.625
1688650389.918015,288,0.640625
1688650550.447046,296,0.625
1688650707.8327737,304,0.625
1688650861.9157913,312,0.640625
1688651011.8602877,320,0.625
1688651173.4258509,328,0.640625
1688651339.0542088,336,0.59375
1688651498.730001,344,0.625
1688651656.9362435,352,0.625
1688651810.8024063,360,0.59375
1688651972.7654297,368,0.59375
1688652128.4743073,376,0.640625
1688652290.812849,384,0.640625
1688652439.4224927,392,0.625
1688652594.491584,400,0.625
1688652751.0617871,408,0.625
1688652906.9150536,416,0.640625
1688653062.9568691,424,0.5625
1688653210.6414745,432,0.59375
1688653367.7316663,440,0.59375
1688653523.6132007,448,0.609375
1688653682.5966003,456,0.65625
1688653834.83939,464,0.59375
1688653988.2836442,472,0.640625
1688654146.9997404,480,0.59375
1688654307.5409918,488,0.640625
1688654461.624969,496,0.640625
1688654619.7930756,504,0.625
1688654777.9573274,512,0.609375
1688654929.50613,520,0.640625
1688655086.587006,528,0.609375
1688655244.3652117,536,0.609375
1688655404.8670485,544,0.640625
1688655555.4268458,552,0.609375
1688655714.1738038,560,0.625
1688655872.5322795,568,0.59375
1688656019.0841076,576,0.59375
1688656177.5334916,584,0.640625
1688656333.7853374,592,0.609375
1688656489.444223,600,0.5625
1688656636.6644497,608,0.625
1688656790.1364305,616,0.609375
1688656943.0348148,624,0.65625
1688657092.0923064,632,0.640625
1688657248.0513487,640,0.609375
1688657398.4769294,648,0.609375
1688657549.5333714,656,0.625
1688657703.0539231,664,0.59375
1688657850.0045474,672,0.625
1688657998.8476238,680,0.640625
1688658146.1946144,688,0.609375
1688658296.7156126,696,0.59375
1688658444.1650114,704,0.625
1688658592.5494983,712,0.609375
1688658747.73665,720,0.59375
1688658890.8428547,728,0.609375
1688659033.3780553,736,0.578125
1688659183.0784218,744,0.625
1688659330.0673592,752,0.578125
1688659476.1013484,760,0.609375
1688659617.5424395,768,0.625
1688659764.2329555,776,0.625
1688659905.353077,784,0.625
1688660056.0511165,792,0.625
1688660206.4518523,800,0.65625
