Wall time,Step,Value
1695582851.08542,0,0.6640625
1695583016.270128,8,0.68359375
1695583174.8341591,16,0.67578125
1695583333.0507252,24,0.6875
1695583582.9916663,32,0.6796875
1695583726.494248,40,0.67578125
1695583868.1555486,48,0.6796875
1695584009.6612244,56,0.6640625
1695584238.4788418,64,0.6796875
1695584375.5101154,72,0.671875
1695584507.9724739,80,0.67578125
1695584639.432124,88,0.671875
1695584863.841627,96,0.671875
1695584998.3700373,104,0.6640625
1695585126.0237572,112,0.66796875
1695585252.2044616,120,0.671875
1695585465.6844094,128,0.67578125
1695585590.5404105,136,0.66796875
1695585713.5461614,144,0.66796875
1695585840.6695893,152,0.6796875
1695586051.2096562,160,0.671875
1695586173.3934073,168,0.68359375
1695586294.929859,176,0.67578125
1695586419.2096097,184,0.65625
1695586627.609374,192,0.66015625
1695586751.7027676,200,0.6484375
1695586875.7311308,208,0.65234375
1695586999.438863,216,0.6484375
1695587204.8854873,224,0.65625
1695587326.8752205,232,0.65234375
1695587445.6331706,240,0.6484375
1695587564.7173142,248,0.6640625
1695587766.5965712,256,0.66015625
1695587886.5582201,264,0.671875
1695588006.1145139,272,0.66796875
1695588124.6048572,280,0.6640625
1695588325.828141,288,0.6640625
1695588444.6895897,296,0.66796875
1695588563.8424397,304,0.671875
1695588682.4150043,312,0.671875
1695588882.8597221,320,0.671875
1695589003.503299,328,0.6640625
1695589120.5075812,336,0.6640625
1695589237.9948113,344,0.66796875
1695589435.5779715,352,0.66015625
1695589555.1464238,360,0.65625
1695589669.079017,368,0.65625
1695589788.327772,376,0.66015625
1695589987.5202577,384,0.671875
1695590108.093734,392,0.671875
1695590223.185005,400,0.6796875
1695590340.3449183,408,0.671875
1695590537.8937833,416,0.67578125
1695590654.5184672,424,0.6875
1695590769.0446835,432,0.68359375
1695590883.4187388,440,0.68359375
1695591082.2938519,448,0.68359375
1695591200.2347162,456,0.6875
1695591313.3962379,464,0.69140625
1695591430.6591322,472,0.69140625
1695591625.5190656,480,0.69140625
1695591740.7754269,488,0.6953125
1695591858.646069,496,0.6953125
1695591975.9846516,504,0.69140625
1695592172.6641557,512,0.6875
1695592289.9045296,520,0.6875
1695592404.2135427,528,0.68359375
1695592522.2468078,536,0.6875
1695592714.022193,544,0.6875
