Wall time,Step,Value
1695009790.7190242,0,0.67578125
1695009991.9084628,8,0.6484375
1695010182.5396428,16,0.65625
1695010370.6540442,24,0.63671875
1695010690.2825758,32,0.640625
1695010877.2965236,40,0.65625
1695011056.7548509,48,0.66015625
1695011238.2267485,56,0.6640625
1695011536.047299,64,0.66796875
1695011719.9126697,72,0.66796875
1695011894.9868639,80,0.671875
1695012067.9528153,88,0.66796875
1695012364.633279,96,0.65234375
1695012542.979745,104,0.65625
1695012717.939505,112,0.65625
1695012894.3616087,120,0.65234375
1695013189.4603796,128,0.6640625
1695013362.8571825,136,0.65625
1695013536.7712724,144,0.640625
1695013709.1069613,152,0.65625
1695014002.9144402,160,0.6484375
1695014172.2525382,168,0.65234375
1695014346.4398937,176,0.65625
1695014516.7852385,184,0.65234375
1695014806.8186347,192,0.64453125
1695014979.3889656,200,0.6640625
1695015156.3027964,208,0.66015625
1695015327.783779,216,0.671875
1695015615.58466,224,0.66796875
1695015789.1965673,232,0.6640625
1695015964.2614622,240,0.65625
1695016136.805548,248,0.66015625
1695016429.0145535,256,0.65625
1695016605.7955658,264,0.65625
1695016773.9484982,272,0.65625
1695016944.0474958,280,0.6640625
1695017232.4870253,288,0.6640625
1695017404.284719,296,0.65625
1695017569.3893116,304,0.66015625
1695017744.4745712,312,0.65625
1695018040.0864885,320,0.6640625
1695018210.9861393,328,0.66796875
1695018380.5875268,336,0.65625
1695018551.1976962,344,0.65625
1695018844.887756,352,0.64453125
1695019010.6038625,360,0.640625
1695019181.1243556,368,0.63671875
1695019356.690347,376,0.64453125
1695019646.605153,384,0.63671875
1695019814.1411984,392,0.63671875
1695019979.833986,400,0.64453125
1695020144.9422054,408,0.640625
1695020436.4589632,416,0.6484375
1695020609.900783,424,0.65234375
1695020781.137907,432,0.65625
1695020955.2999866,440,0.65625
1695021242.8483546,448,0.6484375
1695021411.0940268,456,0.63671875
1695021586.7354133,464,0.640625
1695021759.9116623,472,0.640625
1695022046.4636292,480,0.64453125
1695022217.9064987,488,0.64453125
1695022385.819786,496,0.6484375
1695022552.4158883,504,0.65625
1695022840.295031,512,0.66015625
1695023012.847529,520,0.65625
1695023184.8011775,528,0.65625
1695023360.2929559,536,0.65234375
1695023647.5481877,544,0.6484375
1695023824.889968,552,0.65625
1695023994.7563941,560,0.6640625
1695024164.0103264,568,0.6640625
1695024450.360825,576,0.66015625
1695024622.4798045,584,0.6484375
1695024792.0930097,592,0.6484375
1695024962.6380093,600,0.64453125
1695025249.7744796,608,0.640625
1695025419.624926,616,0.63671875
1695025595.2546637,624,0.64453125
1695025762.5975907,632,0.6328125
1695026047.3591247,640,0.6328125
1695026213.6015959,648,0.63671875
1695026383.6906374,656,0.63671875
1695026559.310728,664,0.640625
1695026843.30668,672,0.64453125
1695027020.5386121,680,0.63671875
1695027187.5397122,688,0.640625
1695027359.1886876,696,0.62890625
1695027641.1306777,704,0.62890625
1695027816.6745648,712,0.625
1695027982.9809806,720,0.625
1695028150.5349677,728,0.625
1695028436.4562583,736,0.62890625
1695028607.5974922,744,0.63671875
1695028783.1995363,752,0.6328125
1695028955.7569435,760,0.6484375
1695029242.1630023,768,0.63671875
1695029413.481461,776,0.625
1695029582.4586763,784,0.62890625
1695029757.8379195,792,0.6328125
1695030050.3360376,800,0.63671875
1695030227.126434,808,0.6328125
1695030398.8063126,816,0.6328125
1695030570.8980205,824,0.6328125
1695030856.9118166,832,0.6328125
1695031030.6473675,840,0.63671875
1695031200.423395,848,0.6328125
1695031363.9480267,856,0.6328125
1695031659.9380648,864,0.6328125
1695031833.8104923,872,0.62890625
1695032004.8126945,880,0.62890625
1695032180.1392453,888,0.625
1695032469.44933,896,0.625
1695032638.6608803,904,0.62890625
1695032807.3798106,912,0.63671875
1695032978.778074,920,0.640625
1695033269.8572798,928,0.6328125
1695033438.3571553,936,0.6328125
1695033609.152924,944,0.63671875
1695033774.4561138,952,0.63671875
1695034063.8432248,960,0.6328125
1695034235.2774274,968,0.63671875
1695034410.8617363,976,0.640625
1695034583.5824893,984,0.63671875
1695034876.0852752,992,0.64453125
1695035051.8442066,1000,0.64453125
1695035225.5410578,1008,0.65234375
1695035391.2851903,1016,0.6484375
1695035676.8375578,1024,0.65234375
1695035848.3875406,1032,0.640625
1695036019.625406,1040,0.640625
1695036186.5858452,1048,0.640625
1695036471.6897442,1056,0.640625
1695036641.174686,1064,0.63671875
1695036809.7047882,1072,0.640625
1695036977.6064835,1080,0.6484375
1695037266.1694884,1088,0.6484375
1695037437.878683,1096,0.6484375
1695037615.4023619,1104,0.65234375
1695037795.4356868,1112,0.6484375
1695038085.7606654,1120,0.6484375
1695038261.7031777,1128,0.64453125
1695038435.9581726,1136,0.63671875
1695038603.2382505,1144,0.640625
1695038885.8920734,1152,0.6328125
1695039056.5966733,1160,0.6328125
1695039228.7918363,1168,0.63671875
1695039398.4625487,1176,0.63671875
1695039690.1472077,1184,0.64453125
1695039869.9387226,1192,0.64453125
1695040035.159818,1200,0.640625
1695040203.9958622,1208,0.64453125
1695040492.307782,1216,0.63671875
1695040666.4946578,1224,0.64453125
1695040836.6316037,1232,0.64453125
1695041010.5443583,1240,0.640625
1695041294.130587,1248,0.640625
1695041468.3160179,1256,0.65234375
1695041636.920914,1264,0.6484375
1695041809.6926093,1272,0.65234375
1695042102.9055672,1280,0.6484375
1695042274.5475647,1288,0.6484375
1695042439.9617753,1296,0.65234375
1695042608.504088,1304,0.65234375
1695042891.8805175,1312,0.65625
1695043050.9418464,1320,0.65234375
1695043212.0984442,1328,0.65234375
1695043377.8807344,1336,0.64453125
1695043651.6135693,1344,0.640625
1695043815.0161486,1352,0.640625
1695043976.5506117,1360,0.63671875
1695044139.4429057,1368,0.64453125
1695044416.463274,1376,0.64453125
1695044577.1877015,1384,0.640625
1695044740.1720195,1392,0.63671875
1695044903.8220968,1400,0.640625
1695045176.4822836,1408,0.640625
1695045342.3514473,1416,0.640625
1695045510.039552,1424,0.640625
1695045668.8591516,1432,0.64453125
1695045939.0968988,1440,0.640625
1695046099.5352793,1448,0.63671875
1695046259.2732542,1456,0.640625
1695046420.5187445,1464,0.64453125
1695046698.4793673,1472,0.64453125
1695046861.662556,1480,0.6484375
1695047023.7447877,1488,0.640625
1695047187.9711673,1496,0.640625
1695047467.770776,1504,0.640625
1695047637.0034404,1512,0.640625
1695047800.596175,1520,0.640625
1695047961.8993232,1528,0.6328125
1695048240.645539,1536,0.64453125
1695048401.5921543,1544,0.640625
1695048560.6749928,1552,0.65234375
1695048723.892778,1560,0.65234375
1695049000.667899,1568,0.65234375
1695049159.9010575,1576,0.6484375
1695049320.9120173,1584,0.65234375
1695049486.5549235,1592,0.65234375
1695049764.0178556,1600,0.64453125
