Wall time,Step,Value
1694921004.0164332,0,0.6796875
1694921219.8026218,8,0.69140625
1694921443.571883,16,0.671875
1694921667.0556734,24,0.671875
1694922056.319798,32,0.6796875
1694922278.6273537,40,0.68359375
1694922504.7349625,48,0.69140625
1694922731.9382873,56,0.6875
1694923130.590119,64,0.703125
1694923355.8141785,72,0.6875
1694923577.7166088,80,0.6796875
1694923804.4002955,88,0.6796875
1694924198.8418608,96,0.67578125
1694924425.9191535,104,0.67578125
1694924647.077585,112,0.6796875
1694924873.9804068,120,0.6875
1694925264.756592,128,0.6796875
1694925499.680849,136,0.6796875
1694925738.724513,144,0.671875
1694925968.3927839,152,0.66796875
1694926382.3566158,160,0.6796875
1694926618.757084,168,0.6796875
1694926850.1260014,176,0.6796875
1694927085.7419033,184,0.67578125
1694927488.8221424,192,0.67578125
1694927717.4572666,200,0.67578125
1694927948.5555081,208,0.671875
1694928183.938249,216,0.671875
1694928600.5062504,224,0.67578125
1694928830.7210763,232,0.67578125
1694929062.3393102,240,0.67578125
1694929293.453723,248,0.671875
1694929709.4095745,256,0.671875
1694929946.262953,264,0.671875
1694930180.4987373,272,0.671875
1694930415.1616848,280,0.671875
1694930834.2851834,288,0.67578125
1694931074.8686676,296,0.67578125
1694931313.4405203,304,0.67578125
1694931550.7806182,312,0.67578125
1694931972.6185474,320,0.67578125
1694932209.3784876,328,0.67578125
1694932444.6219695,336,0.67578125
1694932680.044739,344,0.67578125
1694933096.8771682,352,0.6796875
1694933340.199752,360,0.6796875
1694933574.6399024,368,0.6796875
1694933813.0143244,376,0.6796875
1694934229.3365843,384,0.6796875
1694934462.4861436,392,0.6796875
1694934696.580437,400,0.6796875
1694934940.2240965,408,0.6796875
1694935356.495829,416,0.67578125
1694935593.0268714,424,0.68359375
1694935821.8717847,432,0.68359375
1694936054.6425393,440,0.68359375
1694936475.1406999,448,0.68359375
1694936714.5505803,456,0.6796875
1694936949.6235118,464,0.68359375
1694937184.3344743,472,0.68359375
1694937599.892916,480,0.6796875
1694937831.576804,488,0.6796875
1694938066.32525,496,0.6796875
1694938307.1970038,504,0.6796875
1694938724.4952252,512,0.6796875
1694938962.7698815,520,0.6796875
1694939197.7443087,528,0.67578125
1694939436.8425193,536,0.67578125
1694939855.051192,544,0.67578125
1694940092.394149,552,0.67578125
1694940336.0436006,560,0.67578125
1694940573.8762753,568,0.671875
1694940982.9009411,576,0.671875
1694941220.9549434,584,0.671875
1694941463.4399724,592,0.671875
1694941694.1070397,600,0.671875
1694942111.895093,608,0.6796875
1694942346.879283,616,0.6796875
1694942587.2389932,624,0.67578125
1694942828.26104,632,0.67578125
1694943243.2252243,640,0.67578125
1694943483.210603,648,0.67578125
1694943711.3498826,656,0.67578125
1694943951.293904,664,0.67578125
1694944377.7121477,672,0.6875
1694944624.4016855,680,0.68359375
1694944867.0694706,688,0.6796875
1694945107.95607,696,0.67578125
1694945528.8377898,704,0.68359375
1694945774.4884996,712,0.6796875
1694946013.5531664,720,0.68359375
1694946254.7566838,728,0.68359375
1694946677.784763,736,0.68359375
1694946916.549925,744,0.68359375
1694947147.9845057,752,0.68359375
1694947398.3562505,760,0.68359375
1694947820.7905374,768,0.68359375
1694948060.2748082,776,0.68359375
1694948297.8565016,784,0.68359375
1694948537.058212,792,0.68359375
1694948960.562091,800,0.6796875
1694949199.6606653,808,0.6796875
1694949434.242863,816,0.6796875
1694949678.6514251,824,0.6796875
1694950098.0590448,832,0.6796875
1694950336.4700158,840,0.6796875
1694950576.6114805,848,0.6796875
1694950823.605321,856,0.68359375
1694951252.2516243,864,0.68359375
1694951500.4915326,872,0.6796875
1694951750.8538494,880,0.68359375
1694951991.3253794,888,0.68359375
1694952423.8759785,896,0.6796875
1694952670.9141436,904,0.6796875
1694952911.6134548,912,0.6796875
1694953160.451139,920,0.6796875
1694953592.1028497,928,0.6796875
1694953829.0829344,936,0.6796875
1694954069.6122038,944,0.6796875
1694954315.9978123,952,0.6796875
1694954748.8436487,960,0.6796875
1694954992.5251033,968,0.6796875
1694955231.116364,976,0.6796875
1694955472.5612133,984,0.6796875
1694955905.0732827,992,0.6796875
1694956149.2598572,1000,0.6796875
1694956392.8543944,1008,0.6796875
1694956637.5188103,1016,0.6796875
1694957069.8817677,1024,0.6796875
1694957314.994661,1032,0.6796875
1694957558.1541321,1040,0.6796875
1694957796.795101,1048,0.6796875
1694958233.7541547,1056,0.6796875
1694958483.1648757,1064,0.6796875
1694958724.5143569,1072,0.6796875
1694958969.400726,1080,0.6796875
1694959408.9758623,1088,0.6796875
1694959654.93601,1096,0.6796875
1694959902.1757734,1104,0.6796875
