Wall time,Step,Value
1695556545.943765,0,0.67578125
1695556696.0720816,8,0.6953125
1695556838.0183165,16,0.68359375
1695556973.8541694,24,0.68359375
1695557213.8419046,32,0.69921875
1695557346.729738,40,0.69921875
1695557476.5145473,48,0.69921875
1695557605.1247072,56,0.69140625
1695557829.7332034,64,0.6875
1695557953.2369282,72,0.68359375
1695558075.8386242,80,0.6796875
1695558198.6397653,88,0.6875
1695558411.7536526,96,0.6953125
1695558533.1701844,104,0.69921875
1695558651.9449694,112,0.6875
1695558770.5653555,120,0.703125
1695558981.0824609,128,0.6953125
1695559098.2323687,136,0.6796875
1695559216.0100567,144,0.68359375
1695559335.1440325,152,0.6875
1695559538.0227416,160,0.69921875
1695559650.566933,168,0.6796875
1695559764.240851,176,0.6875
1695559876.7574723,184,0.6796875
1695560075.3168337,192,0.67578125
1695560188.9439871,200,0.6796875
1695560302.1405401,208,0.68359375
1695560414.8730037,216,0.6953125
1695560607.602957,224,0.69921875
1695560719.8675227,232,0.69140625
1695560832.1202064,240,0.68359375
1695560945.1626532,248,0.6796875
1695561138.3860292,256,0.6796875
1695561248.2461889,264,0.67578125
1695561358.6359804,272,0.6875
1695561469.6692934,280,0.6875
1695561660.0760338,288,0.67578125
1695561768.6903427,296,0.66796875
1695561876.5610664,304,0.6796875
1695561984.0207055,312,0.6796875
1695562174.5082452,320,0.67578125
1695562282.5466795,328,0.68359375
1695562390.2029169,336,0.6875
1695562498.8903773,344,0.6875
1695562684.9013364,352,0.6875
1695562793.018798,360,0.6875
1695562899.7707443,368,0.671875
1695563008.641836,376,0.67578125
1695563197.389643,384,0.6796875
1695563308.0999365,392,0.6875
1695563417.3745677,400,0.68359375
1695563522.6075377,408,0.6796875
1695563709.18851,416,0.6796875
1695563815.60857,424,0.68359375
1695563922.8332107,432,0.6796875
1695564030.636517,440,0.6875
1695564217.2656333,448,0.6796875
1695564324.996995,456,0.67578125
1695564430.848643,464,0.67578125
1695564539.355969,472,0.6796875
1695564724.8867009,480,0.6796875
1695564831.4577518,488,0.68359375
1695564937.9233718,496,0.6875
1695565045.2536733,504,0.69140625
1695565230.908258,512,0.6875
1695565337.219328,520,0.6875
1695565443.4418576,528,0.6875
1695565549.568335,536,0.68359375
1695565734.9202254,544,0.68359375
1695565843.3984776,552,0.6796875
1695565950.1021483,560,0.6796875
1695566055.0218055,568,0.6796875
1695566238.7926824,576,0.67578125
1695566345.902088,584,0.6796875
1695566451.0107946,592,0.6796875
1695566556.2399714,600,0.68359375
1695566740.73747,608,0.6796875
1695566846.674664,616,0.68359375
1695566952.8316228,624,0.68359375
1695567059.4401531,632,0.68359375
1695567244.6439333,640,0.69140625
1695567349.4550219,648,0.6875
1695567456.2458498,656,0.6875
1695567561.6779027,664,0.69140625
1695567746.1361248,672,0.69140625
1695567851.6222265,680,0.6953125
1695567958.915126,688,0.69140625
1695568066.0994973,696,0.69140625
1695568248.3088274,704,0.6875
1695568355.0358138,712,0.6875
1695568461.0669563,720,0.6875
1695568567.9628668,728,0.6953125
1695568749.9967482,736,0.6953125
1695568856.2108755,744,0.6953125
1695568962.5482142,752,0.69140625
1695569066.7456577,760,0.6875
1695569249.0581632,768,0.69140625
1695569353.427908,776,0.6953125
