Wall time,Step,Value
1694912515.7998571,0,0.68359375
1694912716.8492677,8,0.6875
1694912913.5366507,16,0.6953125
1694913110.8807752,24,0.6796875
1694913447.2384412,32,0.6875
1694913643.4586163,40,0.70703125
1694913846.3562007,48,0.69140625
1694914043.95444,56,0.6875
1694914395.997926,64,0.703125
1694914597.8004897,72,0.69140625
1694914792.3940816,80,0.70703125
1694914990.126664,88,0.69140625
1694915331.4482608,96,0.68359375
1694915527.0912733,104,0.68359375
1694915721.9248857,112,0.68359375
1694915918.199047,120,0.68359375
1694916259.6962352,128,0.6875
1694916454.287546,136,0.6875
1694916649.4222624,144,0.6875
1694916851.805273,152,0.6953125
1694917199.541491,160,0.6953125
1694917394.5862036,168,0.69140625
1694917591.928982,176,0.6953125
1694917790.2017345,184,0.6953125
1694918136.7805834,192,0.69140625
1694918334.0659864,200,0.69140625
1694918532.8554492,208,0.69140625
1694918732.7044368,216,0.69140625
1694919074.6357007,224,0.69140625
1694919273.9802973,232,0.69140625
1694919471.4339921,240,0.69140625
1694919671.8477635,248,0.69140625
1694920017.3373506,256,0.69140625
1694920215.067365,264,0.6875
1694920413.1650956,272,0.6875
1694920614.3790312,280,0.6875
1694920960.894846,288,0.6875
1694921161.6448088,296,0.6875
1694921358.1054356,304,0.68359375
1694921555.217957,312,0.68359375
1694921906.8118494,320,0.68359375
1694922105.954042,328,0.68359375
1694922304.8077135,336,0.68359375
1694922505.354217,344,0.6796875
1694922850.5345047,352,0.68359375
1694923045.97204,360,0.69140625
1694923242.5709267,368,0.69140625
1694923442.214977,376,0.69140625
1694923787.8493962,384,0.69921875
1694923987.7717302,392,0.69140625
1694924189.8666108,400,0.6875
1694924387.976088,408,0.68359375
1694924737.7012715,416,0.68359375
1694924935.9928775,424,0.69140625
1694925134.654444,432,0.69140625
1694925337.9126844,440,0.69140625
1694925688.7343752,448,0.69140625
1694925889.5372944,456,0.69140625
1694926086.5821397,464,0.69140625
1694926290.5156474,472,0.69140625
1694926640.5406072,480,0.69140625
1694926842.5210276,488,0.69140625
1694927041.897811,496,0.69140625
1694927242.6229458,504,0.69140625
1694927592.0505672,512,0.6875
1694927794.5689404,520,0.6875
1694927992.6432598,528,0.6875
1694928189.0089014,536,0.6875
1694928539.3343077,544,0.6875
1694928743.5157928,552,0.6875
1694928942.7995353,560,0.69140625
1694929143.8397675,568,0.6875
1694929495.6886914,576,0.69140625
1694929698.4268465,584,0.6875
1694929898.4429185,592,0.69140625
1694930096.6369064,600,0.69140625
1694930449.0405178,608,0.6953125
1694930650.5691967,616,0.6953125
1694930851.2425516,624,0.6953125
1694931051.0021813,632,0.6953125
1694931399.2209146,640,0.6953125
1694931596.5775287,648,0.6953125
1694931794.4582953,656,0.6953125
1694931994.5345304,664,0.6953125
1694932339.3161294,672,0.6953125
1694932535.0690362,680,0.6953125
1694932734.2938774,688,0.6953125
1694932930.8961945,696,0.69140625
1694933270.7552652,704,0.6875
1694933468.6259973,712,0.68359375
1694933661.2146401,720,0.6875
1694933857.040318,728,0.68359375
1694934192.8662195,736,0.68359375
1694934390.0158064,744,0.67578125
1694934586.6677551,752,0.6796875
1694934783.0264423,760,0.6875
1694935132.0772378,768,0.6875
1694935329.1587994,776,0.68359375
1694935528.1924293,784,0.6796875
1694935725.428161,792,0.6796875
1694936075.0107284,800,0.6796875
1694936271.8999946,808,0.68359375
1694936473.2602715,816,0.68359375
1694936669.4844003,824,0.68359375
1694937017.7434325,832,0.6875
1694937219.5299847,840,0.69140625
1694937416.8828256,848,0.6875
1694937615.2146711,856,0.6875
1694937960.49399,864,0.6875
1694938162.4220247,872,0.6875
1694938359.7181766,880,0.6875
1694938555.5882094,888,0.68359375
1694938902.3121583,896,0.68359375
1694939102.9390366,904,0.68359375
1694939300.7705722,912,0.68359375
1694939498.6925232,920,0.68359375
1694939847.9903798,928,0.68359375
1694940046.9021559,936,0.6796875
1694940243.9065015,944,0.6796875
1694940447.8686674,952,0.6796875
1694940793.612529,960,0.6875
1694940990.8444157,968,0.68359375
1694941182.9165454,976,0.68359375
1694941374.1827555,984,0.68359375
1694941713.17029,992,0.68359375
1694941907.8794205,1000,0.68359375
1694942099.8829348,1008,0.6796875
1694942292.7156167,1016,0.6796875
1694942630.7855535,1024,0.6796875
1694942822.6775875,1032,0.6796875
1694943015.1196322,1040,0.6796875
1694943209.304299,1048,0.6796875
1694943548.193604,1056,0.68359375
1694943740.5952594,1064,0.6875
1694943931.2107632,1072,0.6875
1694944127.2008464,1080,0.68359375
1694944466.53849,1088,0.68359375
1694944659.6859062,1096,0.68359375
1694944852.1044567,1104,0.68359375
1694945046.3630931,1112,0.68359375
1694945380.7365837,1120,0.68359375
1694945572.4820964,1128,0.68359375
1694945763.859268,1136,0.68359375
1694945959.2191315,1144,0.68359375
1694946292.5850663,1152,0.68359375
1694946482.143278,1160,0.68359375
1694946677.644568,1168,0.68359375
