Wall time,Step,Value
1695770682.4103546,0,0.67578125
1695770830.7958076,8,0.6875
1695770978.6848557,16,0.6796875
1695771127.6792016,24,0.69921875
1695771387.887018,32,0.6953125
1695771534.7234502,40,0.6953125
1695771679.5683203,48,0.6875
1695771820.5707088,56,0.6875
1695772083.098983,64,0.69140625
1695772230.6548598,72,0.68359375
1695772371.1385953,80,0.68359375
1695772518.5106266,88,0.6875
1695772773.568063,96,0.68359375
1695772922.017929,104,0.6953125
1695773070.6927342,112,0.70703125
1695773228.171543,120,0.70703125
1695773496.202027,128,0.69140625
1695773645.3526165,136,0.69921875
1695773794.7795398,144,0.7109375
1695773950.0182862,152,0.69921875
1695774207.6277657,160,0.703125
1695774350.712945,168,0.70703125
1695774500.9913871,176,0.7109375
1695774646.5697687,184,0.71875
1695774908.1763334,192,0.72265625
1695775057.5986025,200,0.71875
1695775203.674567,208,0.71875
1695775356.355071,216,0.7109375
1695775619.7100062,224,0.7109375
1695775768.403085,232,0.71484375
1695775916.92129,240,0.7109375
1695776067.0049605,248,0.71484375
1695776317.6697176,256,0.70703125
1695776459.8588183,264,0.7109375
1695776609.2009842,272,0.69921875
1695776759.3829353,280,0.703125
1695777010.959215,288,0.70703125
1695777162.1273885,296,0.703125
1695777307.4289145,304,0.6953125
1695777451.3904204,312,0.6953125
1695777707.7814918,320,0.71875
1695777849.066045,328,0.72265625
1695777994.4631972,336,0.71875
1695778144.8711486,344,0.70703125
1695778397.359271,352,0.72265625
1695778547.7151036,360,0.72265625
1695778691.9474273,368,0.71484375
1695778839.4169178,376,0.7265625
1695779094.2492733,384,0.71875
1695779245.6688979,392,0.7109375
1695779399.107015,400,0.703125
1695779545.4233687,408,0.71484375
1695779798.5033529,416,0.71875
1695779944.6324275,424,0.71484375
1695780088.413333,432,0.7109375
1695780241.7715278,440,0.7265625
1695780502.2094455,448,0.72265625
1695780649.3974466,456,0.70703125
1695780792.6603208,464,0.71484375
1695780936.6885521,472,0.71484375
1695781185.6662705,480,0.70703125
1695781332.1878169,488,0.7109375
1695781477.0111399,496,0.71484375
1695781625.5117471,504,0.71484375
1695781892.0083778,512,0.7109375
1695782045.9584699,520,0.7109375
1695782191.8517263,528,0.703125
1695782343.5524392,536,0.69921875
1695782608.8512561,544,0.703125
1695782760.727603,552,0.7109375
1695782905.5093973,560,0.703125
1695783054.7779233,568,0.71484375
1695783321.9390821,576,0.7109375
1695783468.8596723,584,0.71484375
1695783617.0057778,592,0.73046875
1695783765.6113725,600,0.71484375
1695784021.8245525,608,0.71875
1695784174.1551595,616,0.73046875
1695784323.722812,624,0.72265625
1695784480.4404912,632,0.73046875
1695784743.5983226,640,0.7109375
1695784893.6702805,648,0.70703125
1695785046.4987516,656,0.72265625
1695785200.170635,664,0.71484375
1695785466.0204043,672,0.72265625
1695785612.933804,680,0.72265625
1695785763.1236496,688,0.7265625
1695785915.8467672,696,0.734375
1695786189.9317727,704,0.73046875
1695786340.2225466,712,0.71484375
1695786488.8785493,720,0.7265625
1695786638.3032935,728,0.73828125
