Wall time,Step,Value
1688730085.1926813,0,0.6875
1688730221.6128774,8,0.703125
1688730346.0326653,16,0.6875
1688730468.296989,24,0.6875
1688730588.905038,32,0.65625
1688730716.3030033,40,0.671875
1688730842.6911516,48,0.71875
1688730973.5560012,56,0.671875
1688731098.142863,64,0.703125
1688731224.5187993,72,0.6875
1688731350.4128454,80,0.671875
1688731478.4934087,88,0.6875
1688731602.8512177,96,0.6875
1688731723.8805952,104,0.6875
1688731848.02759,112,0.671875
1688731967.9535112,120,0.71875
1688732092.8223226,128,0.671875
1688732220.3640811,136,0.6875
1688732346.3247447,144,0.6875
1688732472.5790665,152,0.6875
1688732595.89528,160,0.671875
1688732718.816098,168,0.71875
1688732845.9780922,176,0.671875
1688732968.789496,184,0.65625
1688733092.3660586,192,0.6875
1688733214.5153613,200,0.71875
1688733340.4138565,208,0.703125
1688733459.4660094,216,0.6875
1688733584.1536286,224,0.6875
1688733705.16386,232,0.703125
1688733828.0038216,240,0.703125
1688733956.1141403,248,0.6875
1688734078.726082,256,0.6875
1688734201.9751763,264,0.65625
1688734322.6393292,272,0.6875
1688734446.747974,280,0.671875
1688734573.3403924,288,0.703125
1688734694.081761,296,0.703125
1688734823.117935,304,0.71875
1688734955.2190695,312,0.671875
1688735087.7520442,320,0.671875
1688735216.7795637,328,0.703125
1688735345.5798414,336,0.671875
1688735477.1170626,344,0.671875
1688735601.8583016,352,0.6875
1688735728.715702,360,0.6875
1688735856.7355556,368,0.65625
1688735986.2042835,376,0.6875
1688736111.7375386,384,0.65625
1688736246.561188,392,0.671875
1688736522.1127403,400,0.6875
1688736653.291877,408,0.6875
1688736782.4451885,416,0.65625
1688736914.8645635,424,0.671875
1688737047.0968475,432,0.71875
1688737179.3534498,440,0.671875
1688737309.2866452,448,0.6875
1688737436.8742282,456,0.671875
1688737566.7724483,464,0.671875
1688737692.6031694,472,0.703125
1688737824.636356,480,0.65625
1688737953.0759244,488,0.671875
1688738083.068985,496,0.671875
1688738207.3522465,504,0.65625
1688738335.6710353,512,0.6875
1688738466.8746796,520,0.703125
1688738596.8005073,528,0.671875
1688738728.4382832,536,0.6875
1688738859.7225716,544,0.65625
1688738995.4022853,552,0.6875
1688739122.1370223,560,0.6875
1688739247.9427097,568,0.703125
1688739379.33091,576,0.703125
1688739510.9632814,584,0.703125
1688739642.2904627,592,0.6875
1688739770.6615648,600,0.671875
1688739907.214276,608,0.671875
1688740039.395161,616,0.6875
1688740168.9196362,624,0.703125
1688740295.144239,632,0.6875
1688740424.204582,640,0.6875
1688740554.1084135,648,0.6875
1688740689.422054,656,0.71875
1688740817.865614,664,0.65625
1688740945.0937545,672,0.671875
1688741075.2599587,680,0.703125
1688741200.773738,688,0.6875
1688741334.4057455,696,0.671875
1688741467.922664,704,0.671875
1688741595.0378807,712,0.671875
1688741723.390806,720,0.6875
1688741848.24037,728,0.703125
1688741980.6362615,736,0.671875
1688742113.5019476,744,0.6875
1688742235.883622,752,0.65625
1688742360.7902625,760,0.6875
1688742492.1432834,768,0.6875
1688742627.8719573,776,0.65625
1688742755.6674094,784,0.671875
1688742887.4754288,792,0.6875
1688743017.6549964,800,0.671875
