Wall time,Step,Value
1688718756.8669348,0,0.6875
1688718914.4668243,8,0.6875
1688719065.2495887,16,0.71875
1688719220.9408278,24,0.703125
1688719369.6174676,32,0.6875
1688719526.675297,40,0.671875
1688719682.1853564,48,0.703125
1688719834.8595943,56,0.703125
1688719987.809087,64,0.6875
1688720140.0585942,72,0.6875
1688720294.2099607,80,0.671875
1688720448.3650568,88,0.671875
1688720600.3877134,96,0.703125
1688720749.0789814,104,0.703125
1688720898.9723938,112,0.671875
1688721046.3898842,120,0.6875
1688721198.0780962,128,0.6875
1688721354.3264875,136,0.703125
1688721506.2656786,144,0.671875
1688721660.9010034,152,0.671875
1688721810.5831232,160,0.703125
1688721958.7832205,168,0.671875
1688722114.8040507,176,0.671875
1688722263.3619423,184,0.6875
1688722411.264353,192,0.703125
1688722556.2646294,200,0.6875
1688722708.4058638,208,0.6875
1688722852.626892,216,0.6875
1688723003.871836,224,0.6875
1688723150.9065394,232,0.6875
1688723301.1328316,240,0.6875
1688723459.0888019,248,0.6875
1688723609.5588474,256,0.671875
1688723767.2180412,264,0.6875
1688723913.5965006,272,0.703125
1688724061.8085728,280,0.65625
1688724216.7316213,288,0.671875
1688724358.923909,296,0.71875
1688724514.1465554,304,0.6875
1688724667.1333559,312,0.703125
1688724825.7757442,320,0.703125
1688724975.9317238,328,0.671875
1688725124.5013855,336,0.6875
1688725278.4797752,344,0.65625
1688725424.941636,352,0.6875
1688725570.281998,360,0.671875
1688725722.2560067,368,0.671875
1688725875.5391428,376,0.6875
1688726025.9975023,384,0.6875
1688726182.9178681,392,0.6875
1688726334.7470763,400,0.703125
1688726485.473418,408,0.703125
1688726634.4775243,416,0.6875
1688726788.2406113,424,0.6875
1688726942.735637,432,0.6875
1688727093.882252,440,0.703125
1688727244.5309093,448,0.671875
1688727393.0756,456,0.6875
1688727544.162034,464,0.671875
1688727689.6795702,472,0.6875
1688727844.1536653,480,0.6875
1688727995.6587808,488,0.6875
1688728147.031521,496,0.703125
1688728297.4030364,504,0.671875
1688728448.1787057,512,0.6875
1688728599.436586,520,0.6875
1688728752.9383314,528,0.671875
1688728905.2596915,536,0.703125
1688729062.2264373,544,0.65625
1688729217.544246,552,0.671875
1688729367.417695,560,0.6875
1688729512.0608215,568,0.71875
1688729666.2702782,576,0.703125
1688729818.4238987,584,0.6875
1688729969.4620116,592,0.65625
1688730119.056517,600,0.671875
1688730279.3712456,608,0.671875
1688730434.5685883,616,0.6875
1688730585.9006774,624,0.671875
1688730735.5230575,632,0.6875
1688730888.5313053,640,0.671875
1688731040.19767,648,0.6875
1688731200.9224455,656,0.671875
1688731350.8612766,664,0.65625
1688731500.1624167,672,0.6875
1688731652.194999,680,0.65625
1688731799.183917,688,0.65625
1688731953.550528,696,0.671875
1688732113.3503351,704,0.6875
1688732260.9813745,712,0.671875
1688732410.4908566,720,0.6875
1688732560.1507175,728,0.671875
1688732714.2577267,736,0.671875
1688732867.929246,744,0.671875
1688733007.7270129,752,0.65625
1688733152.664994,760,0.671875
1688733305.5696025,768,0.6875
1688733465.8375623,776,0.671875
1688733618.2635255,784,0.65625
1688733772.0628219,792,0.671875
1688733924.0151825,800,0.65625
