Wall time,Step,Value
1688725595.4734218,0,0.625
1688725833.2520442,8,0.609375
1688726043.544409,16,0.578125
1688726258.1939788,24,0.59375
1688726469.7240849,32,0.59375
1688726699.5174005,40,0.59375
1688726938.5914524,48,0.59375
1688727155.9189,56,0.5625
1688727361.5253987,64,0.5625
1688727563.398597,72,0.578125
1688727793.9915335,80,0.5625
1688728019.0956185,88,0.5625
1688728241.9355884,96,0.640625
1688728460.0073354,104,0.609375
1688728679.9391308,112,0.578125
1688728900.883592,120,0.546875
1688729127.1925051,128,0.578125
1688729354.3772182,136,0.578125
1688729577.712722,144,0.5625
1688729793.834862,152,0.609375
1688730003.8542273,160,0.59375
1688730216.2911892,168,0.578125
1688730441.08101,176,0.578125
1688730641.1817737,184,0.53125
1688730857.9429018,192,0.59375
1688731079.7720485,200,0.546875
1688731288.1592214,208,0.59375
1688731502.2158573,216,0.578125
1688731709.0722675,224,0.5625
1688731917.234675,232,0.59375
1688732125.1226192,240,0.625
1688732338.226153,248,0.578125
1688732545.7241416,256,0.59375
1688732766.3652976,264,0.578125
1688732981.485517,272,0.53125
1688733203.999785,280,0.578125
1688733434.78699,288,0.578125
1688733652.1957803,296,0.5625
1688733876.775309,304,0.5625
1688734090.7029784,312,0.53125
1688734310.3300064,320,0.578125
1688734530.334723,328,0.578125
1688734768.0594757,336,0.546875
1688735004.075028,344,0.546875
1688735241.5119493,352,0.5625
1688735458.3667045,360,0.59375
1688735675.4311306,368,0.5625
1688735896.9518356,376,0.5625
1688736130.8390357,384,0.578125
1688736356.4952648,392,0.578125
1688736569.1240954,400,0.609375
1688736794.2461283,408,0.578125
1688736999.4766903,416,0.5625
1688737236.7595248,424,0.546875
1688737457.4354396,432,0.546875
1688737685.7473807,440,0.546875
1688737902.5567012,448,0.578125
1688738120.6457028,456,0.5625
1688738340.9606693,464,0.578125
1688738566.1834652,472,0.5625
1688738774.0990002,480,0.578125
1688739005.7976289,488,0.546875
1688739230.0734951,496,0.5625
1688739446.3179293,504,0.5625
1688739676.5674732,512,0.578125
1688739899.171918,520,0.609375
1688740117.6906476,528,0.59375
1688740333.1225154,536,0.578125
1688740545.1574426,544,0.609375
1688740766.4632294,552,0.59375
1688740998.0064816,560,0.5625
1688741218.225202,568,0.59375
1688741445.892249,576,0.578125
1688741668.7234025,584,0.578125
1688741878.9999735,592,0.546875
1688742102.1829834,600,0.5625
1688742324.432757,608,0.609375
1688742556.3560238,616,0.59375
1688742777.2330437,624,0.609375
1688742988.722228,632,0.59375
1688743198.2039766,640,0.5625
1688743413.3663757,648,0.59375
1688743630.1227407,656,0.53125
1688743872.7419062,664,0.578125
1688744077.7261899,672,0.578125
1688744312.7757332,680,0.578125
1688744529.8867078,688,0.59375
1688744755.8655345,696,0.578125
1688744987.8850434,704,0.5625
1688745202.5036814,712,0.59375
1688745427.0512757,720,0.5625
1688745646.3047693,728,0.53125
1688745880.5426226,736,0.578125
1688746103.5819218,744,0.578125
1688746342.7329173,752,0.5625
1688746565.072753,760,0.59375
1688746766.2254527,768,0.53125
1688746977.7804966,776,0.5625
1688747199.5463908,784,0.546875
1688747419.4335008,792,0.578125
1688747632.3015509,800,0.5625
