Wall time,Step,Value
1688748379.4327354,0,0.625
1688748597.1563792,8,0.609375
1688748787.6475039,16,0.5625
1688748981.7894864,24,0.59375
1688749175.0020576,32,0.625
1688749379.5173857,40,0.578125
1688749588.1345472,48,0.5625
1688749782.4000468,56,0.546875
1688749963.2683547,64,0.59375
1688750138.4669755,72,0.609375
1688750353.1870341,80,0.578125
1688750556.7918224,88,0.578125
1688750764.1698859,96,0.59375
1688750957.1164255,104,0.578125
1688751150.14579,112,0.5625
1688751351.8154616,120,0.578125
1688751560.4932666,128,0.5625
1688751767.8628716,136,0.546875
1688751978.9412565,144,0.578125
1688752184.7990181,152,0.609375
1688752381.179612,160,0.5625
1688752577.338902,168,0.5625
1688752788.1250062,176,0.59375
1688752982.5517883,184,0.59375
1688753194.4212332,192,0.578125
1688753425.6733012,200,0.5625
1688753648.483781,208,0.5625
1688753866.1135097,216,0.5625
1688754096.1551225,224,0.578125
1688754349.492069,232,0.59375
1688754610.19876,240,0.578125
1688754878.0326445,248,0.5625
1688755178.2986267,256,0.5625
1688755528.6123998,264,0.59375
1688755872.5356953,272,0.59375
1688756283.7808506,280,0.59375
1688756708.0375834,288,0.5625
1688757102.871221,296,0.578125
1688757588.4932418,304,0.59375
1688758033.962615,312,0.609375
1688758562.1856754,320,0.5625
1688759141.4479187,328,0.546875
1688759755.9492052,336,0.546875
1688760395.2274446,344,0.578125
1688761025.067244,352,0.5625
1688761653.8221521,360,0.5625
1688762267.4472203,368,0.546875
1688762925.4875047,376,0.546875
1688763587.4615111,384,0.53125
1688764251.4194741,392,0.5625
1688764889.6606443,400,0.5
1688765523.763506,408,0.546875
1688766187.7386556,416,0.53125
1688766856.1286561,424,0.515625
1688767523.6822839,432,0.484375
1688768196.0631413,440,0.46875
1688768869.9630668,448,0.484375
1688769545.6208513,456,0.484375
1688770220.6016402,464,0.484375
1688770896.1793866,472,0.4375
1688771570.8657305,480,0.515625
1688772245.0829,488,0.53125
1688772921.4035463,496,0.484375
1688773597.4095929,504,0.515625
1688774276.5867827,512,0.5
1688774954.2689278,520,0.5625
1688775632.5480146,528,0.546875
1688776311.8958073,536,0.546875
1688776991.5950968,544,0.5625
1688777671.2327447,552,0.578125
1688778351.6872811,560,0.53125
1688779031.655644,568,0.578125
1688779712.883213,576,0.546875
1688780393.2766871,584,0.609375
1688781076.9622464,592,0.578125
1688781981.5004268,600,0.59375
1688782667.6959038,608,0.546875
1688783354.8157868,616,0.625
1688784042.1822932,624,0.625
1688784731.0893483,632,0.609375
1688785419.244921,640,0.640625
1688786114.1629217,648,0.609375
1688786804.6609318,656,0.625
1688787495.4752092,664,0.625
1688788186.2416399,672,0.625
1688788880.6082091,680,0.625
1688789576.969367,688,0.59375
1688790268.226543,696,0.625
1688790961.711979,704,0.625
1688791652.5374317,712,0.609375
1688792347.629709,720,0.640625
1688793048.953612,728,0.625
1688793744.8852575,736,0.640625
1688794440.4996772,744,0.609375
1688795138.2496364,752,0.640625
1688795835.0024407,760,0.609375
1688796531.9441445,768,0.59375
1688797228.642316,776,0.59375
1688797924.7226572,784,0.609375
1688798621.921731,792,0.640625
1688799319.6595917,800,0.609375
