Wall time,Step,Value
1688700793.8568673,0,0.625
1688700896.920627,8,0.609375
1688700989.3137825,16,0.578125
1688701081.5287623,24,0.59375
1688701173.6126215,32,0.578125
1688701271.602004,40,0.609375
1688701368.710422,48,0.609375
1688701464.829134,56,0.578125
1688701555.7954912,64,0.5625
1688701644.4124637,72,0.578125
1688701745.421593,80,0.578125
1688701841.8800201,88,0.5625
1688701939.8818653,96,0.578125
1688702033.7575376,104,0.578125
1688702127.3077667,112,0.5625
1688702224.359518,120,0.5625
1688702324.1194892,128,0.578125
1688702420.6806488,136,0.59375
1688702521.0522885,144,0.609375
1688702620.8605266,152,0.609375
1688702715.1134994,160,0.578125
1688702809.7657924,168,0.5625
1688702909.2918386,176,0.546875
1688703003.6643984,184,0.59375
1688703102.698554,192,0.578125
1688703209.7510223,200,0.59375
1688703315.7045033,208,0.5625
1688703423.9398835,216,0.625
1688703532.6918538,224,0.5625
1688703653.2872818,232,0.5625
1688703782.3904696,240,0.625
1688703928.7186003,248,0.578125
1688704085.496189,256,0.578125
1688704273.2863283,264,0.59375
1688704447.8748496,272,0.5625
1688704661.8973835,280,0.578125
1688704865.8972082,288,0.546875
1688705050.4416583,296,0.546875
1688705264.8432689,304,0.578125
1688705477.5163178,312,0.5625
1688705707.3919988,320,0.546875
1688705950.9511912,328,0.5625
1688706201.6118112,336,0.578125
1688706456.8913684,344,0.53125
1688706709.5455759,352,0.59375
1688706967.706466,360,0.578125
1688707218.3144627,368,0.5625
1688707480.5676403,376,0.546875
1688707742.1167567,384,0.546875
1688708004.2774563,392,0.515625
1688708266.701786,400,0.546875
1688708530.4710324,408,0.515625
1688708794.2952814,416,0.53125
1688709057.9549873,424,0.5
1688709322.9068482,432,0.53125
1688709588.6761098,440,0.515625
1688709853.4394433,448,0.5
1688710118.9748118,456,0.46875
1688710384.3997812,464,0.515625
1688710650.1565547,472,0.53125
1688710915.5117223,480,0.484375
1688711178.661881,488,0.5
1688711442.0965362,496,0.46875
1688711705.9377718,504,0.515625
1688711970.178568,512,0.484375
1688712234.7348044,520,0.484375
1688712498.669222,528,0.5625
1688712763.6217344,536,0.53125
1688713028.328813,544,0.53125
1688713293.4459436,552,0.546875
1688713558.2384176,560,0.5
1688713823.495823,568,0.53125
1688714089.57082,576,0.5625
1688714355.9903054,584,0.5625
1688714622.1310961,592,0.578125
1688714888.052695,600,0.5625
1688715154.9323862,608,0.609375
1688715422.3930023,616,0.578125
1688715689.8258069,624,0.546875
1688715957.2678814,632,0.578125
1688716224.5977297,640,0.625
1688716492.6310718,648,0.578125
1688716761.093685,656,0.59375
1688717029.0730064,664,0.625
1688717298.8791835,672,0.640625
1688717575.5427139,680,0.625
1688717845.7275448,688,0.59375
1688718115.7639115,696,0.640625
1688718390.8885,704,0.640625
1688718661.0843794,712,0.640625
1688718930.327986,720,0.609375
1688719200.0517497,728,0.625
1688719469.5238233,736,0.59375
1688719746.1067436,744,0.609375
1688720016.6480045,752,0.609375
1688720285.8640852,760,0.640625
1688720556.6641943,768,0.640625
1688720832.582207,776,0.640625
1688721102.7407436,784,0.625
1688721373.2570965,792,0.65625
1688721643.8265853,800,0.640625
