Wall time,Step,Value
1688757345.3003805,0,0.625
1688757516.914278,8,0.5625
1688757669.9222007,16,0.59375
1688757825.9735854,24,0.578125
1688757981.165334,32,0.578125
1688758145.447591,40,0.609375
1688758311.1978006,48,0.59375
1688758467.3227189,56,0.625
1688758615.5452511,64,0.578125
1688758760.2223458,72,0.578125
1688758930.592308,80,0.5625
1688759095.6346912,88,0.578125
1688759261.8512049,96,0.609375
1688759421.9623406,104,0.59375
1688759576.4603405,112,0.578125
1688759737.8251433,120,0.5625
1688759904.1747084,128,0.59375
1688760068.6194665,136,0.5625
1688760231.1178324,144,0.546875
1688760390.0249743,152,0.578125
1688760547.3865488,160,0.5625
1688760701.325301,168,0.546875
1688760862.4431908,176,0.5625
1688761010.8561337,184,0.578125
1688761170.0860248,192,0.546875
1688761339.6670327,200,0.59375
1688761509.657438,208,0.546875
1688761674.2642288,216,0.515625
1688761831.8683677,224,0.5
1688761989.452637,232,0.515625
1688762144.7336276,240,0.53125
1688762299.2317944,248,0.515625
1688762456.836766,256,0.515625
1688762620.7030861,264,0.5
1688762778.9292603,272,0.5
1688762944.1826131,280,0.5
1688763110.9114914,288,0.5
1688763268.5366807,296,0.53125
1688763434.6049054,304,0.5
1688763592.570707,312,0.515625
1688763753.3716824,320,0.5
1688763915.6577373,328,0.515625
1688764085.8829248,336,0.5
1688764257.9121656,344,0.5
1688764424.9719284,352,0.5
1688764584.9438772,360,0.5
1688764740.0003822,368,0.5
1688764899.21428,376,0.515625
1688765070.1510758,384,0.515625
1688765236.6394491,392,0.5
1688765394.1531837,400,0.5
1688765561.9620328,408,0.515625
1688765717.53262,416,0.5
1688765889.9930487,424,0.5
1688766055.1058803,432,0.5
1688766217.7992861,440,0.5
1688766377.8256176,448,0.515625
1688766536.726623,456,0.5
1688766701.6518633,464,0.5
1688766868.1539226,472,0.5
1688767025.2668989,480,0.515625
1688767198.1192558,488,0.5
1688767361.6180916,496,0.5
1688767520.7022517,504,0.5
1688767685.9871728,512,0.5
1688767850.11978,520,0.5
1688768010.8033843,528,0.5
1688768169.7944927,536,0.5
1688768331.7443423,544,0.5
1688768495.285334,552,0.5
1688768663.9035435,560,0.5
1688768824.7794676,568,0.5
1688768986.4169776,576,0.515625
1688769150.0290124,584,0.5
1688769309.6996763,592,0.5
1688769473.360107,600,0.5
1688769640.0998394,608,0.5
1688769808.0394728,616,0.5
1688769972.8381865,624,0.515625
1688770134.6711817,632,0.515625
1688770291.8715641,640,0.5
1688770452.8075607,648,0.515625
1688770614.7074015,656,0.5
1688770787.2661788,664,0.5
1688770943.662451,672,0.515625
1688771112.4160688,680,0.5
1688771276.9968743,688,0.515625
1688771442.0262551,696,0.5
1688771608.9829044,704,0.5
1688771769.8982832,712,0.5
1688771932.4594333,720,0.515625
1688772093.730248,728,0.5
1688772264.2396274,736,0.5
1688772427.0787609,744,0.5
1688772598.026017,752,0.5
1688772760.2250125,760,0.5
1688772912.724547,768,0.5
1688773072.3885338,776,0.515625
1688773236.9922073,784,0.5
1688773397.359407,792,0.5
1688773553.34994,800,0.5
