Wall time,Step,Value
1688604679.316316,0,0.625
1688604785.842787,8,0.609375
1688604878.5048056,16,0.609375
1688604975.0957541,24,0.609375
1688605069.6324053,32,0.609375
1688605168.7938447,40,0.578125
1688605269.6468203,48,0.625
1688605364.25537,56,0.546875
1688605455.8058517,64,0.578125
1688605546.1627796,72,0.5625
1688605647.2266119,80,0.578125
1688605746.2573745,88,0.59375
1688605845.114411,96,0.59375
1688605939.542936,104,0.59375
1688606033.880472,112,0.59375
1688606131.338375,120,0.609375
1688606230.9078221,128,0.609375
1688606329.950582,136,0.578125
1688606427.903743,144,0.5625
1688606523.9320617,152,0.59375
1688606616.3672144,160,0.578125
1688606709.2567155,168,0.578125
1688606804.0938423,176,0.59375
1688606894.2545378,184,0.546875
1688606989.5089927,192,0.59375
1688607085.7910876,200,0.609375
1688607179.3481083,208,0.609375
1688607275.6027293,216,0.5625
1688607368.2507942,224,0.59375
1688607462.6730864,232,0.578125
1688607557.374066,240,0.59375
1688607651.8617146,248,0.59375
1688607747.1716866,256,0.59375
1688607844.0200977,264,0.59375
1688607939.8528004,272,0.640625
1688608045.0188243,280,0.609375
1688608144.4672205,288,0.5625
1688608240.7217946,296,0.578125
1688608338.6580646,304,0.578125
1688608431.5801518,312,0.59375
1688608527.7604759,320,0.578125
1688608622.778915,328,0.59375
1688608723.3650708,336,0.5625
1688608824.7498786,344,0.59375
1688608922.469876,352,0.578125
1688609017.453297,360,0.59375
1688609112.5639374,368,0.625
1688609207.7560499,376,0.546875
1688609306.9935389,384,0.59375
1688609403.9037452,392,0.578125
1688609497.8583534,400,0.609375
1688609596.88627,408,0.546875
1688609689.6642675,416,0.609375
1688609789.6874614,424,0.59375
1688609887.7259505,432,0.578125
1688609983.604704,440,0.578125
1688610079.4774694,448,0.578125
1688610173.834886,456,0.59375
1688610273.332174,464,0.5625
1688610372.5232449,472,0.609375
1688610463.295284,480,0.59375
1688610563.022604,488,0.609375
1688610659.7130613,496,0.5625
1688610753.9240263,504,0.625
1688610851.6280966,512,0.578125
1688610948.1688848,520,0.578125
1688611042.99364,528,0.578125
1688611137.4840252,536,0.578125
1688611234.3683727,544,0.625
1688611331.8799758,552,0.59375
1688611430.1917741,560,0.59375
1688611525.6998353,568,0.578125
1688611621.6926432,576,0.578125
1688611718.1997561,584,0.578125
1688611812.8508365,592,0.578125
1688611910.324689,600,0.578125
1688612008.3657095,608,0.578125
1688612107.533774,616,0.609375
1688612202.7377703,624,0.59375
1688612297.3373675,632,0.59375
1688612390.8713849,640,0.5625
1688612485.8355248,648,0.578125
1688612581.1259563,656,0.5625
1688612680.2226825,664,0.5625
1688612773.3501961,672,0.59375
1688612872.78756,680,0.578125
1688612969.719299,688,0.625
1688613068.6573703,696,0.5625
1688613167.2203894,704,0.5625
1688613263.252872,712,0.546875
1688613361.6207478,720,0.546875
1688613455.916518,728,0.546875
1688613555.31603,736,0.59375
1688613649.9436874,744,0.59375
1688613750.9820073,752,0.578125
1688613847.1546967,760,0.59375
1688613941.9060874,768,0.546875
1688614036.4718769,776,0.578125
1688614132.5027323,784,0.625
1688614227.3226132,792,0.578125
1688614320.6341088,800,0.5625
