Wall time,Step,Value
1688601461.8041406,0,0.703125
1688601549.1392787,8,0.703125
1688601626.7718623,16,0.65625
1688601710.168876,24,0.703125
1688601792.973878,32,0.75
1688601878.4987824,40,0.703125
1688601965.3680103,48,0.71875
1688602043.034349,56,0.734375
1688602127.8203933,64,0.6875
1688602212.563791,72,0.703125
1688602298.197485,80,0.734375
1688602383.6660743,88,0.6875
1688602473.6537488,96,0.671875
1688602558.2322276,104,0.71875
1688602638.6561139,112,0.703125
1688602718.4906778,120,0.71875
1688602804.7700815,128,0.75
1688602885.4074578,136,0.6875
1688602965.558975,144,0.703125
1688603047.5566466,152,0.671875
1688603130.6774774,160,0.71875
1688603208.1545327,168,0.703125
1688603289.370128,176,0.671875
1688603373.9971786,184,0.734375
1688603453.271198,192,0.703125
1688603539.6736367,200,0.703125
1688603621.601275,208,0.703125
1688603702.602577,216,0.6875
1688603783.0974371,224,0.703125
1688603860.8430774,232,0.734375
1688603940.5706513,240,0.6875
1688604027.1768625,248,0.71875
1688604114.1743205,256,0.6875
1688604192.3976638,264,0.6875
1688604271.8392625,272,0.703125
1688604359.1039746,280,0.703125
1688604441.0334892,288,0.6875
1688604525.1761081,296,0.6875
1688604610.0469294,304,0.6875
1688604696.9582314,312,0.71875
1688604781.2835548,320,0.6875
1688604865.6618466,328,0.6875
1688604949.7979438,336,0.6875
1688605030.821092,344,0.734375
1688605116.2183838,352,0.6875
1688605194.980114,360,0.703125
1688605275.4804225,368,0.703125
1688605355.6750584,376,0.71875
1688605432.7206848,384,0.6875
1688605517.5519671,392,0.703125
1688605601.486268,400,0.65625
1688605680.478975,408,0.71875
1688605764.4142199,416,0.703125
1688605847.9430435,424,0.65625
1688605930.9525888,432,0.71875
1688606011.185147,440,0.671875
1688606096.8938627,448,0.734375
1688606176.2028797,456,0.65625
1688606257.0216343,464,0.75
1688606340.842873,472,0.71875
1688606425.1441526,480,0.71875
1688606509.5869193,488,0.6875
1688606595.0662,496,0.6875
1688606677.6141737,504,0.6875
1688606765.5268862,512,0.703125
1688606848.9664562,520,0.703125
1688606935.0224514,528,0.65625
1688607020.5562224,536,0.703125
1688607097.7759283,544,0.703125
1688607183.5398843,552,0.703125
1688607267.9225576,560,0.703125
1688607352.0970376,568,0.6875
1688607431.227138,576,0.65625
1688607515.483061,584,0.703125
1688607598.684277,592,0.703125
1688607683.5739834,600,0.6875
1688607763.5262349,608,0.71875
1688607847.1396377,616,0.71875
1688607922.4959083,624,0.703125
1688608005.5728328,632,0.703125
1688608085.052756,640,0.75
1688608163.1937096,648,0.71875
1688608239.888824,656,0.734375
1688608320.367201,664,0.703125
1688608406.565753,672,0.71875
1688608493.0802257,680,0.71875
1688608569.726607,688,0.65625
1688608648.2744253,696,0.6875
1688608730.3616052,704,0.734375
1688608815.7485826,712,0.6875
1688608893.58364,720,0.703125
1688608971.3267658,728,0.703125
1688609056.0222867,736,0.6875
1688609141.984246,744,0.6875
1688609230.6229095,752,0.671875
1688609314.4142458,760,0.71875
1688609394.946122,768,0.71875
1688609482.0368462,776,0.703125
1688609569.7154348,784,0.6875
1688609650.3162928,792,0.703125
1688609735.6182055,800,0.65625
