Wall time,Step,Value
1688800226.2044284,0,0.625
1688800358.8930535,8,0.640625
1688800484.676251,16,0.625
1688800604.3945658,24,0.59375
1688800729.001202,32,0.640625
1688800853.4694247,40,0.65625
1688800979.4184806,48,0.59375
1688801107.6005456,56,0.625
1688801231.053526,64,0.609375
1688801354.492653,72,0.59375
1688801476.6250675,80,0.625
1688801599.5732107,88,0.640625
1688801722.9549673,96,0.609375
1688801851.3363476,104,0.609375
1688801971.9471653,112,0.640625
1688802096.365361,120,0.640625
1688802222.29128,128,0.59375
1688802343.8880901,136,0.59375
1688802468.4943814,144,0.625
1688802590.7825105,152,0.625
1688802717.3317983,160,0.59375
1688802838.8241484,168,0.625
1688802960.2970471,176,0.671875
1688803090.938566,184,0.640625
1688803219.861319,192,0.625
1688803346.4329538,200,0.609375
1688803471.4355152,208,0.578125
1688803589.7434325,216,0.625
1688803711.6321335,224,0.625
1688803837.637539,232,0.65625
1688803958.6405118,240,0.609375
1688804079.8668022,248,0.625
1688804205.7442465,256,0.609375
1688804331.4538906,264,0.59375
1688804454.4763749,272,0.625
1688804578.9417129,280,0.65625
1688804699.7121716,288,0.59375
1688804821.9729805,296,0.609375
1688804945.703292,304,0.609375
1688805068.2560494,312,0.578125
1688805185.0506217,320,0.609375
1688805311.9353902,328,0.609375
1688805438.6723144,336,0.625
1688805564.756789,344,0.59375
1688805685.1574814,352,0.625
1688805804.6574764,360,0.625
1688805932.1607854,368,0.671875
1688806053.0822804,376,0.609375
1688806179.2370675,384,0.609375
1688806296.918635,392,0.609375
1688806420.1839383,400,0.59375
1688806545.388711,408,0.59375
1688806671.3269236,416,0.609375
1688806794.0638068,424,0.609375
1688806915.149595,432,0.640625
1688807040.178381,440,0.671875
1688807163.05188,448,0.609375
1688807287.7244723,456,0.640625
1688807411.094646,464,0.65625
1688807534.813865,472,0.640625
1688807661.6339588,480,0.65625
1688807788.9346237,488,0.609375
1688807911.4780076,496,0.625
1688808036.2544732,504,0.625
1688808160.88855,512,0.609375
1688808282.5621443,520,0.671875
1688808409.9826624,528,0.59375
1688808536.1038177,536,0.609375
1688808665.6019385,544,0.640625
1688808786.67431,552,0.609375
1688808915.453318,560,0.640625
1688809042.7979946,568,0.65625
1688809163.5982566,576,0.59375
1688809291.6186368,584,0.65625
1688809417.413092,592,0.578125
1688809545.5481257,600,0.640625
1688809666.635803,608,0.609375
1688809791.4138646,616,0.59375
1688809916.8046443,624,0.609375
1688810039.7202249,632,0.625
1688810165.9748151,640,0.640625
1688810288.4748223,648,0.609375
1688810411.4831955,656,0.59375
1688810536.2385294,664,0.640625
1688810655.945525,672,0.640625
1688810775.890816,680,0.609375
1688810896.9892094,688,0.609375
1688811019.2176423,696,0.59375
1688811142.5190148,704,0.609375
1688811266.2805226,712,0.625
1688811394.4217746,720,0.609375
1688811516.981322,728,0.640625
1688811638.3015852,736,0.625
1688811761.8067372,744,0.625
1688811887.695869,752,0.625
1688812012.768953,760,0.609375
1688812135.763843,768,0.625
1688812263.057948,776,0.625
1688812385.523401,784,0.625
1688812516.3652399,792,0.625
1688812646.7513356,800,0.640625
