Wall time,Step,Value
1688718762.6725755,0,0.625
1688718853.7429137,8,0.609375
1688718933.6185148,16,0.625
1688719014.3203564,24,0.609375
1688719097.6305196,32,0.625
1688719182.4821906,40,0.65625
1688719270.656305,48,0.65625
1688719354.114735,56,0.640625
1688719435.5800974,64,0.625
1688719517.350504,72,0.625
1688719599.8429806,80,0.640625
1688719681.6669345,88,0.609375
1688719764.3812666,96,0.625
1688719848.1209633,104,0.640625
1688719929.6123164,112,0.609375
1688720012.0053434,120,0.625
1688720096.5924535,128,0.640625
1688720179.0970886,136,0.65625
1688720262.1372888,144,0.625
1688720342.7701478,152,0.609375
1688720425.232498,160,0.609375
1688720504.9318447,168,0.640625
1688720585.8621888,176,0.625
1688720667.4798658,184,0.609375
1688720753.8173618,192,0.609375
1688720836.7986596,200,0.625
1688720920.0528722,208,0.65625
1688720999.135777,216,0.625
1688721089.7219694,224,0.609375
1688721172.7154808,232,0.65625
1688721254.7354553,240,0.609375
1688721337.5449314,248,0.640625
1688721422.078815,256,0.625
1688721506.7128131,264,0.640625
1688721587.4821188,272,0.625
1688721670.1536012,280,0.640625
1688721752.0300548,288,0.625
1688721834.7706509,296,0.609375
1688721916.9844582,304,0.65625
1688722000.0642533,312,0.65625
1688722081.0665083,320,0.609375
1688722165.839805,328,0.609375
1688722248.9576356,336,0.640625
1688722332.084821,344,0.609375
1688722414.8841002,352,0.625
1688722496.4652243,360,0.578125
1688722579.7732246,368,0.640625
1688722662.7617521,376,0.59375
1688722748.3558564,384,0.625
1688722829.8540614,392,0.578125
1688722912.971353,400,0.640625
1688722997.6538105,408,0.625
1688723082.8018646,416,0.609375
1688723164.9601054,424,0.625
1688723245.3226821,432,0.609375
1688723329.4279957,440,0.640625
1688723412.814535,448,0.640625
1688723497.0504277,456,0.578125
1688723579.457546,464,0.625
1688723663.6140308,472,0.609375
1688723745.4613993,480,0.59375
1688723829.6409705,488,0.59375
1688723913.4429018,496,0.625
1688723998.5632343,504,0.625
1688724082.8051975,512,0.609375
1688724163.9144025,520,0.625
1688724249.8792148,528,0.609375
1688724334.7856655,536,0.625
1688724420.9381478,544,0.640625
1688724504.6951418,552,0.640625
1688724588.7351956,560,0.640625
1688724673.0779202,568,0.609375
1688724754.3584619,576,0.59375
1688724839.247045,584,0.609375
1688724923.8506892,592,0.625
1688725008.1754253,600,0.609375
1688725091.3670015,608,0.625
1688725176.59067,616,0.609375
1688725258.944984,624,0.671875
1688725341.8427355,632,0.609375
1688725425.7453344,640,0.609375
1688725507.6172981,648,0.640625
1688725592.9381697,656,0.625
1688725677.286176,664,0.625
1688725761.180851,672,0.59375
1688725842.231793,680,0.59375
1688725925.090571,688,0.625
1688726009.1197891,696,0.59375
1688726090.8649693,704,0.609375
1688726175.0367625,712,0.640625
1688726261.519092,720,0.609375
1688726343.4325035,728,0.640625
1688726425.553733,736,0.609375
1688726510.0295913,744,0.625
1688726595.295486,752,0.625
1688726677.7158194,760,0.65625
1688726760.407053,768,0.625
1688726845.1161115,776,0.609375
1688726926.1532333,784,0.625
1688727011.8833306,792,0.625
1688727097.4216433,800,0.625
