Wall time,Step,Value
1688938008.6247985,0,0.625
1688938143.3135526,8,0.640625
1688938272.3737016,16,0.59375
1688938396.3527074,24,0.59375
1688938526.004906,32,0.578125
1688938655.955745,40,0.59375
1688938780.001389,48,0.625
1688938912.5129752,56,0.609375
1688939040.1643295,64,0.625
1688939166.4328163,72,0.625
1688939295.1124606,80,0.609375
1688939425.2059612,88,0.625
1688939554.9759426,96,0.640625
1688939692.5929306,104,0.640625
1688939818.2579517,112,0.625
1688939949.9328945,120,0.609375
1688940091.352176,128,0.640625
1688940222.5555947,136,0.640625
1688940357.2922158,144,0.625
1688940487.646209,152,0.5625
1688940624.3107755,160,0.625
1688940756.4742374,168,0.65625
1688940888.7457633,176,0.625
1688941025.6392071,184,0.640625
1688941174.7138212,192,0.609375
1688941319.2805912,200,0.625
1688941468.7309413,208,0.609375
1688941609.8995228,216,0.609375
1688941758.6026316,224,0.625
1688941912.1165278,232,0.609375
1688942066.082984,240,0.609375
1688942224.5966923,248,0.625
1688942393.6128864,256,0.609375
1688942569.8210444,264,0.609375
1688942750.9257119,272,0.640625
1688942949.3926258,280,0.625
1688943155.1138127,288,0.609375
1688943372.8471615,296,0.59375
1688943598.6366124,304,0.625
1688943836.0952454,312,0.59375
1688944078.9501483,320,0.59375
1688944352.61684,328,0.59375
1688944656.040882,336,0.59375
1688944973.264978,344,0.5625
1688945306.8972692,352,0.578125
1688945638.2075334,360,0.5625
1688946029.2407699,368,0.59375
1688946430.8064802,376,0.625
1688946833.9982927,384,0.625
1688947225.112506,392,0.59375
1688947674.2415445,400,0.640625
1688948164.4946759,408,0.59375
1688948661.8569884,416,0.609375
1688949219.7441716,424,0.625
1688949776.9639335,432,0.609375
1688950335.2597556,440,0.625
1688950872.8296106,448,0.625
1688951429.0819082,456,0.609375
1688951988.9591923,464,0.5625
1688952549.6980755,472,0.609375
1688953110.5558233,480,0.625
1688953673.7611783,488,0.546875
1688954239.2407215,496,0.578125
1688954803.502777,504,0.59375
1688955372.9349859,512,0.546875
1688955947.8088212,520,0.546875
1688956511.5123615,528,0.515625
1688957080.0475214,536,0.609375
1688957649.2706518,544,0.625
1688958219.7609773,552,0.640625
1688958792.1204562,560,0.6875
1688959369.9818075,568,0.640625
1688959940.248624,576,0.71875
1688960523.0420406,584,0.640625
1688961098.7554832,592,0.671875
1688961677.757383,600,0.671875
1688962255.364617,608,0.703125
1688962832.8825192,616,0.671875
1688963411.0841265,624,0.65625
1688963987.3632293,632,0.671875
1688964563.3750567,640,0.671875
1688965139.048682,648,0.703125
1688965716.799151,656,0.6875
1688966295.7514155,664,0.671875
1688966873.8978386,672,0.671875
1688967453.4073877,680,0.671875
1688968032.4027877,688,0.65625
1688968612.1244476,696,0.671875
1688969196.4207926,704,0.6875
1688969792.5804641,712,0.65625
1688970353.062763,720,0.671875
1688970912.585499,728,0.65625
1688971471.451307,736,0.671875
1688972030.5231426,744,0.671875
1688972589.6475878,752,0.640625
1688973150.0060852,760,0.671875
1688973711.3621414,768,0.65625
1688974274.9820824,776,0.65625
1688974839.195284,784,0.65625
1688975401.8485813,792,0.65625
1688975966.571552,800,0.65625
