Wall time,Step,Value
1688725591.2572784,0,0.625
1688725759.6433384,8,0.609375
1688725909.4198172,16,0.609375
1688726061.4518495,24,0.609375
1688726220.091761,32,0.609375
1688726379.0267475,40,0.609375
1688726536.2606058,48,0.59375
1688726696.7768278,56,0.609375
1688726850.8373766,64,0.609375
1688727003.6856418,72,0.625
1688727157.2466047,80,0.609375
1688727312.0245407,88,0.609375
1688727467.112204,96,0.59375
1688727630.2200093,104,0.640625
1688727779.893976,112,0.5625
1688727944.5732365,120,0.609375
1688728102.8674054,128,0.59375
1688728257.4387581,136,0.59375
1688728413.5237677,144,0.609375
1688728565.0579958,152,0.625
1688728721.4909065,160,0.59375
1688728874.799488,168,0.59375
1688729024.4753392,176,0.578125
1688729181.423704,184,0.578125
1688729343.922071,192,0.625
1688729502.9345686,200,0.609375
1688729659.0001123,208,0.625
1688729804.9262888,216,0.59375
1688729960.5005476,224,0.625
1688730119.666553,232,0.59375
1688730272.990719,240,0.625
1688730426.6357918,248,0.578125
1688730588.6861622,256,0.59375
1688730749.1435182,264,0.640625
1688730905.8630025,272,0.625
1688731065.1799586,280,0.578125
1688731214.9906788,288,0.578125
1688731371.1258247,296,0.578125
1688731527.5585973,304,0.609375
1688731683.6166043,312,0.578125
1688731829.2175844,320,0.65625
1688731989.1601374,328,0.59375
1688732146.833694,336,0.578125
1688732301.3528385,344,0.578125
1688732452.713011,352,0.609375
1688732600.3381522,360,0.59375
1688732757.8658721,368,0.609375
1688732910.141686,376,0.625
1688733065.9604795,384,0.609375
1688733213.0261605,392,0.609375
1688733368.3585293,400,0.578125
1688733527.0657864,408,0.609375
1688733686.541422,416,0.625
1688733839.3552766,424,0.59375
1688733987.1035888,432,0.59375
1688734143.0332446,440,0.609375
1688734294.2717762,448,0.59375
1688734449.7279491,456,0.5625
1688734604.03187,464,0.625
1688734758.2154408,472,0.578125
1688734916.169229,480,0.625
1688735077.1445925,488,0.59375
1688735232.2067447,496,0.609375
1688735391.6863003,504,0.609375
1688735550.6241922,512,0.625
1688735702.3808274,520,0.59375
1688735861.4934008,528,0.640625
1688736020.2379622,536,0.640625
1688736181.543403,544,0.609375
1688736334.6431665,552,0.578125
1688736517.999255,560,0.625
1688736676.3401594,568,0.5625
1688736823.8592224,576,0.59375
1688736985.0722194,584,0.5625
1688737142.093352,592,0.65625
1688737301.9199476,600,0.59375
1688737452.0872366,608,0.625
1688737606.7356188,616,0.59375
1688737762.3215363,624,0.609375
1688737913.084459,632,0.609375
1688738068.0918744,640,0.609375
1688738218.4672315,648,0.59375
1688738370.1975043,656,0.609375
1688738525.4627817,664,0.59375
1688738673.3066893,672,0.609375
1688738821.2208982,680,0.59375
1688738971.7918017,688,0.625
1688739120.4386673,696,0.625
1688739272.339115,704,0.578125
1688739424.1963162,712,0.578125
1688739584.0269594,720,0.65625
1688739735.8238773,728,0.625
1688739886.354029,736,0.609375
1688740041.3064437,744,0.59375
1688740197.8062296,752,0.609375
1688740350.2230234,760,0.625
1688740498.1398115,768,0.640625
1688740652.4770315,776,0.625
1688740798.3432722,784,0.59375
1688740957.8762648,792,0.609375
1688741118.2457232,800,0.59375
