Wall time,Step,Value
1699159935.8019354,0,0.6796875
1699160185.9061522,8,0.671875
1699160441.592793,16,0.6640625
1699160684.876696,24,0.66796875
1699161076.700687,32,0.67578125
1699161310.5432148,40,0.6640625
1699161546.3016384,48,0.6796875
1699161781.8347416,56,0.6796875
1699162168.4232883,64,0.69140625
1699162398.1969736,72,0.68359375
1699162637.6117144,80,0.671875
1699162877.296566,88,0.671875
1699163217.6003134,96,0.68359375
1699163431.9989524,104,0.6796875
1699163649.2595487,112,0.66796875
1699163880.5646713,120,0.6640625
1699164252.6749518,128,0.68359375
1699164472.0731087,136,0.6796875
1699164695.015381,144,0.6796875
1699164894.756988,152,0.67578125
1699165201.6389735,160,0.67578125
1699165393.9879181,168,0.67578125
1699165581.4049244,176,0.66796875
1699165770.486772,184,0.67578125
1699166114.7989216,192,0.68359375
1699166327.560729,200,0.68359375
1699166535.0782714,208,0.69140625
1699166754.359927,216,0.6875
1699167108.1233947,224,0.67578125
1699167325.563319,232,0.671875
1699167543.703782,240,0.6875
1699167731.7837837,248,0.671875
1699168043.4616454,256,0.68359375
1699168235.875818,264,0.68359375
1699168455.1293921,272,0.69140625
1699168672.2965076,280,0.69921875
1699169030.4764118,288,0.703125
1699169246.254714,296,0.7109375
1699169465.603087,304,0.69921875
1699169680.6997929,312,0.6875
1699170029.6788437,320,0.6953125
1699170238.043956,328,0.69140625
1699170450.5364642,336,0.69140625
1699170658.7113616,344,0.69140625
1699171006.5898345,352,0.68359375
1699171216.963709,360,0.67578125
1699171406.3055258,368,0.67578125
1699171613.6781762,376,0.6796875
1699171928.0618844,384,0.6875
1699172132.1432617,392,0.6953125
1699172337.7994208,400,0.703125
1699172549.139145,408,0.68359375
1699172894.3480005,416,0.6875
1699173106.1753001,424,0.68359375
1699173314.8866923,432,0.6953125
1699173521.4943156,440,0.6953125
1699173863.67363,448,0.69921875
1699174068.3104546,456,0.703125
1699174277.2989166,464,0.69921875
1699174468.5182807,472,0.6875
1699174797.1340768,480,0.69140625
1699174991.2128975,488,0.68359375
1699175192.543607,496,0.6875
1699175372.7799325,504,0.6875
1699175692.741803,512,0.6953125
1699175861.341008,520,0.6953125
1699176024.5324984,528,0.69921875
1699176189.5829442,536,0.6875
1699176460.3737783,544,0.6875
1699176625.839232,552,0.6953125
1699176792.9407878,560,0.6953125
1699176957.8614013,568,0.6953125
1699177294.1622484,576,0.6953125
1699177488.719622,584,0.6953125
1699177697.3322568,592,0.69921875
1699177889.0760052,600,0.6953125
1699178161.0253544,608,0.6953125
1699178324.2746305,616,0.69921875
1699178485.9166756,624,0.70703125
1699178650.6034305,632,0.70703125
1699178925.0780745,640,0.703125
1699179095.0824304,648,0.69140625
1699179256.547603,656,0.6953125
1699179419.4665527,664,0.6953125
1699179691.6962492,672,0.69140625
1699179859.6950896,680,0.69140625
1699180019.6101959,688,0.6875
1699180181.204658,696,0.68359375
1699180453.531142,704,0.6796875
1699180617.97629,712,0.6796875
1699180777.411943,720,0.68359375
1699180941.6493957,728,0.6953125
1699181267.4219396,736,0.6953125
1699181462.8239427,744,0.6953125
1699181653.168527,752,0.6953125
1699181846.846918,760,0.69921875
1699182164.3117363,768,0.69921875
1699182332.6417801,776,0.70703125
1699182489.6449766,784,0.70703125
1699182653.3445508,792,0.7109375
1699182947.4575846,800,0.71875
1699183149.003701,808,0.71875
1699183344.5006478,816,0.71484375
1699183535.6278822,824,0.72265625
1699183866.9783053,832,0.72265625
1699184062.4716733,840,0.7265625
1699184231.2934723,848,0.72265625
1699184407.1404688,856,0.7265625
1699184738.9096801,864,0.7265625
1699184931.092672,872,0.71875
1699185095.717649,880,0.72265625
1699185256.6528468,888,0.71875
1699185521.494323,896,0.71875
1699185681.7384868,904,0.71875
1699185842.497368,912,0.71875
1699186001.6731353,920,0.7265625
1699186297.8021355,928,0.72265625
1699186488.5429466,936,0.71875
1699186675.6628988,944,0.71484375
1699186863.3709984,952,0.71484375
1699187176.9665592,960,0.71875
1699187368.653204,968,0.72265625
1699187555.843561,976,0.72265625
1699187744.2993128,984,0.71484375
1699188057.2094948,992,0.7109375
1699188241.910556,1000,0.71484375
1699188430.3042963,1008,0.7109375
1699188620.0786242,1016,0.7109375
1699188933.9279175,1024,0.7109375
1699189110.2906153,1032,0.72265625
1699189289.4123874,1040,0.73046875
1699189453.2293563,1048,0.72265625
1699189712.6595185,1056,0.72265625
1699189871.1551619,1064,0.7265625
1699190029.4571943,1072,0.72265625
1699190187.9219308,1080,0.72265625
1699190446.892971,1088,0.7265625
1699190604.3089314,1096,0.71875
1699190762.2937407,1104,0.72265625
1699190919.3166013,1112,0.71875
1699191181.7275646,1120,0.71875
1699191340.4371815,1128,0.71875
1699191493.9433255,1136,0.71484375
1699191653.47638,1144,0.71484375
1699191912.0889933,1152,0.71484375
1699192068.879383,1160,0.71484375
1699192224.732623,1168,0.71875
1699192381.698154,1176,0.71484375
1699192642.4559376,1184,0.7109375
1699192797.9596107,1192,0.71484375
1699192953.5317829,1200,0.71484375
1699193111.8326242,1208,0.7109375
1699193372.9553554,1216,0.71484375
1699193529.9222517,1224,0.7109375
1699193683.9599528,1232,0.7109375
1699193839.0070612,1240,0.7109375
1699194096.775392,1248,0.7109375
1699194253.985023,1256,0.71484375
1699194411.760145,1264,0.71875
1699194567.818461,1272,0.71484375
1699194824.5957887,1280,0.71875
1699194984.0437696,1288,0.71484375
1699195142.611971,1296,0.71484375
1699195297.7596114,1304,0.71484375
1699195554.8038218,1312,0.71484375
1699195711.3765912,1320,0.71484375
1699195867.3954818,1328,0.71484375
1699196016.8382251,1336,0.71484375
1699196273.9167645,1344,0.7109375
1699196432.3523169,1352,0.7109375
1699196584.927283,1360,0.7109375
1699196744.862039,1368,0.7109375
1699197000.37121,1376,0.7109375
1699197155.7053008,1384,0.7109375
1699197312.931533,1392,0.7109375
1699197464.525571,1400,0.7109375
1699197719.4072013,1408,0.70703125
1699197874.482768,1416,0.703125
1699198033.5515532,1424,0.69921875
1699198186.9123762,1432,0.69921875
1699198443.9072719,1440,0.69921875
