Wall time,Step,Value
1699158351.5888522,0,0.6796875
1699158528.751469,8,0.6875
1699158710.477087,16,0.67578125
1699158888.9386857,24,0.671875
1699159185.9336498,32,0.67578125
1699159355.6399846,40,0.67578125
1699159527.6416728,48,0.67578125
1699159696.590147,56,0.69140625
1699159995.7822375,64,0.68359375
1699160160.9227417,72,0.671875
1699160323.6219697,80,0.6796875
1699160494.5191114,88,0.671875
1699160779.4040976,96,0.67578125
1699160942.2393243,104,0.671875
1699161106.885963,112,0.67578125
1699161269.2032492,120,0.6640625
1699161548.3698163,128,0.67578125
1699161710.8416574,136,0.66796875
1699161876.7607093,144,0.671875
1699162039.1361165,152,0.6640625
1699162320.7736917,160,0.671875
1699162486.088275,168,0.68359375
1699162648.8627489,176,0.703125
1699162824.444194,184,0.69140625
1699163115.8434486,192,0.6875
1699163282.7741613,200,0.69140625
1699163444.4219294,208,0.69140625
1699163610.822936,216,0.69140625
1699163898.7986116,224,0.69921875
1699164062.5014675,232,0.69921875
1699164224.949553,240,0.69921875
1699164385.0994647,248,0.703125
1699164660.5165834,256,0.69921875
1699164819.2053583,264,0.6953125
1699164980.6391704,272,0.69140625
1699165141.156561,280,0.69921875
1699165418.6773398,288,0.70703125
1699165573.245161,296,0.7109375
1699165732.7551475,304,0.71484375
1699165891.188068,312,0.7109375
1699166157.2339263,320,0.7109375
1699166315.5213249,328,0.69921875
1699166471.4810233,336,0.703125
1699166624.4914284,344,0.70703125
1699166890.3741386,352,0.6953125
1699167043.7456372,360,0.6953125
1699167196.8521063,368,0.6875
1699167351.1928313,376,0.69140625
1699167613.064097,384,0.6953125
1699167763.1507432,392,0.68359375
1699167913.2516603,400,0.68359375
1699168065.1157575,408,0.6875
1699168328.649803,416,0.69921875
1699168482.184646,424,0.6953125
1699168632.4359012,432,0.6953125
1699168784.8820016,440,0.69140625
1699169049.7377138,448,0.6875
1699169204.512731,456,0.6875
1699169355.0472732,464,0.68359375
1699169502.385923,472,0.68359375
1699169764.4714432,480,0.6875
1699169912.3657553,488,0.69140625
1699170063.6111083,496,0.6875
1699170211.022819,504,0.6796875
1699170469.004971,512,0.67578125
1699170618.8815632,520,0.67578125
1699170765.6163692,528,0.68359375
1699170916.260341,536,0.68359375
1699171174.1538346,544,0.68359375
1699171323.6583629,552,0.68359375
1699171473.378249,560,0.6875
1699171619.8956015,568,0.6796875
1699171877.2180638,576,0.6796875
1699172024.9931214,584,0.67578125
1699172175.8821967,592,0.68359375
1699172324.0538282,600,0.6875
1699172579.1106057,608,0.6796875
1699172724.3159328,616,0.67578125
1699172871.0806587,624,0.6796875
1699173019.7428896,632,0.6875
1699173277.1583982,640,0.6875
1699173424.4168293,648,0.6796875
1699173569.8146343,656,0.6796875
1699173713.6584468,664,0.6796875
1699173966.4367423,672,0.67578125
1699174111.6704676,680,0.66796875
1699174255.2646768,688,0.671875
