Wall time,Step,Value
1699192169.0031536,0,0.6796875
1699192376.09463,8,0.67578125
1699192588.2635849,16,0.66796875
1699192786.5145278,24,0.6796875
1699193121.1208034,32,0.6875
1699193317.9720948,40,0.67578125
1699193513.1053846,48,0.66796875
1699193709.7674818,56,0.67578125
1699194026.9186184,64,0.6796875
1699194216.8408341,72,0.68359375
1699194411.9224625,80,0.6796875
1699194605.2004707,88,0.67578125
1699194915.7824352,96,0.671875
1699195108.3161976,104,0.6875
1699195297.2480032,112,0.68359375
1699195485.1616206,120,0.671875
1699195784.9031203,128,0.671875
1699195967.8767912,136,0.68359375
1699196149.4614885,144,0.67578125
1699196332.5200148,152,0.6796875
1699196633.9913087,160,0.68359375
1699196819.74679,168,0.6796875
1699196999.160934,176,0.68359375
1699197180.527967,184,0.69140625
1699197474.89813,192,0.69140625
1699197653.5454726,200,0.6875
1699197828.9916039,208,0.6875
1699198010.8814697,216,0.69140625
1699198309.415985,224,0.6953125
1699198486.46098,232,0.6875
1699198666.986461,240,0.6875
1699198847.9715357,248,0.69921875
1699199141.8376975,256,0.6953125
1699199318.6512146,264,0.69921875
1699199494.1574311,272,0.69140625
1699199670.6436293,280,0.6953125
1699199957.1227782,288,0.6875
1699200130.3068988,296,0.68359375
1699200306.8774385,304,0.6875
1699200479.2753236,312,0.69921875
1699200761.793479,320,0.6953125
1699200934.120136,328,0.69140625
1699201106.1875653,336,0.6953125
1699201273.567543,344,0.69140625
1699201556.4197586,352,0.6875
1699201730.2919466,360,0.69140625
1699201905.4330082,368,0.69140625
1699202073.9837427,376,0.68359375
1699202353.677273,384,0.67578125
1699202521.8411338,392,0.671875
1699202689.7949908,400,0.68359375
1699202859.957368,408,0.6875
1699203141.1035004,416,0.6875
1699203311.8594801,424,0.68359375
1699203479.8638735,432,0.6796875
1699203648.3445222,440,0.68359375
1699203925.9661832,448,0.6875
1699204092.769034,456,0.67578125
1699204261.5306077,464,0.6796875
1699204424.1869075,472,0.68359375
1699204701.7896395,480,0.6875
1699204865.599423,488,0.6875
1699205035.6217508,496,0.68359375
1699205198.1224124,504,0.68359375
1699205467.4599335,512,0.66796875
1699205632.2804503,520,0.671875
1699205794.6510594,528,0.67578125
1699205961.664152,536,0.67578125
1699206236.4400737,544,0.68359375
1699206400.4647064,552,0.6796875
1699206567.187413,560,0.6796875
1699206732.159153,568,0.6796875
1699207004.9784384,576,0.6953125
1699207170.9570813,584,0.69140625
1699207340.7662067,592,0.69140625
1699207504.0653741,600,0.6953125
1699207773.1519566,608,0.69140625
1699207936.237821,616,0.6953125
1699208096.4493332,624,0.69921875
1699208262.217285,632,0.703125
1699208543.5796218,640,0.70703125
1699208711.84324,648,0.70703125
1699208871.6226172,656,0.69921875
1699209034.8835707,664,0.703125
1699209304.7453387,672,0.703125
1699209470.706528,680,0.703125
1699209630.0128922,688,0.70703125
1699209790.075215,696,0.703125
1699210058.8490145,704,0.703125
1699210221.9050696,712,0.703125
1699210380.3104656,720,0.7109375
1699210546.0716279,728,0.71484375
1699210830.2366323,736,0.71875
1699210996.5315259,744,0.71875
1699211160.4808075,752,0.71875
1699211326.2488778,760,0.71484375
1699211601.4377272,768,0.72265625
1699211762.8528597,776,0.72265625
1699211922.3161929,784,0.71875
1699212087.7429347,792,0.71484375
1699212359.3980346,800,0.71484375
1699212525.7440526,808,0.7109375
1699212688.6818855,816,0.70703125
1699212849.8034782,824,0.70703125
1699213120.145831,832,0.703125
1699213282.262098,840,0.69921875
1699213446.9097526,848,0.69921875
1699213610.7842805,856,0.6953125
1699213882.744703,864,0.703125
1699214046.5095458,872,0.703125
1699214212.642395,880,0.703125
1699214376.902725,888,0.70703125
1699214647.3359933,896,0.70703125
1699214808.862631,904,0.70703125
1699214973.1418095,912,0.7109375
1699215134.5038939,920,0.71484375
1699215406.2227929,928,0.7109375
1699215570.2053282,936,0.7109375
1699215730.9364738,944,0.71484375
1699215893.8769238,952,0.71484375
1699216161.407011,960,0.72265625
1699216326.2097325,968,0.72265625
1699216488.0787165,976,0.72265625
1699216649.9985347,984,0.72265625
1699216919.1890037,992,0.71875
1699217080.8770857,1000,0.71875
1699217243.647894,1008,0.72265625
1699217407.7396557,1016,0.72265625
1699217678.769828,1024,0.72265625
1699217839.2368028,1032,0.71875
1699218004.8834047,1040,0.71484375
1699218166.2160983,1048,0.71484375
1699218434.5814521,1056,0.71484375
1699218597.3712423,1064,0.71875
1699218758.9248683,1072,0.71875
1699218921.557153,1080,0.71484375
1699219190.9786355,1088,0.71484375
1699219352.6827672,1096,0.71875
1699219513.684616,1104,0.71484375
1699219672.9492586,1112,0.7109375
1699219942.0632758,1120,0.71484375
1699220104.4756079,1128,0.71875
1699220261.4488559,1136,0.71875
1699220426.1011457,1144,0.71875
1699220689.7024512,1152,0.71484375
1699220849.7540038,1160,0.71875
1699221008.2716434,1168,0.71875
1699221168.602424,1176,0.71875
1699221437.4644508,1184,0.71875
1699221596.7484922,1192,0.71875
