Wall time,Step,Value
1680975559.049719,4,0.625
1680975658.3013616,8,0.625
1680975713.4612298,12,0.625
1680975797.7817864,16,0.59375
1680975851.9783108,20,0.59375
1680975934.1660206,24,0.59375
1680975987.464541,28,0.59375
1680976068.8937628,32,0.59375
1680976123.7445612,36,0.59375
1680976206.1277537,40,0.59375
1680976257.2908826,44,0.625
1680976343.0287886,48,0.625
1680976396.2447782,52,0.65625
1680976490.9897509,56,0.65625
1680976544.0252957,60,0.65625
1680976640.7132826,64,0.6875
1680976693.1646447,68,0.6875
1680976776.6959887,72,0.6875
1680976826.3978112,76,0.6875
1680976909.1307998,80,0.625
1680976961.6166413,84,0.625
1680977041.9305403,88,0.625
1680977093.875872,92,0.625
1680977174.2441475,96,0.625
1680977227.5935168,100,0.625
1680977306.6933784,104,0.625
1680977359.1428864,108,0.625
1680977439.726617,112,0.59375
1680977491.844011,116,0.59375
1680977570.7485757,120,0.59375
1680977622.240928,124,0.59375
1680977704.2795553,128,0.625
1680977755.8611295,132,0.625
1680977836.952006,136,0.625
1680977887.8822453,140,0.625
1680977968.59475,144,0.625
1680978021.0998886,148,0.625
1680978099.5255194,152,0.625
1680978150.1042407,156,0.625
1680978231.1661174,160,0.625
1680978282.100864,164,0.625
1680978362.3751144,168,0.625
1680978414.28437,172,0.625
1680978493.2611072,176,0.625
1680978542.0921593,180,0.625
1680978624.8693762,184,0.625
1680978675.9052768,188,0.625
1680978755.6500893,192,0.625
1680978806.191321,196,0.625
1680978886.3343723,200,0.625
1680978938.889448,204,0.625
1680979018.9223228,208,0.625
1680979069.834495,212,0.625
1680979150.5098932,216,0.625
1680979202.7134817,220,0.59375
1680979283.155664,224,0.59375
1680979334.508085,228,0.59375
1680979412.4209962,232,0.59375
1680979461.5157168,236,0.59375
1680979543.2175398,240,0.59375
1680979595.1135926,244,0.59375
1680979673.9205902,248,0.59375
1680979724.8800662,252,0.59375
1680979804.0775337,256,0.59375
1680979856.5054357,260,0.59375
1680979936.0307884,264,0.59375
1680979987.872821,268,0.59375
1680980067.871878,272,0.59375
1680980119.41824,276,0.59375
1680980198.076614,280,0.59375
1680980248.6881146,284,0.59375
1680980328.6654587,288,0.59375
1680980379.6095104,292,0.59375
1680980460.1093225,296,0.59375
1680980511.364694,300,0.59375
1680980591.0136704,304,0.59375
1680980641.418415,308,0.59375
1680980722.0068336,312,0.59375
1680980774.0514553,316,0.59375
1680980852.5927901,320,0.59375
1680980904.579846,324,0.59375
1680980983.829943,328,0.59375
1680981034.280296,332,0.59375
1680981114.228973,336,0.59375
1680981165.635369,340,0.59375
1680981244.5051847,344,0.59375
1680981295.6631184,348,0.59375
1680981375.524421,352,0.59375
1680981424.4142592,356,0.59375
1680981504.9748056,360,0.625
1680981555.7702956,364,0.625
1680981636.1841643,368,0.59375
1680981685.8917918,372,0.59375
1680981765.8403153,376,0.59375
1680981818.6828396,380,0.59375
1680981896.648259,384,0.59375
1680981949.5719333,388,0.59375
1680982029.4038582,392,0.59375
1680982080.0091746,396,0.59375
1680982159.699336,400,0.59375
1680982210.6604152,404,0.59375
1680982289.7668958,408,0.59375
1680982340.443439,412,0.59375
1680982419.5545897,416,0.59375
1680982470.5965853,420,0.59375
1680982550.5043423,424,0.59375
1680982602.275784,428,0.59375
1680982681.3496711,432,0.59375
1680982733.7690556,436,0.59375
1680982813.5057163,440,0.59375
1680982865.0728219,444,0.625
1680982943.1581974,448,0.625
1680982995.562176,452,0.625
1680983074.3163033,456,0.625
1680983126.2589972,460,0.625
1680983205.8573961,464,0.625
1680983257.2079043,468,0.625
1680983337.004825,472,0.625
1680983388.9263299,476,0.625
1680983468.5111742,480,0.625
1680983520.39809,484,0.625
1680983598.5249307,488,0.625
1680983649.745095,492,0.625
1680983729.924317,496,0.625
1680983782.034618,500,0.625
1680983860.6285925,504,0.625
1680983911.4892821,508,0.625
1680983990.9735224,512,0.625
1680984043.9419868,516,0.625
1680984122.611918,520,0.625
1680984174.6094267,524,0.625
1680984253.5313323,528,0.625
1680984303.7438478,532,0.625
1680984384.3593266,536,0.625
1680984433.5625558,540,0.625
1680984514.4117546,544,0.625
1680984565.2509983,548,0.625
1680984644.742086,552,0.625
1680984694.7333174,556,0.625
1680984775.1593807,560,0.625
1680984825.0671973,564,0.625
1680984905.9367201,568,0.625
1680984956.6549954,572,0.625
1680985036.3644238,576,0.625
1680985087.1192589,580,0.625
1680985168.1459947,584,0.625
1680985219.624328,588,0.625
1680985298.2704666,592,0.625
1680985348.4338844,596,0.625
1680985429.0124323,600,0.625
1680985480.9913287,604,0.625
1680985559.5448534,608,0.625
1680985610.900803,612,0.625
1680985690.601437,616,0.625
1680985742.4860654,620,0.625
1680985822.5164428,624,0.625
1680985873.7150059,628,0.625
1680985953.5987082,632,0.625
1680986004.0419624,636,0.625
1680986084.9714265,640,0.625
1680986136.099153,644,0.625
1680986215.8580322,648,0.625
1680986265.618772,652,0.625
1680986347.7617898,656,0.625
1680986399.0438643,660,0.625
1680986478.6057906,664,0.625
1680986528.9329154,668,0.625
1680986608.6347744,672,0.625
1680986659.2287612,676,0.625
1680986739.547455,680,0.625
1680986790.2704883,684,0.625
1680986871.3897712,688,0.625
1680986923.2960594,692,0.625
1680987003.4723477,696,0.625
1680987055.1231687,700,0.625
1680987134.5085576,704,0.625
1680987186.3596263,708,0.625
1680987265.7375157,712,0.625
1680987318.711001,716,0.625
1680987397.1672351,720,0.625
1680987447.0416245,724,0.625
1680987526.8964086,728,0.625
1680987577.511497,732,0.625
