Wall time,Step,Value
1680902598.1353788,4,0.6875
1680902713.9075792,8,0.6875
1680902778.6844866,12,0.6875
1680902875.914609,16,0.6875
1680902938.401117,20,0.6875
1680903041.7024543,24,0.6875
1680903103.315864,28,0.6875
1680903205.242167,32,0.6875
1680903271.893234,36,0.71875
1680903389.9351947,40,0.71875
1680903454.5884461,44,0.71875
1680903554.5055728,48,0.6875
1680903616.0572693,52,0.6875
1680903720.4839683,56,0.6875
1680903787.2824636,60,0.71875
1680903885.0141292,64,0.71875
1680903949.7346697,68,0.71875
1680904051.2940824,72,0.71875
1680904117.5901499,76,0.71875
1680904236.9238029,80,0.75
1680904300.2450795,84,0.75
1680904403.1950457,88,0.75
1680904471.8143635,92,0.71875
1680904570.6311862,96,0.75
1680904632.4049873,100,0.75
1680904734.708987,104,0.71875
1680904798.329194,108,0.71875
1680904901.5100892,112,0.75
1680904962.7677732,116,0.75
1680905063.5798995,120,0.71875
1680905126.8747623,124,0.71875
1680905229.8938048,128,0.71875
1680905293.5124364,132,0.6875
1680905395.073124,136,0.71875
1680905458.000343,140,0.71875
1680905560.080979,144,0.71875
1680905621.8947797,148,0.75
1680905726.3465376,152,0.75
1680905787.9376442,156,0.75
1680905890.1067357,160,0.75
1680905954.6281533,164,0.75
1680906055.3876464,168,0.75
1680906118.0951734,172,0.75
1680906220.1825616,176,0.75
1680906280.9217987,180,0.75
1680906386.2101772,184,0.75
1680906450.9579134,188,0.75
1680906553.853001,192,0.75
1680906618.1528754,196,0.75
1680906716.9673905,200,0.75
1680906782.5858743,204,0.78125
1680906898.6427164,208,0.78125
1680906962.576795,212,0.75
1680907062.6793687,216,0.75
1680907126.3333156,220,0.75
1680907228.7992976,224,0.75
1680907291.3470588,228,0.75
1680907392.7304716,232,0.75
1680907455.387903,236,0.75
1680907559.7847183,240,0.75
1680907626.3006628,244,0.75
1680907725.9669511,248,0.75
1680907790.056919,252,0.75
1680907892.2220168,256,0.75
1680907957.2558641,260,0.75
1680908056.1633055,264,0.75
1680908118.3329797,268,0.75
1680908221.1415994,272,0.75
1680908283.5567682,276,0.75
1680908383.6193547,280,0.75
1680908448.6758392,284,0.75
1680908547.2025468,288,0.75
1680908611.611595,292,0.75
1680908712.0883963,296,0.75
1680908777.2172916,300,0.75
1680908875.3792427,304,0.75
1680908938.9106383,308,0.75
1680909041.8439667,312,0.75
1680909107.535676,316,0.75
