Wall time,Step,Value
1680975068.585498,4,0.65625
1680975213.538576,8,0.6875
1680975273.6692216,12,0.6875
1680975372.113874,16,0.6875
1680975430.7714655,20,0.6875
1680975524.5075607,24,0.65625
1680975585.88227,28,0.65625
1680975682.1429822,32,0.65625
1680975741.7396798,36,0.6875
1680975835.3043935,40,0.6875
1680975895.7652223,44,0.6875
1680976003.6872213,48,0.71875
1680976065.0863907,52,0.71875
1680976175.205321,56,0.75
1680976237.7314863,60,0.75
1680976332.60023,64,0.71875
1680976393.6495621,68,0.71875
1680976492.7005577,72,0.65625
1680976552.604435,76,0.65625
1680976648.5594363,80,0.71875
1680976711.1351528,84,0.65625
1680976806.9790463,88,0.65625
1680976867.2506623,92,0.65625
1680976964.9654362,96,0.6875
1680977028.3532305,100,0.65625
1680977126.3375428,104,0.65625
1680977191.6026163,108,0.65625
1680977293.4230485,112,0.65625
1680977358.1044703,116,0.65625
1680977469.1183634,120,0.65625
1680977535.0182123,124,0.65625
1680977637.8165376,128,0.65625
1680977703.166003,132,0.625
1680977810.521187,136,0.625
1680977880.59873,140,0.625
1680977986.555728,144,0.625
1680978052.6644151,148,0.59375
1680978160.7785149,152,0.59375
1680978232.7250245,156,0.59375
1680978346.9918652,160,0.625
1680978424.7361112,164,0.625
1680978535.0034041,168,0.625
1680978604.9749165,172,0.625
1680978723.3727489,176,0.59375
1680978801.7347243,180,0.5625
1680978931.4949315,184,0.59375
1680979014.9993727,188,0.59375
1680979140.4174483,192,0.625
1680979229.2966673,196,0.5625
1680979365.692204,200,0.59375
1680979463.6714966,204,0.59375
1680979629.131546,208,0.5625
1680979735.695075,212,0.5625
1680979901.1426506,216,0.59375
1680980006.9809926,220,0.59375
1680980183.992198,224,0.5625
1680980307.0821202,228,0.59375
1680980507.357682,232,0.625
1680980627.6214123,236,0.59375
1680980835.2020335,240,0.65625
1680980960.7485101,244,0.625
1680981166.8809416,248,0.625
1680981295.2663708,252,0.625
1680981500.8424177,256,0.625
1680981632.7307496,260,0.625
1680981857.9860334,264,0.5625
1680981996.231713,268,0.59375
1680982226.105722,272,0.6875
1680982369.5348868,276,0.59375
1680982600.194529,280,0.625
1680982742.6661487,284,0.625
1680982979.4631803,288,0.65625
1680983124.0591233,292,0.65625
1680983364.9746287,296,0.65625
1680983511.292724,300,0.625
1680983759.9031153,304,0.59375
1680983911.0679622,308,0.625
1680984156.8014655,312,0.65625
1680984305.5608907,316,0.625
1680984542.2644355,320,0.625
1680984683.855624,324,0.59375
1680984917.8129494,328,0.5625
1680985056.603801,332,0.59375
1680985275.9889169,336,0.53125
1680985411.617585,340,0.5
1680985629.268512,344,0.5
1680985756.8685386,348,0.53125
1680985959.3025725,352,0.53125
1680986083.078034,356,0.53125
1680986261.6893427,360,0.53125
1680986367.024837,364,0.53125
1680986540.594611,368,0.53125
1680986643.227003,372,0.5625
1680986809.348123,376,0.53125
1680986912.0448263,380,0.53125
1680987070.304379,384,0.53125
1680987177.6342525,388,0.53125
1680987368.9928555,392,0.53125
1680987484.890762,396,0.53125
1680987679.741706,400,0.53125
1680987798.3917596,404,0.53125
1680987993.263395,408,0.5625
1680988114.9857066,412,0.53125
1680988316.3268456,416,0.53125
1680988438.3323574,420,0.53125
1680988640.1955433,424,0.53125
1680988765.5670266,428,0.53125
1680988966.417396,432,0.53125
1680989095.5430696,436,0.53125
1680989310.0381877,440,0.53125
1680989444.4323359,444,0.53125
1680989662.987288,448,0.53125
1680989796.958462,452,0.53125
1680990017.9343975,456,0.53125
1680990152.50883,460,0.53125
1680990374.7532756,464,0.53125
1680990506.8380508,468,0.53125
1680990723.0771916,472,0.53125
1680990857.146461,476,0.53125
1680991077.0929728,480,0.53125
1680991211.611012,484,0.5
1680991429.3947873,488,0.53125
1680991562.7843924,492,0.53125
1680991770.9633565,496,0.53125
1680991902.1311734,500,0.53125
1680992108.1749165,504,0.53125
1680992238.998459,508,0.53125
1680992447.1704097,512,0.53125
1680992582.2214882,516,0.53125
1680992803.7752907,520,0.53125
1680992934.3152037,524,0.53125
1680993146.5492725,528,0.53125
1680993278.9079003,532,0.53125
1680993490.4477105,536,0.53125
1680993625.2946973,540,0.5
1680993840.7661097,544,0.5
1680993977.8110495,548,0.5
1680994199.637468,552,0.53125
1680994340.9350016,556,0.53125
1680994575.49958,560,0.53125
1680994718.8115916,564,0.53125
1680994953.3211057,568,0.53125
1680995095.5044234,572,0.53125
1680995333.5920484,576,0.53125
1680995481.1763678,580,0.53125
1680995726.4970453,584,0.53125
1680995876.4593444,588,0.53125
1680996124.6555676,592,0.53125
1680996275.5453608,596,0.53125
1680996523.9545329,600,0.53125
1680996676.1041136,604,0.53125
1680996926.368049,608,0.53125
