Wall time,Step,Value
1686197991.4397337,0,0.6328125
1686198143.9532044,8,0.65625
1686198303.2603798,16,0.609375
1686198455.3355522,24,0.63671875
1686198706.9319315,32,0.63671875
1686198860.182372,40,0.6484375
1686199014.0826283,48,0.6171875
1686199162.3701699,56,0.6328125
1686199410.1095984,64,0.65234375
1686199560.5543742,72,0.62109375
1686199712.334098,80,0.62890625
1686199863.92547,88,0.640625
1686200119.8635175,96,0.62890625
1686200266.8205755,104,0.64453125
1686200417.658252,112,0.62890625
1686200569.6142957,120,0.6328125
1686200821.2780612,128,0.6171875
1686200972.3948517,136,0.640625
1686201127.1955447,144,0.6328125
1686201282.8772895,152,0.62890625
1686201528.8540595,160,0.6328125
1686201685.2492979,168,0.625
1686201835.4718301,176,0.61328125
1686201987.4044473,184,0.61328125
1686202241.8919578,192,0.640625
1686202397.1181095,200,0.6328125
1686202548.5155177,208,0.625
1686202702.8935423,216,0.65234375
1686202942.7988236,224,0.62109375
1686203101.2345498,232,0.6328125
1686203249.9340565,240,0.61328125
1686203407.1858666,248,0.62109375
1686203655.0171263,256,0.6171875
1686203810.0605063,264,0.62109375
1686203964.4341028,272,0.62890625
1686204112.4274719,280,0.62890625
1686204365.4876218,288,0.6640625
1686204525.2411673,296,0.62890625
1686204681.0910292,304,0.6171875
1686204833.0523345,312,0.61328125
1686205078.786654,320,0.6328125
1686205234.1393435,328,0.63671875
1686205384.2068214,336,0.62890625
1686205534.8317008,344,0.62109375
1686205777.2699869,352,0.6171875
1686205928.8385952,360,0.6328125
1686206083.3189268,368,0.61328125
1686206238.456623,376,0.6171875
1686206485.4995348,384,0.62890625
1686206638.0377996,392,0.62890625
1686206787.3551693,400,0.625
1686206943.1267927,408,0.609375
1686207192.6182773,416,0.625
1686207342.3502629,424,0.6171875
1686207495.4825897,432,0.6171875
1686207646.9875357,440,0.609375
1686207895.66556,448,0.62890625
1686208049.505009,456,0.6328125
1686208205.005445,464,0.6328125
1686208352.789222,472,0.62890625
1686208600.5056405,480,0.62890625
1686208752.9515781,488,0.63671875
1686208900.3571823,496,0.63671875
1686209056.0548115,504,0.62109375
1686209308.3098567,512,0.64453125
1686209461.436213,520,0.62890625
1686209621.2996874,528,0.625
1686209772.4777124,536,0.625
1686210015.4132998,544,0.62890625
1686210164.6791837,552,0.6328125
1686210314.696962,560,0.6328125
1686210466.431922,568,0.6328125
1686210716.3328102,576,0.63671875
1686210867.2722335,584,0.6484375
1686211020.8292513,592,0.6328125
1686211170.1174417,600,0.62890625
1686211425.1575065,608,0.62890625
1686211578.38375,616,0.625
1686211731.5734158,624,0.63671875
1686211881.4914985,632,0.625
1686212128.5772436,640,0.6171875
