Wall time,Step,Value
1686275736.4304748,0,0.6328125
1686275870.7909596,8,0.625
1686276005.586937,16,0.62890625
1686276139.5489845,24,0.6328125
1686276372.8022375,32,0.61328125
1686276508.7795815,40,0.62109375
1686276644.048196,48,0.625
1686276778.1504471,56,0.63671875
1686277014.4488292,64,0.640625
1686277156.819139,72,0.6171875
1686277291.0977387,80,0.63671875
1686277427.2661164,88,0.625
1686277667.2877493,96,0.6484375
1686277808.5916712,104,0.62890625
1686277943.646229,112,0.640625
1686278078.61336,120,0.63671875
1686278309.0745773,128,0.62890625
1686278443.6198308,136,0.62109375
1686278578.7654119,144,0.62890625
1686278715.4768682,152,0.63671875
1686278951.8285334,160,0.62890625
1686279087.987266,168,0.640625
1686279223.0450313,176,0.6328125
1686279358.229566,184,0.640625
1686279590.6914432,192,0.6328125
1686279726.8950043,200,0.640625
1686279863.2765894,208,0.6328125
1686279999.3200636,216,0.61328125
1686280226.036305,224,0.63671875
1686280364.4651883,232,0.62109375
1686280497.3709106,240,0.6328125
1686280634.1602142,248,0.640625
1686280862.9878156,256,0.640625
1686280999.352012,264,0.6328125
1686281134.3099723,272,0.63671875
1686281268.3891792,280,0.6171875
1686281499.8825629,288,0.640625
1686281635.015594,296,0.625
1686281771.2780452,304,0.640625
1686281907.6927805,312,0.625
1686282136.614984,320,0.6328125
1686282272.6076484,328,0.63671875
1686282405.8150988,336,0.63671875
1686282539.7157545,344,0.625
1686282768.4857004,352,0.625
1686282905.4752128,360,0.625
1686283041.4543045,368,0.62890625
1686283175.9504788,376,0.62890625
1686283406.3316915,384,0.625
1686283541.840502,392,0.63671875
1686283674.884092,400,0.625
1686283812.370638,408,0.62890625
1686284045.3934615,416,0.63671875
1686284179.5295744,424,0.6171875
1686284316.1659493,432,0.62109375
1686284449.281445,440,0.62890625
1686284682.7111444,448,0.6328125
1686284818.4499464,456,0.62890625
1686284954.4583411,464,0.6484375
1686285086.663211,472,0.625
1686285318.6716669,480,0.61328125
1686285453.0480669,488,0.625
1686285587.6332645,496,0.62109375
1686285724.6042278,504,0.63671875
1686285959.436386,512,0.640625
1686286095.3440824,520,0.63671875
1686286233.9384668,528,0.65234375
1686286368.170434,536,0.6484375
1686286598.7171142,544,0.62890625
1686286734.5678213,552,0.640625
1686286867.716783,560,0.625
1686287001.9342024,568,0.63671875
1686287231.93102,576,0.62890625
1686287366.9046493,584,0.62890625
1686287502.608795,592,0.6328125
1686287637.4097636,600,0.62890625
1686287870.6748593,608,0.6328125
1686288008.372449,616,0.62890625
1686288143.7269073,624,0.6328125
1686288278.4931643,632,0.63671875
1686288509.9028487,640,0.64453125
