Wall time,Step,Value
1686595741.9531744,0,0.6328125
1686595879.2002456,8,0.62109375
1686596014.4768784,16,0.62109375
1686596149.8920078,24,0.625
1686596381.7787592,32,0.625
1686596517.5116508,40,0.61328125
1686596655.981005,48,0.6171875
1686596789.951584,56,0.62890625
1686597021.2300265,64,0.62109375
1686597156.5710595,72,0.63671875
1686597299.45175,80,0.625
1686597434.5539198,88,0.62109375
1686597674.4519925,96,0.6171875
1686597812.178096,104,0.6328125
1686597952.2018023,112,0.609375
1686598093.8299344,120,0.625
1686598336.1177166,128,0.62890625
1686598476.6435204,136,0.625
1686598619.2787018,144,0.62109375
1686598763.1498568,152,0.609375
1686599003.9588568,160,0.6328125
1686599146.2303777,168,0.62890625
1686599285.3048744,176,0.6171875
1686599426.5760694,184,0.61328125
1686599671.8887556,192,0.60546875
1686599816.640067,200,0.609375
1686599957.5787623,208,0.625
1686600099.3114386,216,0.609375
1686600337.7855742,224,0.61328125
1686600480.9062047,232,0.609375
1686600620.9266677,240,0.6171875
1686600764.2782245,248,0.62109375
1686601003.3844898,256,0.63671875
1686601145.4985652,264,0.6171875
1686601287.3653052,272,0.62109375
1686601426.2674077,280,0.62109375
1686601674.2884464,288,0.62109375
1686601814.4162483,296,0.609375
1686601956.8175356,304,0.62890625
1686602098.8289845,312,0.625
1686602337.862824,320,0.63671875
1686602480.5727005,328,0.62109375
1686602620.3041937,336,0.61328125
1686602758.670314,344,0.62109375
1686602997.871219,352,0.60546875
1686603139.1308825,360,0.609375
1686603282.2734663,368,0.609375
1686603426.4397607,376,0.625
1686603665.815121,384,0.6171875
1686603809.3326654,392,0.6328125
1686603947.9856408,400,0.62890625
1686604090.2060494,408,0.609375
1686604331.0092998,416,0.61328125
1686604471.5169582,424,0.6171875
1686604613.8550947,432,0.625
1686604755.244203,440,0.609375
1686604998.4204683,448,0.640625
1686605140.857642,456,0.63671875
1686605283.9458714,464,0.62109375
1686605423.6466553,472,0.6171875
1686605664.8888216,480,0.6171875
1686605806.1715949,488,0.6171875
1686605946.1720133,496,0.6171875
1686606089.7768393,504,0.62109375
1686606332.8870678,512,0.6171875
1686606474.8311968,520,0.61328125
1686606621.6315627,528,0.6328125
1686606761.8299978,536,0.62109375
1686606999.5917594,544,0.6171875
1686607136.5042095,552,0.62109375
1686607272.0053837,560,0.609375
1686607411.1588523,568,0.625
1686607648.373697,576,0.63671875
1686607786.4410424,584,0.625
1686607925.2884195,592,0.62890625
1686608061.3577542,600,0.62109375
1686608300.4825492,608,0.62890625
1686608442.0767653,616,0.62109375
1686608581.6045387,624,0.62890625
1686608718.9902856,632,0.609375
1686608954.374894,640,0.625
